pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors
1,Type1,Block,1,1,2,100,100,Still Active,Still Active,2,2,0,0,0,100,asp.c,asp.c,0,UNKNOWN,UNKNOWN
2,Type1,Block,2,3,4,100,100,Still Active,Still Active,2,2,0,0,0,100,eiffel.c,fortran.c,1,UNKNOWN,UNKNOWN
3,Type1,Block,3,5,6,100,100,Still Active,Still Active,2,2,0,0,0,100,python.c,ruby.c,1,UNKNOWN,UNKNOWN
4,Type1,Block,4,8,11,100,100,Still Active,Still Active,2,2,0,0,0,100,readtags.c,routines.c,1,UNKNOWN,UNKNOWN
5,Type1,Block,5,10,12,100,100,Still Active,Still Active,2,2,0,0,0,100,readtags.c,routines.c,1,UNKNOWN,UNKNOWN
