Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | globalCloneId | Similarity
1004 | Revision_1004/jnamed.java | U | 171 | 179 | 8 | 246936 | 1 | 710 | 100
1004 | Revision_1004/jnamed.java | U | 180 | 188 | 8 | 246937 | 1 | 1071 | 100
1004 | Revision_1004/jnamed.java | U | 464 | 473 | 9 | 246938 | 2 | 711 | 70
1004 | Revision_1004/org/xbill/DNS/MX_KXRecord.java | U | 61 | 69 | 9 | 246939 | 2 | 1031 | 70
1004 | Revision_1004/org/xbill/DNS/RPRecord.java | U | 78 | 86 | 9 | 246940 | 2 | 1046 | 70
1004 | Revision_1004/org/xbill/DNS/Cache.java | U | 63 | 69 | 9 | 246941 | 2 | 841 | 70
1004 | Revision_1004/org/xbill/DNS/A6Record.java | U | 92 | 104 | 9 | 246942 | 2 | 1056 | 70
1004 | Revision_1004/org/xbill/DNS/Cache.java | U | 99 | 108 | 9 | 246943 | 2 | 839 | 70
1004 | Revision_1004/org/xbill/DNS/Header.java | U | 226 | 236 | 9 | 246944 | 2 | 44 | 70
1004 | Revision_1004/jnamed.java | U | 476 | 485 | 10 | 246945 | 3 | 711 | 71
1004 | Revision_1004/org/xbill/DNS/dns.java | U | 56 | 65 | 10 | 246946 | 3 | 719 | 71
1004 | Revision_1004/jnamed.java | U | 528 | 533 | 7 | 246947 | 4 | 711 | 75
1004 | Revision_1004/org/xbill/DNS/dns.java | U | 99 | 105 | 7 | 246948 | 4 | 1072 | 75
1004 | Revision_1004/org/xbill/DNS/FindServer.java | U | 239 | 245 | 7 | 246949 | 4 | 1061 | 75
1004 | Revision_1004/org/xbill/DNS/SimpleResolver.java | U | 370 | 375 | 7 | 246950 | 4 | 1050 | 75
1004 | Revision_1004/org/xbill/DNS/Name.java | U | 182 | 188 | 7 | 246951 | 4 | 120 | 75
1004 | Revision_1004/org/xbill/DNS/ExtendedResolver.java | U | 99 | 105 | 7 | 246952 | 4 | 1131 | 75
1004 | Revision_1004/org/xbill/DNS/Name.java | U | 172 | 179 | 7 | 246953 | 4 | 116 | 75
1004 | Revision_1004/jnamed.java | U | 540 | 546 | 11 | 246954 | 5 | 711 | 75
1004 | Revision_1004/jnamed.java | U | 622 | 627 | 11 | 246955 | 5 | 710 | 75
1004 | Revision_1004/jnamed.java | U | 614 | 619 | 11 | 246956 | 5 | 711 | 75
1004 | Revision_1004/jnamed.java | U | 548 | 556 | 6 | 246957 | 6 | 711 | 100
1004 | Revision_1004/jnamed.java | U | 602 | 610 | 6 | 246958 | 6 | 710 | 100
1004 | Revision_1004/org/xbill/DNS/A6Record.java | U | 47 | 52 | 5 | 246959 | 7 | 1055 | 75
1004 | Revision_1004/org/xbill/DNS/NXTRecord.java | U | 45 | 49 | 5 | 246960 | 7 | 124 | 75
1004 | Revision_1004/org/xbill/DNS/RPRecord.java | U | 44 | 48 | 5 | 246961 | 7 | 1048 | 75
1004 | Revision_1004/org/xbill/DNS/Message.java | U | 533 | 537 | 5 | 246962 | 7 | 1121 | 75
1004 | Revision_1004/org/xbill/DNS/SetResponse.java | U | 70 | 75 | 5 | 246963 | 7 | 1097 | 75
1004 | Revision_1004/org/xbill/DNS/Lookup.java | U | 183 | 187 | 5 | 246964 | 7 | 1116 | 75
1004 | Revision_1004/org/xbill/DNS/TSIG.java | U | 47 | 51 | 5 | 246965 | 7 | 1069 | 75
1004 | Revision_1004/org/xbill/DNS/ResolveThread.java | U | 28 | 33 | 5 | 246966 | 7 | 1030 | 75
