Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | globalCloneId | Similarity
139 | Revision_139/asp.c | U | 72 | 87 | 12 | 933 | 1 | 1 | 100
139 | Revision_139/asp.c | U | 95 | 110 | 12 | 934 | 1 | 2 | 100
139 | Revision_139/python.c | U | 97 | 101 | 5 | 935 | 2 | 3 | 100
139 | Revision_139/ruby.c | U | 120 | 124 | 5 | 936 | 2 | 4 | 100
139 | Revision_139/readtags.c | U | 496 | 503 | 8 | 937 | 3 | 6 | 100
139 | Revision_139/routines.c | U | 263 | 270 | 8 | 938 | 3 | 9 | 100
139 | Revision_139/readtags.c | U | 508 | 515 | 8 | 939 | 4 | 8 | 100
139 | Revision_139/routines.c | M | 275 | 282 | 8 | 940 | 4 | 10 | 100
