Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | Similarity
395 | Revision_395/args.c | U | 85 | 92 | 8 | 63987 | 1 | 100
395 | Revision_395/args.c | U | 159 | 166 | 8 | 63988 | 1 | 100
395 | Revision_395/args.c | U | 181 | 189 | 9 | 63989 | 2 | 75
395 | Revision_395/args.c | U | 202 | 210 | 9 | 63990 | 2 | 75
395 | Revision_395/args.c | U | 192 | 199 | 9 | 63991 | 2 | 75
395 | Revision_395/args.c | U | 265 | 271 | 7 | 63992 | 3 | 83
395 | Revision_395/options.c | U | 574 | 579 | 7 | 63993 | 3 | 83
395 | Revision_395/asm.c | U | 120 | 128 | 8 | 63994 | 4 | 71
395 | Revision_395/sql.c | U | 195 | 204 | 8 | 63995 | 4 | 71
395 | Revision_395/verilog.c | U | 107 | 117 | 8 | 63996 | 4 | 71
395 | Revision_395/asm.c | U | 244 | 257 | 11 | 63997 | 5 | 77
395 | Revision_395/asm.c | U | 262 | 272 | 11 | 63998 | 5 | 77
395 | Revision_395/asm.c | U | 348 | 353 | 6 | 63999 | 6 | 80
395 | Revision_395/sh.c | U | 88 | 93 | 6 | 64000 | 6 | 80
395 | Revision_395/asm.c | U | 367 | 386 | 9 | 64001 | 7 | 71
395 | Revision_395/verilog.c | U | 324 | 333 | 9 | 64002 | 7 | 71
395 | Revision_395/tcl.c | U | 106 | 114 | 9 | 64003 | 7 | 71
395 | Revision_395/perl.c | U | 159 | 167 | 9 | 64004 | 7 | 71
395 | Revision_395/erlang.c | U | 179 | 187 | 9 | 64005 | 7 | 71
395 | Revision_395/sql.c | U | 678 | 687 | 9 | 64006 | 7 | 71
395 | Revision_395/sh.c | U | 102 | 112 | 9 | 64007 | 7 | 71
395 | Revision_395/lisp.c | U | 127 | 137 | 9 | 64008 | 7 | 71
395 | Revision_395/sml.c | U | 201 | 209 | 9 | 64009 | 7 | 71
395 | Revision_395/beta.c | U | 313 | 321 | 9 | 64010 | 7 | 71
395 | Revision_395/ruby.c | U | 167 | 175 | 9 | 64011 | 7 | 71
395 | Revision_395/php.c | U | 161 | 169 | 9 | 64012 | 7 | 71
395 | Revision_395/vim.c | U | 168 | 176 | 9 | 64013 | 7 | 71
395 | Revision_395/awk.c | U | 71 | 79 | 9 | 64014 | 7 | 71
