counter | prevPath | prevStartLine | prevEndLine | changeType | currPath | currStartLine | currEndLine | offsetStart | offsetEnd
1 | Revision_601/org/xbill/DNS/TSIG.java | 54 | 54 | c | Revision_602/org/xbill/DNS/TSIG.java | 54 | 55 | 0 | 1
2 | Revision_601/org/xbill/DNS/TSIG.java | 55 | 55 | a | Revision_602/org/xbill/DNS/TSIG.java | 57 | 57 | 2 | 2
3 | Revision_601/org/xbill/DNS/TSIG.java | 59 | 60 | c | Revision_602/org/xbill/DNS/TSIG.java | 61 | 66 | 2 | 6
4 | Revision_601/org/xbill/DNS/TSIG.java | 62 | 62 | c | Revision_602/org/xbill/DNS/TSIG.java | 68 | 70 | 6 | 8
5 | Revision_601/org/xbill/DNS/TSIG.java | 80 | 81 | c | Revision_602/org/xbill/DNS/TSIG.java | 88 | 91 | 8 | 10
6 | Revision_601/org/xbill/DNS/TSIG.java | 85 | 85 | c | Revision_602/org/xbill/DNS/TSIG.java | 95 | 96 | 10 | 11
7 | Revision_601/org/xbill/DNS/TSIG.java | 99 | 99 | c | Revision_602/org/xbill/DNS/TSIG.java | 110 | 110 | 11 | 11
8 | Revision_601/org/xbill/DNS/TSIG.java | 102 | 102 | c | Revision_602/org/xbill/DNS/TSIG.java | 113 | 114 | 11 | 12
9 | Revision_601/org/xbill/DNS/TSIG.java | 106 | 106 | a | Revision_602/org/xbill/DNS/TSIG.java | 119 | 136 | 13 | 30
10 | Revision_601/org/xbill/DNS/TSIG.java | 108 | 109 | c | Revision_602/org/xbill/DNS/TSIG.java | 138 | 139 | 30 | 30
11 | Revision_601/org/xbill/DNS/TSIG.java | 113 | 113 | a | Revision_602/org/xbill/DNS/TSIG.java | 144 | 153 | 31 | 40
