counter | prevPath | prevStartLine | prevEndLine | changeType | currPath | currStartLine | currEndLine | offsetStart | offsetEnd
1 | Revision_235/DNS/WorkerThread.java | 22 | 22 | d | Revision_236/DNS/WorkerThread.java | 21 | 21 | -1 | -1
2 | Revision_235/DNS/WorkerThread.java | 47 | 47 | d | Revision_236/DNS/WorkerThread.java | 45 | 45 | -2 | -2
3 | Revision_235/DNS/WorkerThread.java | 48 | 48 | a | Revision_236/DNS/WorkerThread.java | 47 | 48 | -1 | 0
4 | Revision_235/DNS/WorkerThread.java | 55 | 55 | a | Revision_236/DNS/WorkerThread.java | 56 | 60 | 1 | 5
5 | Revision_235/DNS/WorkerThread.java | 63 | 67 | d | Revision_236/DNS/WorkerThread.java | 67 | 67 | 4 | 0
6 | Revision_235/org/xbill/DNS/WorkerThread.java | 22 | 22 | d | Revision_236/org/xbill/DNS/WorkerThread.java | 21 | 21 | -1 | -1
7 | Revision_235/org/xbill/DNS/WorkerThread.java | 47 | 47 | d | Revision_236/org/xbill/DNS/WorkerThread.java | 45 | 45 | -2 | -2
8 | Revision_235/org/xbill/DNS/WorkerThread.java | 48 | 48 | a | Revision_236/org/xbill/DNS/WorkerThread.java | 47 | 48 | -1 | 0
9 | Revision_235/org/xbill/DNS/WorkerThread.java | 55 | 55 | a | Revision_236/org/xbill/DNS/WorkerThread.java | 56 | 60 | 1 | 5
10 | Revision_235/org/xbill/DNS/WorkerThread.java | 63 | 67 | d | Revision_236/org/xbill/DNS/WorkerThread.java | 67 | 67 | 4 | 0
11 | Revision_235/org/xbill/Task/WorkerThread.java | 22 | 22 | d | Revision_236/org/xbill/Task/WorkerThread.java | 21 | 21 | -1 | -1
12 | Revision_235/org/xbill/Task/WorkerThread.java | 47 | 47 | d | Revision_236/org/xbill/Task/WorkerThread.java | 45 | 45 | -2 | -2
13 | Revision_235/org/xbill/Task/WorkerThread.java | 48 | 48 | a | Revision_236/org/xbill/Task/WorkerThread.java | 47 | 48 | -1 | 0
14 | Revision_235/org/xbill/Task/WorkerThread.java | 55 | 55 | a | Revision_236/org/xbill/Task/WorkerThread.java | 56 | 60 | 1 | 5
15 | Revision_235/org/xbill/Task/WorkerThread.java | 63 | 67 | d | Revision_236/org/xbill/Task/WorkerThread.java | 67 | 67 | 4 | 0
