counter | prevPath | prevStartLine | prevEndLine | changeType | currPath | currStartLine | currEndLine | offsetStart | offsetEnd
1 | Revision_936/org/xbill/DNS/Message.java | 30 | 30 | a | Revision_937/org/xbill/DNS/Message.java | 31 | 32 | 1 | 2
2 | Revision_936/org/xbill/DNS/Message.java | 87 | 87 | a | Revision_937/org/xbill/DNS/Message.java | 90 | 90 | 3 | 3
3 | Revision_936/org/xbill/DNS/Message.java | 91 | 91 | a | Revision_937/org/xbill/DNS/Message.java | 95 | 96 | 4 | 5
4 | Revision_936/org/xbill/DNS/Record.java | 22 | 22 | d | Revision_937/org/xbill/DNS/Record.java | 21 | 21 | -1 | -1
5 | Revision_936/org/xbill/DNS/Record.java | 97 | 97 | d | Revision_937/org/xbill/DNS/Record.java | 95 | 95 | -2 | -2
6 | Revision_936/org/xbill/DNS/Record.java | 192 | 192 | d | Revision_937/org/xbill/DNS/Record.java | 189 | 189 | -3 | -3
7 | Revision_936/org/xbill/DNS/Record.java | 218 | 218 | d | Revision_937/org/xbill/DNS/Record.java | 214 | 214 | -4 | -4
8 | Revision_936/org/xbill/DNS/Record.java | 286 | 287 | c | Revision_937/org/xbill/DNS/Record.java | 282 | 282 | -4 | -5
9 | Revision_936/org/xbill/DNS/Record.java | 408 | 419 | d | Revision_937/org/xbill/DNS/Record.java | 402 | 402 | -6 | -17
10 | Revision_936/org/xbill/DNS/TSIG.java | 249 | 250 | c | Revision_937/org/xbill/DNS/TSIG.java | 249 | 249 | 0 | -1
11 | Revision_936/org/xbill/DNS/TSIG.java | 345 | 347 | c | Revision_937/org/xbill/DNS/TSIG.java | 344 | 348 | -1 | 1
