Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | Similarity
2156 | Revision_2156/Jmol/src/com/obrador/JpegEncoder.java | U | 312 | 318 | 7 | 1493364 | 1 | 71
2156 | Revision_2156/Jmol/src/com/obrador/JpegEncoder.java | U | 972 | 980 | 7 | 1493365 | 1 | 71
2156 | Revision_2156/Jmol/src/com/obrador/JpegEncoder.java | U | 1001 | 1008 | 7 | 1493366 | 1 | 71
2156 | Revision_2156/Jmol/src/org/openscience/jmol/app/LoopedStreams.java | U | 110 | 118 | 7 | 1493367 | 1 | 71
2156 | Revision_2156/Jmol/src/org/jmol/g3d/Platform3D.java | U | 135 | 140 | 7 | 1493368 | 1 | 71
2156 | Revision_2156/Jmol/src/org/openscience/jmol/app/JmolResourceHandler.java | U | 124 | 129 | 7 | 1493369 | 1 | 71
2156 | Revision_2156/Jmol/src/com/obrador/JpegEncoder.java | U | 1289 | 1295 | 7 | 1493370 | 1 | 71
2156 | Revision_2156/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | U | 1722 | 1727 | 7 | 1493371 | 1 | 71
2156 | Revision_2156/Jmol/src/org/openscience/jmol/viewer/managers/RepaintManager.java | U | 227 | 233 | 7 | 1493372 | 1 | 71
2156 | Revision_2156/Jmol/src/JmolApplet.java | U | 128 | 134 | 7 | 1493373 | 1 | 71
2156 | Revision_2156/Jmol/src/JmolApplet.java | U | 95 | 101 | 7 | 1493374 | 1 | 71
2156 | Revision_2156/Jmol/src/JmolAppletRegistry.java | U | 76 | 82 | 7 | 1493375 | 1 | 71
2156 | Revision_2156/Jmol/src/org/jmol/adapter/simple/SimpleModelAdapter.java | U | 772 | 778 | 7 | 1493376 | 1 | 71
2156 | Revision_2156/Jmol/src/org/openscience/jmol/app/Jmol.java | U | 913 | 919 | 7 | 1493377 | 1 | 71
2156 | Revision_2156/Jmol/src/JmolAppletRegistry.java | U | 91 | 97 | 7 | 1493378 | 1 | 71
2156 | Revision_2156/Jmol/src/org/openscience/jmol/app/HistoryFile.java | U | 109 | 118 | 7 | 1493379 | 1 | 71
2156 | Revision_2156/Jmol/src/org/openscience/jmol/app/HistoryFile.java | U | 95 | 104 | 7 | 1493380 | 1 | 71
2156 | Revision_2156/Jmol/src/com/obrador/JpegEncoder.java | U | 476 | 481 | 6 | 1493381 | 2 | 80
2156 | Revision_2156/Jmol/src/com/obrador/JpegEncoder.java | U | 564 | 569 | 6 | 1493382 | 2 | 80
2156 | Revision_2156/Jmol/src/com/obrador/JpegEncoder.java | U | 483 | 493 | 6 | 1493383 | 3 | 75
