counter | prevPath | prevStartLine | prevEndLine | changeType | currPath | currStartLine | currEndLine | offsetStart | offsetEnd
1 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 23 | 23 | d | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 22 | 22 | -1 | -1
2 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 25 | 25 | d | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 23 | 23 | -2 | -2
3 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 29 | 30 | d | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 26 | 26 | -3 | -4
4 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 54 | 56 | d | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 49 | 49 | -5 | -7
5 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 58 | 60 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 51 | 53 | -7 | -7
6 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 62 | 65 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 55 | 57 | -7 | -8
7 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 67 | 67 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 59 | 59 | -8 | -8
8 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 70 | 77 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 62 | 63 | -8 | -14
9 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 79 | 94 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 65 | 70 | -14 | -24
10 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 98 | 99 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 74 | 76 | -24 | -23
11 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 104 | 104 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 81 | 81 | -23 | -23
12 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 118 | 118 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 95 | 95 | -23 | -23
13 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 120 | 120 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 97 | 97 | -23 | -23
14 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 122 | 124 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 99 | 100 | -23 | -24
15 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 138 | 139 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 114 | 115 | -24 | -24
16 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 150 | 151 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 126 | 127 | -24 | -24
17 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 156 | 156 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 132 | 136 | -24 | -20
18 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 159 | 161 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 139 | 141 | -20 | -20
19 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 164 | 176 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 144 | 145 | -20 | -31
20 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 183 | 183 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 152 | 152 | -31 | -31
21 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 185 | 185 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 154 | 154 | -31 | -31
22 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 187 | 188 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 156 | 156 | -31 | -32
23 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 190 | 190 | c | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 158 | 158 | -32 | -32
24 | Revision_631/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 191 | 191 | a | Revision_632/Jmol/src/org/openscience/jmol/ChemFrameRenderer.java | 160 | 174 | -31 | -17
