counter | prevPath | prevStartLine | prevEndLine | changeType | currPath | currStartLine | currEndLine | offsetStart | offsetEnd
1 | Revision_322/Jmol/src/org/openscience/miniJmol/CMLReader.java | 24 | 24 | a | Revision_323/Jmol/src/org/openscience/miniJmol/CMLReader.java | 25 | 25 | 1 | 1
2 | Revision_322/Jmol/src/org/openscience/miniJmol/CMLReader.java | 31 | 31 | a | Revision_323/Jmol/src/org/openscience/miniJmol/CMLReader.java | 33 | 33 | 2 | 2
3 | Revision_322/Jmol/src/org/openscience/miniJmol/CMLReader.java | 48 | 48 | a | Revision_323/Jmol/src/org/openscience/miniJmol/CMLReader.java | 51 | 64 | 3 | 16
4 | Revision_322/Jmol/src/org/openscience/miniJmol/CMLReader.java | 51 | 52 | c | Revision_323/Jmol/src/org/openscience/miniJmol/CMLReader.java | 67 | 67 | 16 | 15
5 | Revision_322/Jmol/src/org/openscience/miniJmol/CMLReader.java | 67 | 67 | a | Revision_323/Jmol/src/org/openscience/miniJmol/CMLReader.java | 83 | 83 | 16 | 16
6 | Revision_322/Jmol/src/org/openscience/miniJmol/CMLReader.java | 81 | 81 | a | Revision_323/Jmol/src/org/openscience/miniJmol/CMLReader.java | 98 | 139 | 17 | 58
7 | Revision_322/Jmol/src/org/openscience/miniJmol/ChemFileReader.java | 28 | 28 | d | Revision_323/Jmol/src/org/openscience/miniJmol/ChemFileReader.java | 27 | 27 | -1 | -1
8 | Revision_322/Jmol/src/org/openscience/miniJmol/ChemFileReader.java | 38 | 39 | c | Revision_323/Jmol/src/org/openscience/miniJmol/ChemFileReader.java | 37 | 58 | -1 | 19
9 | Revision_322/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 27 | 27 | a | Revision_323/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 28 | 29 | 1 | 2
10 | Revision_322/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 59 | 59 | a | Revision_323/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 62 | 75 | 3 | 16
11 | Revision_322/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 65 | 66 | c | Revision_323/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 81 | 81 | 16 | 15
12 | Revision_322/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 80 | 80 | c | Revision_323/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 95 | 95 | 15 | 15
13 | Revision_322/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 95 | 95 | a | Revision_323/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 111 | 111 | 16 | 16
14 | Revision_322/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 97 | 97 | c | Revision_323/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 113 | 113 | 16 | 16
15 | Revision_322/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 112 | 112 | a | Revision_323/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 129 | 129 | 17 | 17
16 | Revision_322/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 123 | 124 | c | Revision_323/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 140 | 140 | 17 | 16
17 | Revision_322/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 127 | 135 | d | Revision_323/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 142 | 142 | 15 | 7
18 | Revision_322/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 186 | 193 | d | Revision_323/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 192 | 192 | 6 | -1
19 | Revision_322/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 216 | 216 | a | Revision_323/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 216 | 258 | 0 | 42
20 | Revision_322/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 140 | 140 | a | Revision_323/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 141 | 141 | 1 | 1
21 | Revision_322/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 145 | 145 | a | Revision_323/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 147 | 147 | 2 | 2
22 | Revision_322/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 149 | 149 | a | Revision_323/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 152 | 157 | 3 | 8
23 | Revision_322/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 159 | 159 | c | Revision_323/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 167 | 169 | 8 | 10
24 | Revision_322/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 499 | 499 | c | Revision_323/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 509 | 510 | 10 | 11
25 | Revision_322/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 515 | 515 | c | Revision_323/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 526 | 527 | 11 | 12
26 | Revision_322/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 538 | 538 | c | Revision_323/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 550 | 551 | 12 | 13
27 | Revision_322/Jmol/src/org/openscience/miniJmol/JmolBeanTest.java | 47 | 47 | c | Revision_323/Jmol/src/org/openscience/miniJmol/JmolBeanTest.java | 47 | 47 | 0 | 0
28 | Revision_322/Jmol/src/org/openscience/miniJmol/JmolBeanTest.java | 52 | 52 | c | Revision_323/Jmol/src/org/openscience/miniJmol/JmolBeanTest.java | 52 | 52 | 0 | 0
29 | Revision_322/Jmol/src/org/openscience/miniJmol/JmolBeanTest.java | 93 | 96 | d | Revision_323/Jmol/src/org/openscience/miniJmol/JmolBeanTest.java | 92 | 92 | -1 | -4
30 | Revision_322/Jmol/src/org/openscience/miniJmol/PDBReader.java | 25 | 25 | a | Revision_323/Jmol/src/org/openscience/miniJmol/PDBReader.java | 26 | 26 | 1 | 1
31 | Revision_322/Jmol/src/org/openscience/miniJmol/PDBReader.java | 43 | 43 | a | Revision_323/Jmol/src/org/openscience/miniJmol/PDBReader.java | 45 | 58 | 2 | 15
32 | Revision_322/Jmol/src/org/openscience/miniJmol/PDBReader.java | 46 | 47 | c | Revision_323/Jmol/src/org/openscience/miniJmol/PDBReader.java | 61 | 61 | 15 | 14
33 | Revision_322/Jmol/src/org/openscience/miniJmol/PDBReader.java | 49 | 49 | c | Revision_323/Jmol/src/org/openscience/miniJmol/PDBReader.java | 63 | 63 | 14 | 14
34 | Revision_322/Jmol/src/org/openscience/miniJmol/PDBReader.java | 56 | 57 | c | Revision_323/Jmol/src/org/openscience/miniJmol/PDBReader.java | 70 | 70 | 14 | 13
35 | Revision_322/Jmol/src/org/openscience/miniJmol/PDBReader.java | 62 | 67 | d | Revision_323/Jmol/src/org/openscience/miniJmol/PDBReader.java | 74 | 74 | 12 | 7
36 | Revision_322/Jmol/src/org/openscience/miniJmol/PDBReader.java | 104 | 111 | d | Revision_323/Jmol/src/org/openscience/miniJmol/PDBReader.java | 110 | 110 | 6 | -1
37 | Revision_322/Jmol/src/org/openscience/miniJmol/PDBReader.java | 113 | 113 | a | Revision_323/Jmol/src/org/openscience/miniJmol/PDBReader.java | 113 | 113 | 0 | 0
38 | Revision_322/Jmol/src/org/openscience/miniJmol/PDBReader.java | 116 | 116 | c | Revision_323/Jmol/src/org/openscience/miniJmol/PDBReader.java | 116 | 158 | 0 | 42
