n,n_pos,n_neg,mcc,balanced_acc,f1,auc_roc,pr_auc,TP,TN,FP,FN,sensitivity,specificity,precision,npv,gmean,model,total_predictions
13874,9486,4388,0.6691177177886337,0.8354714215892883,0.8948063612828234,0.9205638842906428,0.9577353872141927,8468,3415,973,1018,0.8927,0.7783,0.8969,0.7704,0.8335101812686724,RandomForest,13874
13874,9486,4388,0.6517212569543533,0.8277920866349893,0.8885709744078842,0.9113762213700332,0.9516354771688814,8385,3386,1002,1101,0.8839,0.7716,0.8933,0.7546,0.8258860694345154,LightGBM,13874
13874,9486,4388,0.6459431242777595,0.8254302362969869,0.8863298662704309,0.9167982115754331,0.9547870207856131,8351,3381,1007,1135,0.8803,0.7705,0.8924,0.7487,0.823601175148516,XGBoost,13874
13874,9486,4388,0.6600811926215057,0.8323429807127367,0.8910103420843277,0.9172308406900463,0.9552918236995445,8400,3419,969,1086,0.8855,0.7792,0.8966,0.7589,0.8306428360639506,CatBoost,13874
