globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
585 | Revision_1217/org/xbill/DNS/CERTRecord.java | 120 | 125 | 13 | 572 | rrFromWire | rrFromWire(DNSInput in) throws IOException | 120 | 125 | org.xbill.DNS | CERTRecord
1191 | Revision_1217/org/xbill/DNS/KEYBase.java | 36 | 42 | 13 | 572 | rrFromWire | rrFromWire(DNSInput in) throws IOException | 36 | 42 | org.xbill.DNS | KEYBase
1036 | Revision_1217/org/xbill/DNS/LOCRecord.java | 74 | 78 | 13 | 570 | rdataFromString | rdataFromString(Tokenizer st, Name origin) throws IOException | 66 | 172 | org.xbill.DNS | LOCRecord
1082 | Revision_1217/org/xbill/DNS/DSRecord.java | 55 | 60 | 13 | 572 | rrFromWire | rrFromWire(DNSInput in) throws IOException | 55 | 60 | org.xbill.DNS | DSRecord
1094 | Revision_1217/org/xbill/DNS/DSRecord.java | 63 | 68 | 13 | 570 | rdataFromString | rdataFromString(Tokenizer st, Name origin) throws IOException | 63 | 68 | org.xbill.DNS | DSRecord
455 | Revision_1217/org/xbill/DNS/SRVRecord.java | 54 | 59 | 13 | 572 | rrFromWire | rrFromWire(DNSInput in) throws IOException | 54 | 59 | org.xbill.DNS | SRVRecord
1095 | Revision_1217/org/xbill/DNS/NAPTRRecord.java | 64 | 71 | 13 | 572 | rrFromWire | rrFromWire(DNSInput in) throws IOException | 64 | 71 | org.xbill.DNS | NAPTRRecord
1144 | Revision_1217/org/xbill/DNS/LOCRecord.java | 93 | 97 | 13 | 570 | rdataFromString | rdataFromString(Tokenizer st, Name origin) throws IOException | 66 | 172 | org.xbill.DNS | LOCRecord
468 | Revision_1217/org/xbill/DNS/SRVRecord.java | 62 | 67 | 13 | 570 | rdataFromString | rdataFromString(Tokenizer st, Name origin) throws IOException | 62 | 67 | org.xbill.DNS | SRVRecord
232 | Revision_1217/org/xbill/DNS/SOARecord.java | 62 | 70 | 13 | 572 | rrFromWire | rrFromWire(DNSInput in) throws IOException | 62 | 70 | org.xbill.DNS | SOARecord
1196 | Revision_1217/org/xbill/DNS/SIGBase.java | 53 | 63 | 13 | 572 | rrFromWire | rrFromWire(DNSInput in) throws IOException | 53 | 63 | org.xbill.DNS | SIGBase
