cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",571,573,2,0.5000,0,"SIMILARITY_PRESERVING","[94, 248]","[94, 248, 756, 758]","[94, 248]"
"Type3","Block",831,832,1,0.5000,0,"SIMILARITY_PRESERVING","[159]","[159]","[159, 580]"
"Type3","Block",843,844,4,0.8000,0,"SIMILARITY_PRESERVING","[159, 170, 174, 290]","[159, 170, 174, 290]","[159, 170, 174, 290, 840]"
"Type3","Block",25,26,3,0.5000,1,"SIMILARITY_PRESERVING","[20, 55, 69]","[20, 55, 69, 827]","[20, 54, 55, 69, 829]"
"Type3","Block",575,578,3,0.6000,0,"SIMILARITY_PRESERVING","[94, 193, 248]","[94, 193, 248, 516]","[94, 193, 248, 1178]"
"Type3","Block",845,846,7,0.8750,0,"SIMILARITY_PRESERVING","[159, 170, 174, 186, 194, 285, 290]","[159, 170, 174, 186, 194, 285, 290]","[159, 170, 174, 186, 194, 285, 290, 844]"
"Type3","Block",27,28,2,0.4000,0,"SIMILARITY_PRESERVING","[16, 41]","[16, 41]","[16, 41, 135, 269, 1421]"
"Type3","Block",27,29,2,1.0000,0,"SIMILARITY_PRESERVING","[16, 41]","[16, 41]","[16, 41]"
"Type3","Block",27,30,2,0.5000,0,"SIMILARITY_PRESERVING","[16, 41]","[16, 41]","[16, 41, 135, 269]"
"Type3","Block",28,29,2,0.4000,0,"SIMILARITY_PRESERVING","[16, 41]","[16, 41, 135, 269, 1421]","[16, 41]"
"Type3","Block",28,30,4,0.8000,0,"SIMILARITY_PRESERVING","[16, 41, 135, 269]","[16, 41, 135, 269, 1421]","[16, 41, 135, 269]"
"Type3","Block",29,30,2,0.5000,0,"SIMILARITY_PRESERVING","[16, 41]","[16, 41]","[16, 41, 135, 269]"
"Type3","Block",579,580,2,0.3333,0,"SIMILARITY_PRESERVING","[94, 248]","[94, 248]","[94, 248, 756, 1105, 1178, 1208]"
