revision_number,method_name,method_signature,package_name,class_name,src,start_line,end_line,methodId,globalMethodId
764 | AntParser | extern parserDefinition* AntParser () |  | ant | ant.c | 32 | 40 | 518803 | 727
764 | AsmParser | extern parserDefinition* AsmParser (void) |  | asm | asm.c | 365 | 385 | 518804 | 1
764 | AspParser | extern parserDefinition* AspParser (void) |  | asp | asp.c | 316 | 325 | 518805 | 2
764 | AwkParser | extern parserDefinition* AwkParser () |  | awk | awk.c | 70 | 79 | 518806 | 3
764 | BasicParser | parserDefinition *BasicParser (void) |  | basic | basic.c | 192 | 201 | 518807 | 619
764 | BetaParser | extern parserDefinition* BetaParser (void) |  | beta | beta.c | 310 | 319 | 518808 | 4
764 | CParser | extern parserDefinition* CParser (void) |  | c | c.c | 2866 | 2876 | 518809 | 5
764 | CobolParser | extern parserDefinition* CobolParser () |  | cobol | cobol.c | 39 | 48 | 518810 | 6
764 | CppParser | extern parserDefinition* CppParser (void) |  | c | c.c | 2878 | 2894 | 518811 | 7
764 | CsharpParser | extern parserDefinition* CsharpParser (void) |  | c | c.c | 2896 | 2906 | 518812 | 5
764 | DosBatchParser | extern parserDefinition* DosBatchParser () |  | dosbatch | dosbatch.c | 32 | 40 | 518813 | 728
764 | ENTSEQNO | FUNCSTS func1(ENTSEQNO(seq)) {} |  | bug507864 | Test/bug507864.c | 1 | 2 | 518814 | 526
764 | EiffelParser | extern parserDefinition* EiffelParser (void) |  | eiffel | eiffel.c | 1258 | 1268 | 518815 | 8
764 | ErlangParser | extern parserDefinition *ErlangParser (void) |  | erlang | erlang.c | 178 | 187 | 518816 | 575
764 | FlexParser | extern parserDefinition* FlexParser (void) |  | flex | flex.c | 2408 | 2422 | 518817 | 717
764 | FortranParser | extern parserDefinition* FortranParser (void) |  | fortran | fortran.c | 2179 | 2195 | 518818 | 9
764 | HtmlParser | extern parserDefinition* HtmlParser (void) |  | html | html.c | 39 | 47 | 518819 | 583
764 | JavaParser | extern parserDefinition* JavaParser (void) |  | c | c.c | 2908 | 2918 | 518820 | 10
764 | JavaScriptParser | extern parserDefinition* JavaScriptParser (void) |  | jscript | jscript.c | 1620 | 1634 | 518821 | 584
764 | L_getit | static void L_getit (vString *const name, const unsigned char *dbp) |  | lisp | lisp.c | 57 | 76 | 518822 | 11
764 | L_isdef | static int L_isdef (const unsigned char *strp) |  | lisp | lisp.c | 40 | 45 | 518823 | 12
764 | L_isquote | static int L_isquote (const unsigned char *strp) |  | lisp | lisp.c | 47 | 55 | 518824 | 13
764 | LispParser | extern parserDefinition* LispParser (void) |  | lisp | lisp.c | 126 | 137 | 518825 | 14
764 | LuaParser | extern parserDefinition* LuaParser (void) |  | lua | lua.c | 122 | 131 | 518826 | 520
764 | MEMTXT | FUNCSTS func2 (MEMTXT(form_msg), MEMTXT (text), MEMTXT (mail)) {} |  | bug507864 | Test/bug507864.c | 2 | 2 | 518827 | 527
764 | MakefileParser | extern parserDefinition* MakefileParser (void) |  | make | make.c | 204 | 215 | 518828 | 15
764 | MatLabParser | extern parserDefinition* MatLabParser () |  | matlab | matlab.c | 34 | 42 | 518829 | 729
764 | OcamlParser | extern parserDefinition *OcamlParser (void) |  | ocaml | ocaml.c | 1831 | 1842 | 518830 | 832
764 | PascalParser | extern parserDefinition* PascalParser (void) |  | pascal | pascal.c | 256 | 265 | 518831 | 16
764 | PerlParser | extern parserDefinition* PerlParser (void) |  | perl | perl.c | 371 | 380 | 518832 | 17
764 | PhpParser | extern parserDefinition* PhpParser (void) |  | php | php.c | 90 | 98 | 518833 | 18
764 | PythonParser | extern parserDefinition *PythonParser (void) |  | python | python.c | 762 | 771 | 518834 | 19
764 | RexxParser | extern parserDefinition* RexxParser (void) |  | rexx | rexx.c | 29 | 37 | 518835 | 20
