revision_number,method_name,method_signature,package_name,class_name,src,start_line,end_line,methodId,globalMethodId
685 | addPseudoTags | static void addPseudoTags (void) |  | entry | entry.c | 142 | 167 | 444989 | 40
685 | addToScope | static void addToScope (tokenInfo* const token, vString* const extra) |  | flex | flex.c | 795 | 803 | 444990 | 628
685 | addToScope | static void addToScope (tokenInfo* const token, vString* const extra) |  | jscript | jscript.c | 545 | 553 | 444991 | 628
685 | addToScope | static void addToScope (tokenInfo* const token, vString* const extra) |  | sql | sql.c | 669 | 677 | 444992 | 628
685 | add_item | static add_item (head, tail, value, count) |  | argproc | argproc.c | 230 | 231 | 444993 | 41
685 | advanceToken | static void advanceToken (statementInfo* const st) |  | c | c.c | 492 | 499 | 444994 | 42
685 | alt_match_null_string_p | alt_match_null_string_p (p, end, reg_info) |  | regex | gnu_regex/regex.c | 4470 | 4471 | 444995 | 666
685 | analyzeIdentifier | static void analyzeIdentifier (tokenInfo *const token) |  | c | c.c | 1436 | 1466 | 444996 | 43
685 | analyzeKeyword | static keywordId analyzeKeyword (const char *const name) |  | c | c.c | 1430 | 1434 | 444997 | 44
685 | analyzeOperator | static opKeyword analyzeOperator (const vString *const op) |  | asm | asm.c | 130 | 139 | 444998 | 551
685 | analyzeParens | static void analyzeParens (statementInfo *const st) |  | c | c.c | 2261 | 2303 | 444999 | 45
685 | analyzePostParens | static void analyzePostParens (statementInfo *const st, parenInfo *const info) |  | c | c.c | 2032 | 2446 | 445000 | 46
685 | analyzeToken | extern int analyzeToken (vString *const name, langType language) |  | keyword | keyword.c | 195 | 203 | 445001 | 47
685 | ancestorClear | static void ancestorClear (void) |  | fortran | fortran.c | 374 | 383 | 445002 | 48
685 | ancestorPop | static void ancestorPop (void) |  | fortran | fortran.c | 338 | 350 | 445003 | 49
685 | ancestorPush | static void ancestorPush (tokenInfo *const token) |  | fortran | fortran.c | 318 | 336 | 445004 | 50
685 | ancestorScope | static const tokenInfo* ancestorScope (void) |  | fortran | fortran.c | 352 | 364 | 445005 | 588
685 | ancestorTop | static const tokenInfo* ancestorTop (void) |  | fortran | fortran.c | 366 | 370 | 445006 | 51
685 | argDelete | extern void argDelete (Arguments* const current) |  | args | args.c | 265 | 272 | 445007 | 52
685 | argForth | extern void argForth (Arguments* const current) |  | args | args.c | 238 | 263 | 445008 | 53
685 | argItem | extern char *argItem (const Arguments* const current) |  | args | args.c | 213 | 218 | 445009 | 54
685 | argNewFromArgv | extern Arguments* argNewFromArgv (char* const* const argv) |  | args | args.c | 181 | 190 | 445010 | 55
685 | argNewFromFile | extern Arguments* argNewFromFile (FILE* const fp) |  | args | args.c | 192 | 200 | 445011 | 56
685 | argNewFromLineFile | extern Arguments* argNewFromLineFile (FILE* const fp) |  | args | args.c | 202 | 211 | 445012 | 57
685 | argNewFromString | extern Arguments* argNewFromString (const char* const string) |  | args | args.c | 169 | 179 | 445013 | 58
685 | argOff | extern boolean argOff (const Arguments* const current) |  | args | args.c | 220 | 224 | 445014 | 59
685 | argSetLineMode | extern void argSetLineMode (Arguments* const current) |  | args | args.c | 232 | 236 | 445015 | 60
685 | argSetWordMode | extern void argSetWordMode (Arguments* const current) |  | args | args.c | 226 | 230 | 445016 | 61
685 | at_begline_loc_p | at_begline_loc_p (pattern, p, syntax) |  | regex | gnu_regex/regex.c | 2135 | 2136 | 445017 | 667
685 | at_endline_loc_p | at_endline_loc_p (p, pend, syntax) |  | regex | gnu_regex/regex.c | 2154 | 2155 | 445018 | 668
685 | background_process | background_process (argc, argv) |  | argproc | argproc.c | 468 | 469 | 445019 | 62
