globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
1395 | Revision_786/Jmol/src/org/openscience/jmol/BandPlot.java | 242 | 248 | 65 | 615 | parse | private void parse() throws ParseErrorException | 107 | 303 | org.openscience.jmol | BandPlot
1396 | Revision_786/Jmol/src/org/openscience/jmol/BandPlot.java | 248 | 254 | 65 | 615 | parse | private void parse() throws ParseErrorException | 107 | 303 | org.openscience.jmol | BandPlot
1397 | Revision_786/Jmol/src/org/openscience/jmol/BandPlotEPSRenderer.java | 127 | 142 | 66 | 1522 | drawVerticalTics | void drawVerticalTics(int ntics, boolean direction, int linewidth) | 127 | 142 | org.openscience.jmol | BandPlotEPSRenderer
1398 | Revision_786/Jmol/src/org/openscience/jmol/BandPlotG2DRenderer.java | 87 | 105 | 66 | 1522 | drawVerticalTics | void drawVerticalTics(int ntics, boolean direction, int linewidth) | 87 | 105 | org.openscience.jmol | BandPlotG2DRenderer
1399 | Revision_786/Jmol/src/org/openscience/jmol/BandPlotEPSRenderer.java | 160 | 168 | 67 | 1515 | drawHorizontalTics | void drawHorizontalTics(int ntics, double orig, double end, int linewidth) | 160 | 168 | org.openscience.jmol | BandPlotEPSRenderer
1400 | Revision_786/Jmol/src/org/openscience/jmol/BandPlotG2DRenderer.java | 127 | 135 | 67 | 1515 | drawHorizontalTics | void drawHorizontalTics(int ntics, double orig, double end, int linewidth) | 127 | 135 | org.openscience.jmol | BandPlotG2DRenderer
1401 | Revision_786/Jmol/src/org/openscience/jmol/BandPlotRenderer.java | 135 | 160 | 68 | NULL | NULL | NULL | NULL | NULL |  | 
1402 | Revision_786/Jmol/src/org/openscience/jmol/BandPlotRenderer.java | 160 | 185 | 68 | NULL | NULL | NULL | NULL | NULL |  | 
1403 | Revision_786/Jmol/src/org/openscience/jmol/BandPlotRenderer.java | 250 | 254 | 69 | 1537 | getStringWidth | public double getStringWidth(String string, String name, int size) | 250 | 254 | org.openscience.jmol | BandPlotRenderer
1404 | Revision_786/Jmol/src/org/openscience/jmol/BandPlotRenderer.java | 256 | 260 | 69 | 1532 | getMaxFontHeight | public double getMaxFontHeight(String name, int size) | 256 | 260 | org.openscience.jmol | BandPlotRenderer
1001 | Revision_786/Jmol/src/org/openscience/jmol/BMPFile.java | 254 | 259 | 70 | NULL | NULL | NULL | NULL | NULL |  | 
1002 | Revision_786/Jmol/src/org/openscience/jmol/BMPFile.java | 267 | 275 | 70 | NULL | NULL | NULL | NULL | NULL |  | 
897 | Revision_786/Jmol/src/org/openscience/jmol/ChemFile.java | 112 | 131 | 71 | 802 | getAtomPropertyList | public Vector getAtomPropertyList() | 112 | 131 | org.openscience.jmol | ChemFile
898 | Revision_786/Jmol/src/org/openscience/jmol/ChemFile.java | 136 | 152 | 71 | 804 | getFramePropertyList | public Vector getFramePropertyList() | 136 | 152 | org.openscience.jmol | ChemFile
189 | Revision_786/Jmol/src/org/openscience/jmol/ChemFrame.java | 229 | 236 | 72 | 165 | addAtom | public int addAtom(BaseAtomType type, double x, double y, double z) | 219 | 238 | org.openscience.jmol | ChemFrame
1007 | Revision_786/Jmol/src/org/openscience/jmol/io/FileSaver.java | 45 | 50 | 72 | 589 | writeFile | public synchronized void writeFile() throws IOException | 40 | 58 | org.openscience.jmol.io | FileSaver
639 | Revision_786/Jmol/src/org/openscience/jmol/ChemFrame.java | 555 | 562 | 72 | 441 | rebond | public void rebond() | 548 | 564 | org.openscience.jmol | ChemFrame
1045 | Revision_786/Jmol/src/org/openscience/jmol/ChemFrame.java | 343 | 347 | 73 | NULL | NULL | NULL | NULL | NULL |  | 
487 | Revision_786/Jmol/src/org/openscience/jmol/ChemFrame.java | 583 | 589 | 73 | 773 | increaseArraySizes | private void increaseArraySizes(int newArraySize) | 583 | 589 | org.openscience.jmol | ChemFrame
1262 | Revision_786/Jmol/src/org/openscience/jmol/ChemFrame.java | 477 | 505 | 74 | 791 | calculateGeometricCenter | Point3d calculateGeometricCenter() | 477 | 505 | org.openscience.jmol | ChemFrame
1263 | Revision_786/Jmol/src/org/openscience/jmol/CrystalFrame.java | 68 | 89 | 74 | 791 | calculateGeometricCenter | public Point3d calculateGeometricCenter() | 68 | 89 | org.openscience.jmol | CrystalFrame
1129 | Revision_786/Jmol/src/org/openscience/jmol/CrystalPropertiesDialog.java | 342 | 353 | 75 | 1211 | updateBasisVectorsPanel | protected void updateBasisVectorsPanel() | 333 | 390 | org.openscience.jmol | CrystalPropertiesDialog
1130 | Revision_786/Jmol/src/org/openscience/jmol/CrystalPropertiesDialog.java | 353 | 364 | 75 | 1211 | updateBasisVectorsPanel | protected void updateBasisVectorsPanel() | 333 | 390 | org.openscience.jmol | CrystalPropertiesDialog
