Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | Similarity
347 | Revision_347/jnamed.java | U | 104 | 110 | 7 | 150157 | 1 | 80
347 | Revision_347/jnamed.java | U | 234 | 243 | 7 | 150158 | 1 | 80
347 | Revision_347/jnamed.java | U | 216 | 222 | 7 | 150159 | 1 | 80
347 | Revision_347/org/xbill/DNS/OPTRecord.java | U | 63 | 69 | 7 | 150160 | 1 | 80
347 | Revision_347/jnamed.java | U | 211 | 228 | 17 | 150161 | 2 | 76
347 | Revision_347/jnamed.java | U | 229 | 249 | 17 | 150162 | 2 | 76
347 | Revision_347/jnamed.java | U | 252 | 259 | 7 | 150163 | 3 | 75
347 | Revision_347/org/xbill/DNS/utils/hmacSigner.java | U | 78 | 85 | 7 | 150164 | 3 | 75
347 | Revision_347/org/xbill/DNS/utils/hmacSigner.java | U | 121 | 128 | 7 | 150165 | 3 | 75
347 | Revision_347/jnamed.java | U | 362 | 368 | 7 | 150166 | 4 | 100
347 | Revision_347/org/xbill/DNS/SimpleResolver.java | U | 280 | 286 | 7 | 150167 | 4 | 100
347 | Revision_347/jnamed.java | U | 434 | 438 | 10 | 150168 | 5 | 100
347 | Revision_347/jnamed.java | U | 441 | 445 | 10 | 150169 | 5 | 100
347 | Revision_347/org/xbill/DNS/ARecord.java | U | 82 | 87 | 5 | 150170 | 6 | 75
347 | Revision_347/org/xbill/DNS/NS_CNAME_PTRRecord.java | U | 53 | 58 | 5 | 150171 | 6 | 75
347 | Revision_347/org/xbill/DNS/UNKRecord.java | U | 48 | 53 | 5 | 150172 | 6 | 75
347 | Revision_347/org/xbill/DNS/Record.java | U | 239 | 243 | 5 | 150173 | 6 | 75
347 | Revision_347/org/xbill/DNS/Cache.java | U | 72 | 78 | 8 | 150174 | 7 | 71
347 | Revision_347/org/xbill/DNS/Header.java | U | 214 | 224 | 8 | 150175 | 7 | 71
347 | Revision_347/org/xbill/DNS/MX_KXRecord.java | U | 57 | 65 | 8 | 150176 | 7 | 71
347 | Revision_347/org/xbill/DNS/NXTRecord.java | U | 75 | 86 | 8 | 150177 | 7 | 71
347 | Revision_347/org/xbill/DNS/Cache.java | U | 225 | 233 | 8 | 150178 | 8 | 71
347 | Revision_347/org/xbill/DNS/Zone.java | U | 106 | 116 | 8 | 150179 | 8 | 71
347 | Revision_347/org/xbill/DNS/Cache.java | U | 353 | 360 | 6 | 150180 | 9 | 100
347 | Revision_347/org/xbill/DNS/Cache.java | U | 363 | 370 | 6 | 150181 | 9 | 100
