Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | Similarity
54 | Revision_54/asp.c | U | 73 | 88 | 12 | 253 | 1 | 100
54 | Revision_54/asp.c | U | 96 | 111 | 12 | 254 | 1 | 100
54 | Revision_54/main.c | U | 297 | 304 | 8 | 255 | 2 | 100
54 | Revision_54/readtags.c | U | 498 | 505 | 8 | 256 | 2 | 100
54 | Revision_54/main.c | U | 309 | 316 | 8 | 257 | 3 | 100
54 | Revision_54/readtags.c | U | 510 | 517 | 8 | 258 | 3 | 100
54 | Revision_54/python.c | U | 97 | 101 | 5 | 259 | 4 | 100
54 | Revision_54/ruby.c | U | 120 | 124 | 5 | 260 | 4 | 100
