n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,TP,TN,FP,FN,sensitivity,specificity,gmean,model,verification_revision,threshold,train_size
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,411,0.312,64
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,411,0.1,64
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,411,0.394,64
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,411,0.149,64
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,417,0.312,65
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,417,0.1,65
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,417,0.394,65
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,417,0.149,65
2,2,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,420,0.312,66
2,2,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,420,0.1,66
2,2,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,420,0.394,66
2,2,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,420,0.149,66
2,2,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,424,0.312,68
2,2,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,424,0.1,68
2,2,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,424,0.394,68
2,2,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,424,0.149,68
77,77,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,443,0.622,70
