Model,MCC,AUC-ROC,PR-AUC,Balanced_Acc,G_mean,Recall_pos,Recall_neg,Precision_pos,Precision_neg,F1,Brier,TP,FP,TN,FN,N_predictions,Time_sec
LightGBM,0.9856,0.9988,0.9997,0.9934,0.9934,0.9973,0.9895,0.9979,0.9866,0.9976,0.0038,11753,25,2357,32,14167,2007.2
Ensemble,0.9843,0.9992,0.9999,0.991,0.991,0.998,0.984,0.9968,0.9899,0.9974,0.0033,11761,38,2344,24,14167,7589.5
CatBoost,0.9823,0.9993,0.9999,0.9893,0.9893,0.998,0.9807,0.9961,0.9898,0.997,0.0031,11761,46,2336,24,14167,3634.7
XGBoost,0.9805,0.9987,0.9997,0.9897,0.9897,0.997,0.9824,0.9964,0.9853,0.9967,0.0049,11750,42,2340,35,14167,1947.6
RandomForest,0.8256,0.999,0.9998,0.8628,0.852,0.9988,0.7267,0.9476,0.992,0.9725,0.0119,11771,651,1731,14,14167,2971.9
