n,n_pos,n_neg,mcc,balanced_acc,f1,auc_roc,pr_auc,TP,TN,FP,FN,sensitivity,specificity,gmean,model,total_predictions
525,347,178,0.37570551323251367,0.6980215652624422,0.7380191693290735,0.7650811125862125,0.8583467118470118,231,130,48,116,0.6657,0.7303,0.6972731266625865,RandomForest,525
525,347,178,0.3694976027583893,0.6929135770488618,0.7550077041602465,0.7527604183531392,0.8563750145655545,245,121,57,102,0.7061,0.6798,0.6927890085970795,LightGBM,525
525,347,178,0.296794909780979,0.6558138781854095,0.7178683385579937,0.7293818605705403,0.8033133338805072,229,116,62,118,0.6599,0.6517,0.6558008832205052,XGBoost,525
525,347,178,0.396851604486624,0.7082537318265713,0.7574334898278561,0.7331055920733089,0.8442174268584058,242,128,50,105,0.6974,0.7191,0.7081706593315455,CatBoost,525
