n,n_pos,n_neg,mcc,balanced_acc,f1,auc_roc,pr_auc,TP,TN,FP,FN,sensitivity,specificity,gmean,model,total_predictions
1173,204,969,0.5550411992886723,0.8147574819401444,0.6354378818737271,0.898854691515409,0.6429408596157786,156,838,131,48,0.7647,0.8648,0.8132186617117237,RandomForest,1173
1173,204,969,0.47279810429714003,0.7678018575851393,0.5714285714285714,0.8378963556526842,0.522367003589964,140,823,146,64,0.6863,0.8493,0.7634611870127721,LightGBM,1173
1173,204,969,0.48896905534715224,0.769736842105263,0.5842217484008528,0.8754982901313261,0.6551527775132062,137,841,128,67,0.6716,0.8679,0.763451247772753,XGBoost,1173
1173,204,969,0.54485016530762,0.7947626418988648,0.6285714285714286,0.8728070175438596,0.5869468119761239,143,861,108,61,0.701,0.8885,0.7892100776037975,CatBoost,1173
