n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,model,Revision,threshold,train_size,TP,TN,FP,FN,sensitivity,specificity
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,289,0.263,115,,,,,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,289,0.149,115,,,,,,
3,1,2,0.0,1.0,1.0,0.5,0.0,0.0,RandomForest,331,0.459,116,0.0,2.0,0.0,1.0,0.0,1.0
3,1,2,0.0,1.0,1.0,0.5,0.0,0.0,LightGBM,331,0.802,116,0.0,2.0,0.0,1.0,0.0,1.0
3,1,2,0.0,1.0,1.0,0.5,0.0,0.0,XGBoost,331,0.345,116,0.0,2.0,0.0,1.0,0.0,1.0
3,1,2,0.0,1.0,1.0,0.5,0.0,0.0,CatBoost,331,0.149,116,0.0,2.0,0.0,1.0,0.0,1.0
11,2,9,0.0,0.888888888888889,0.5833333333333333,0.5,0.0,0.0,RandomForest,333,0.459,119,0.0,9.0,0.0,2.0,0.0,1.0
11,2,9,0.0,0.888888888888889,0.5833333333333333,0.5,0.0,0.0,LightGBM,333,0.802,119,0.0,9.0,0.0,2.0,0.0,1.0
11,2,9,0.0,0.888888888888889,0.5833333333333333,0.5,0.0,0.0,XGBoost,333,0.345,119,0.0,9.0,0.0,2.0,0.0,1.0
11,2,9,0.0,0.888888888888889,0.75,0.5,0.0,0.0,CatBoost,333,0.149,119,0.0,9.0,0.0,2.0,0.0,1.0
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,338,0.459,130,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,338,0.802,130,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,338,0.737,130,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,338,0.149,130,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,345,0.459,131,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,345,0.165,131,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,345,0.345,131,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,345,0.149,131,,,,,,
12,2,10,0.4,0.9,0.5833333333333333,0.7,0.5,0.6708203932499369,RandomForest,346,0.459,134,1.0,9.0,1.0,1.0,0.5,0.9
12,2,10,0.674199862463242,0.8,0.6666666666666666,0.75,0.6666666666666666,0.7071067811865476,LightGBM,346,0.165,134,1.0,10.0,0.0,1.0,0.5,1.0
12,2,10,0.0,0.9,0.5833333333333333,0.5,0.0,0.0,XGBoost,346,0.737,134,0.0,10.0,0.0,2.0,0.0,1.0
12,2,10,0.0,0.9500000000000001,0.8333333333333333,0.5,0.0,0.0,CatBoost,346,0.802,134,0.0,10.0,0.0,2.0,0.0,1.0
