n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,model,Revision,threshold,train_size
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,189,0.9,152
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,189,0.231,152
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,197,0.524,159
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,197,0.9,159
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,197,0.9,159
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,197,0.231,159
5,0,5,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,198,0.524,166
5,0,5,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,198,0.9,166
5,0,5,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,198,0.9,166
5,0,5,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,198,0.231,166
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,199,0.524,171
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,199,0.9,171
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,199,0.9,171
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,199,0.231,171
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,203,0.524,172
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,203,0.9,172
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,203,0.9,172
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,203,0.231,172
12,0,12,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,204,0.524,173
12,0,12,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,204,0.9,173
12,0,12,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,204,0.9,173
12,0,12,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,204,0.231,173
8,0,8,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,205,0.524,185
