revision,n_change_events_so_far,n_verified_so_far,rolling_acc,rolling_mcc,rolling_f1,threshold
731,880,850,0.7647,0.4332,0.835,0.1
732,881,851,0.7638,0.4315,0.8343,0.1
735,890,860,0.7651,0.4401,0.8342,0.1
737,920,890,0.7685,0.4405,0.8381,0.1
740,944,914,0.7735,0.4444,0.8431,0.476
741,945,915,0.7738,0.446,0.8431,0.476
742,947,917,0.7732,0.4447,0.8427,0.476
743,948,918,0.7723,0.4431,0.842,0.476
745,963,933,0.7738,0.4451,0.8434,0.476
751,964,934,0.7741,0.4466,0.8434,0.443
755,981,951,0.776,0.4458,0.8455,0.443
756,1014,984,0.7744,0.4345,0.8452,0.1
757,1016,986,0.7738,0.4345,0.8446,0.1
759,1016,986,0.7738,0.4345,0.8446,0.1
760,1030,1000,0.776,0.4371,0.8466,0.1
762,1030,1000,0.776,0.4371,0.8466,0.1
763,1036,1006,0.7753,0.4363,0.846,0.1
766,1036,1006,0.7753,0.4363,0.846,0.1
770,1038,1008,0.7758,0.4367,0.8465,0.1
773,1038,1008,0.7758,0.4367,0.8465,0.1
774,1042,1012,0.7757,0.4358,0.8465,0.1
776,1044,1014,0.7761,0.4362,0.8469,0.1
777,1051,1021,0.7767,0.4386,0.8472,0.1
779,1051,1021,0.7767,0.4386,0.8472,0.1
785,1060,1030,0.7757,0.4414,0.8457,0.1
786,1061,1031,0.7759,0.4428,0.8457,0.1
787,1062,1032,0.7762,0.4442,0.8457,0.1
788,1062,1032,0.7762,0.4442,0.8457,0.1
789,1065,1035,0.7768,0.4461,0.8461,0.1
791,1095,1065,0.7793,0.4499,0.8483,0.133
793,1125,1095,0.7799,0.4532,0.8485,0.133
795,1126,1096,0.7792,0.4519,0.848,0.133
797,1150,1120,0.7812,0.4574,0.8494,0.116
798,1161,1131,0.7816,0.4586,0.8497,0.116
799,1162,1132,0.7809,0.4573,0.8491,0.116
800,1186,1156,0.7803,0.4572,0.8486,0.149
805,1189,1159,0.7808,0.4609,0.8486,0.149
806,1190,1160,0.781,0.4621,0.8486,0.149
808,1191,1161,0.7812,0.4633,0.8486,0.149
809,1205,1175,0.7821,0.4669,0.8491,0.149
813,1206,1176,0.7815,0.4657,0.8486,0.133
814,1206,1176,0.7815,0.4657,0.8486,0.133
815,1206,1176,0.7815,0.4657,0.8486,0.133
816,1209,1179,0.7803,0.4644,0.8476,0.133
