n,n_pos,n_neg,mcc,balanced_acc,f1,auc_roc,pr_auc,TP,TN,FP,FN,sensitivity,specificity,gmean,model,revision,threshold,train_size
13,10,3,0.5916079783099616,0.85,0.8235294117647058,0.9333333333333333,0.9833333333333334,7,3,0,3,0.7,1.0,0.8366600265340756,RandomForest,273,0.361,88
13,10,3,0.8215838362577492,0.95,0.9473684210526315,0.9333333333333333,0.9833333333333333,9,3,0,1,0.9,1.0,0.9486832980505138,LightGBM,273,0.1,88
13,10,3,0.5916079783099616,0.85,0.8235294117647058,0.85,0.9307692307692308,7,3,0,3,0.7,1.0,0.8366600265340756,XGBoost,273,0.41,88
13,10,3,0.6928203230275508,0.9,0.8888888888888888,1.0,1.0,8,3,0,2,0.8,1.0,0.8944271909999159,CatBoost,273,0.1,88
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,274,0.361,101
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,274,0.1,101
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,274,0.41,101
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,274,0.1,101
12,10,2,0.7745966692414834,0.95,0.9473684210526315,1.0,1.0,9,2,0,1,0.9,1.0,0.9486832980505138,RandomForest,282,0.361,102
12,10,2,-0.13483997249264842,0.45,0.8571428571428571,0.8,0.9622222222222223,9,0,2,1,0.9,0.0,0.0,LightGBM,282,0.1,102
12,10,2,0.7745966692414834,0.95,0.9473684210526315,0.975,0.990909090909091,9,2,0,1,0.9,1.0,0.9486832980505138,XGBoost,282,0.41,102
12,10,2,0.0,0.5,0.9090909090909091,0.7,0.941540404040404,10,0,2,0,1.0,0.0,0.0,CatBoost,282,0.1,102
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,289,0.361,114
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,289,0.116,114
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,289,0.508,114
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,289,0.1,114
3,2,1,0.0,0.5,0.8,1.0,1.0,2,0,1,0,1.0,0.0,0.0,RandomForest,331,0.263,115
3,2,1,0.0,0.5,0.8,0.0,0.6666666666666666,2,0,1,0,1.0,0.0,0.0,LightGBM,331,0.116,115
3,2,1,0.0,0.5,0.8,0.5,0.6666666666666666,2,0,1,0,1.0,0.0,0.0,XGBoost,331,0.41,115
3,2,1,0.0,0.5,0.8,1.0,1.0,2,0,1,0,1.0,0.0,0.0,CatBoost,331,0.1,115
11,8,3,1.0,1.0,1.0,1.0,1.0,8,3,0,0,1.0,1.0,1.0,RandomForest,333,0.263,118
11,8,3,0.769800358919501,0.8333333333333333,0.9411764705882353,1.0,1.0,8,2,1,0,1.0,0.6667,0.816496580927726,LightGBM,333,0.116,118
11,8,3,1.0,1.0,1.0,1.0,1.0,8,3,0,0,1.0,1.0,1.0,XGBoost,333,0.41,118
11,8,3,1.0,1.0,1.0,1.0,1.0,8,3,0,0,1.0,1.0,1.0,CatBoost,333,0.1,118
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,338,0.263,129
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,338,0.182,129
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,338,0.41,129
