Model,Threshold,MCC,MCC_oracle,T_oracle,AUC-ROC,PR-AUC,F1,Precision,Recall,Brier
LightGBM,0.1,0.977,0.9786,0.56,0.998,0.9998,0.9981,0.9995,0.9967,0.0033
XGBoost,0.17,0.9754,0.9802,0.63,0.9975,0.9998,0.998,0.9992,0.9967,0.0033
CatBoost,0.1,0.9737,0.9786,0.65,0.9976,0.9998,0.9978,0.999,0.9967,0.0034
RandomForest,0.26,0.6568,0.9709,0.53,0.9986,0.9999,0.9764,0.9541,0.9997,0.0115
