Revision | filePath | changeType | StartLine | EndLine | Nlines | cloneId | classId | globalCloneId | Similarity
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 312 | 318 | 7 | 1495576 | 1 | 284 | 71
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 972 | 980 | 7 | 1495577 | 1 | 285 | 71
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 1001 | 1008 | 7 | 1495578 | 1 | 286 | 71
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/LoopedStreams.java | U | 110 | 118 | 7 | 1495579 | 1 | 840 | 71
2160 | Revision_2160/Jmol/src/org/jmol/g3d/Platform3D.java | U | 135 | 140 | 7 | 1495580 | 1 | 2839 | 71
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/JmolResourceHandler.java | U | 124 | 129 | 7 | 1495581 | 1 | 282 | 71
2160 | Revision_2160/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | U | 1722 | 1727 | 7 | 1495582 | 1 | 1509 | 71
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 1289 | 1295 | 7 | 1495583 | 1 | 841 | 71
2160 | Revision_2160/Jmol/src/org/openscience/jmol/viewer/managers/RepaintManager.java | U | 227 | 233 | 7 | 1495584 | 1 | 2840 | 71
2160 | Revision_2160/Jmol/src/JmolApplet.java | U | 128 | 134 | 7 | 1495585 | 1 | 2062 | 71
2160 | Revision_2160/Jmol/src/JmolApplet.java | U | 95 | 101 | 7 | 1495586 | 1 | 2062 | 71
2160 | Revision_2160/Jmol/src/JmolAppletRegistry.java | U | 76 | 82 | 7 | 1495587 | 1 | 2257 | 71
2160 | Revision_2160/Jmol/src/org/jmol/adapter/simple/SimpleModelAdapter.java | U | 772 | 778 | 7 | 1495588 | 1 | 2167 | 71
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/Jmol.java | U | 913 | 919 | 7 | 1495589 | 1 | 2264 | 71
2160 | Revision_2160/Jmol/src/JmolAppletRegistry.java | U | 91 | 97 | 7 | 1495590 | 1 | 2258 | 71
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/HistoryFile.java | U | 109 | 118 | 7 | 1495591 | 1 | 1017 | 71
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/HistoryFile.java | U | 95 | 104 | 7 | 1495592 | 1 | 1015 | 71
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 476 | 481 | 6 | 1495593 | 2 | 287 | 80
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 564 | 569 | 6 | 1495594 | 2 | 288 | 80
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 483 | 493 | 6 | 1495595 | 3 | 289 | 75
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 571 | 581 | 6 | 1495596 | 3 | 290 | 75
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 742 | 749 | 6 | 1495597 | 3 | 292 | 75
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 764 | 769 | 6 | 1495598 | 3 | 291 | 75
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 737 | 752 | 13 | 1495599 | 4 | 293 | 90
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 759 | 772 | 13 | 1495600 | 4 | 294 | 90
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 954 | 987 | 31 | 1495601 | 5 | 295 | 72
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 989 | 1022 | 31 | 1495602 | 5 | 296 | 72
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 1049 | 1054 | 5 | 1495603 | 6 | 297 | 100
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 1120 | 1125 | 5 | 1495604 | 6 | 298 | 100
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 1156 | 1161 | 5 | 1495605 | 6 | 299 | 100
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 1085 | 1090 | 5 | 1495606 | 6 | 300 | 100
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 1062 | 1070 | 8 | 1495607 | 7 | 301 | 100
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 1098 | 1106 | 8 | 1495608 | 7 | 302 | 100
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 1169 | 1177 | 8 | 1495609 | 7 | 303 | 100
2160 | Revision_2160/Jmol/src/com/obrador/JpegEncoder.java | U | 1133 | 1141 | 8 | 1495610 | 7 | 304 | 100
2160 | Revision_2160/Jmol/src/JmolApplet.java | U | 138 | 148 | 10 | 1495611 | 8 | 2065 | 85
2160 | Revision_2160/Jmol/src/JmolApplet.java | U | 150 | 160 | 10 | 1495612 | 8 | 2066 | 85
2160 | Revision_2160/Jmol/src/JmolApplet.java | U | 162 | 170 | 8 | 1495613 | 9 | 1430 | 83
2160 | Revision_2160/Jmol/src/JmolAppletControl.java | U | 95 | 103 | 8 | 1495614 | 9 | 2176 | 83
2160 | Revision_2160/Jmol/src/JmolAppletControl.java | U | 85 | 93 | 8 | 1495615 | 9 | 2177 | 83
2160 | Revision_2160/Jmol/src/JmolApplet.java | U | 333 | 339 | 7 | 1495616 | 10 | 1429 | 100
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/DisplayPanel.java | U | 524 | 530 | 7 | 1495617 | 10 | 2245 | 100
2160 | Revision_2160/Jmol/src/JmolApplet.java | U | 344 | 351 | 8 | 1495618 | 11 | 1430 | 100
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/DisplayPanel.java | U | 535 | 542 | 8 | 1495619 | 11 | 2058 | 100
2160 | Revision_2160/Jmol/src/JmolApplet.java | U | 358 | 366 | 6 | 1495620 | 12 | 2089 | 100
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/DisplayPanel.java | U | 550 | 558 | 6 | 1495621 | 12 | 2058 | 100
2160 | Revision_2160/Jmol/src/JmolApplet.java | U | 468 | 472 | 5 | 1495622 | 13 | 2089 | 75
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/HelpDialog.java | U | 172 | 181 | 5 | 1495623 | 13 | 861 | 75
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/WhatsNewDialog.java | U | 164 | 173 | 5 | 1495624 | 13 | 862 | 75
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/AboutDialog.java | U | 163 | 172 | 5 | 1495625 | 13 | 860 | 75
2160 | Revision_2160/Jmol/src/org/openscience/jmol/viewer/datamodel/BallsRenderer.java | U | 52 | 56 | 5 | 1495626 | 13 | 2480 | 75
2160 | Revision_2160/Jmol/src/org/jmol/adapter/smarter/Model.java | U | 76 | 80 | 5 | 1495627 | 13 | 2538 | 75
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/Jmol.java | U | 954 | 959 | 5 | 1495628 | 13 | 1535 | 75
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/HistoryFile.java | U | 97 | 101 | 5 | 1495629 | 13 | 1015 | 75
2160 | Revision_2160/Jmol/src/org/jmol/adapter/smarter/Model.java | U | 82 | 86 | 5 | 1495630 | 13 | 2538 | 75
2160 | Revision_2160/Jmol/src/org/jmol/adapter/smarter/Model.java | U | 94 | 98 | 5 | 1495631 | 13 | 2538 | 75
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/ScriptWindow.java | U | 178 | 182 | 5 | 1495632 | 13 | 2067 | 75
2160 | Revision_2160/Jmol/src/org/openscience/jmol/app/Jmol.java | U | 1024 | 1028 | 5 | 1495633 | 13 | 275 | 75
2160 | Revision_2160/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | U | 718 | 722 | 5 | 1495634 | 13 | 1431 | 75
2160 | Revision_2160/Jmol/src/org/openscience/jmol/viewer/datamodel/Frame.java | U | 602 | 606 | 5 | 1495635 | 13 | 2222 | 75
2160 | Revision_2160/Jmol/src/org/openscience/jmol/viewer/datamodel/PdbFile.java | U | 141 | 156 | 5 | 1495636 | 13 | 2644 | 75
2160 | Revision_2160/Jmol/src/org/jmol/adapter/cdk/CdkModelAdapter.java | U | 155 | 160 | 5 | 1495637 | 13 | 2512 | 75
2160 | Revision_2160/Jmol/src/org/jmol/adapter/smarter/ModelResolver.java | U | 48 | 52 | 5 | 1495638 | 13 | 2585 | 75
2160 | Revision_2160/Jmol/src/org/openscience/jmol/viewer/managers/TransformManager.java | U | 108 | 113 | 5 | 1495639 | 13 | 2190 | 75
2160 | Revision_2160/Jmol/src/org/openscience/jmol/viewer/managers/TransformManager.java | U | 120 | 124 | 5 | 1495640 | 13 | 1444 | 75
2160 | Revision_2160/Jmol/src/org/openscience/jmol/viewer/managers/TransformManager.java | U | 102 | 107 | 5 | 1495641 | 13 | 1444 | 75
