globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_162/asp.c | 72 | 87 | 1 | 158 | findAspTags | 40 | 158
2 | Revision_162/asp.c | 95 | 110 | 1 | 158 | findAspTags | 40 | 158
3 | Revision_162/eiffel.c | 720 | 727 | 2 | 415 | readToken | 614 | 745
4 | Revision_162/fortran.c | 878 | 885 | 2 | 416 | readToken | 790 | 902
11 | Revision_162/routines.c | 262 | 269 | 3 | 528 | struppercmp | 261 | 269
8 | Revision_162/readtags.c | 497 | 504 | 3 | 528 | strcasecmp | 496 | 504
12 | Revision_162/routines.c | 272 | 279 | 4 | 528 | strnuppercmp | 271 | 279
10 | Revision_162/readtags.c | 509 | 516 | 4 | 528 | strncasecmp | 508 | 516
