globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_96/asp.c | 73 | 88 | 1 | 158 | findAspTags | 41 | 159
2 | Revision_96/asp.c | 96 | 111 | 1 | 158 | findAspTags | 41 | 159
3 | Revision_96/eiffel.c | 712 | 719 | 2 | 415 | readToken | 606 | 737
4 | Revision_96/fortran.c | 878 | 885 | 2 | 416 | readToken | 790 | 902
5 | Revision_96/python.c | 97 | 101 | 3 | 175 | findPythonTags | 40 | 105
6 | Revision_96/ruby.c | 120 | 124 | 3 | 177 | findRubyTags | 42 | 128
7 | Revision_96/main.c | 297 | 304 | 4 | 528 | strcasecmp | 296 | 304
8 | Revision_96/readtags.c | 496 | 503 | 4 | 528 | strcasecmp | 495 | 503
9 | Revision_96/main.c | 309 | 316 | 5 | 528 | strncasecmp | 308 | 316
10 | Revision_96/readtags.c | 508 | 515 | 5 | 550 | strncasecmp | 507 | 515
