globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_161/asp.c | 72 | 87 | 1 | 158 | findAspTags | 40 | 158
2 | Revision_161/asp.c | 95 | 110 | 1 | 158 | findAspTags | 40 | 158
3 | Revision_161/eiffel.c | 720 | 727 | 2 | 415 | readToken | 614 | 745
4 | Revision_161/fortran.c | 878 | 885 | 2 | 416 | readToken | 790 | 902
11 | Revision_161/routines.c | 263 | 270 | 3 | 528 | strcasecmp | 262 | 270
8 | Revision_161/readtags.c | 496 | 503 | 3 | 528 | strcasecmp | 495 | 503
12 | Revision_161/routines.c | 275 | 282 | 4 | 550 | strncasecmp | 274 | 282
10 | Revision_161/readtags.c | 508 | 515 | 4 | 528 | strncasecmp | 507 | 515
