globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_112/asp.c | 72 | 87 | 1 | 158 | findAspTags | 40 | 158
2 | Revision_112/asp.c | 95 | 110 | 1 | 158 | findAspTags | 40 | 158
3 | Revision_112/eiffel.c | 710 | 717 | 2 | 415 | readToken | 604 | 735
4 | Revision_112/fortran.c | 878 | 885 | 2 | 416 | readToken | 790 | 902
5 | Revision_112/python.c | 97 | 101 | 3 | 175 | findPythonTags | 40 | 105
6 | Revision_112/ruby.c | 120 | 124 | 3 | 177 | findRubyTags | 42 | 128
11 | Revision_112/routines.c | 255 | 262 | 4 | 528 | strcasecmp | 254 | 262
8 | Revision_112/readtags.c | 496 | 503 | 4 | 528 | strcasecmp | 495 | 503
12 | Revision_112/routines.c | 267 | 274 | 5 | 550 | strncasecmp | 266 | 274
10 | Revision_112/readtags.c | 508 | 515 | 5 | 528 | strncasecmp | 507 | 515
