globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_768/asp.c | 75 | 90 | 1 | 158 | findAspTags | 43 | 314
2 | Revision_768/asp.c | 98 | 113 | 1 | 158 | findAspTags | 43 | 314
140 | Revision_768/asp.c | 121 | 162 | 2 | 158 | findAspTags | 43 | 314
141 | Revision_768/asp.c | 168 | 209 | 2 | 158 | findAspTags | 43 | 314
13 | Revision_768/eiffel.c | 374 | 383 | 3 | 878 | skipToCharacter | 373 | 383
137 | Revision_768/read.c | 453 | 460 | 3 | 457 | fileSkipToCharacter | 452 | 460
52 | Revision_768/eiffel.c | 429 | 434 | 4 | 346 | parseNumeric | 412 | 441
53 | Revision_768/fortran.c | 813 | 818 | 4 | 347 | parseNumeric | 796 | 825
15 | Revision_768/eiffel.c | 691 | 695 | 5 | 415 | readToken | 645 | 783
62 | Revision_768/vhdl.c | 457 | 461 | 5 | 874 | readToken | 404 | 479
16 | Revision_768/sql.c | 588 | 592 | 5 | 818 | readToken | 530 | 679
54 | Revision_768/eiffel.c | 765 | 770 | 6 | 415 | readToken | 645 | 783
55 | Revision_768/fortran.c | 1027 | 1032 | 6 | 600 | readToken | 921 | 1037
29 | Revision_768/jscript.c | 208 | 212 | 7 | 701 | deleteToken | 207 | 212
75 | Revision_768/flex.c | 245 | 249 | 7 | 125 | deleteToken | 244 | 249
61 | Revision_768/vhdl.c | 356 | 360 | 7 | 838 | deleteToken | 353 | 361
117 | Revision_768/tex.c | 175 | 179 | 7 | 807 | deleteToken | 174 | 179
30 | Revision_768/sql.c | 436 | 440 | 7 | 800 | deleteToken | 435 | 440
31 | Revision_768/jscript.c | 240 | 256 | 8 | 713 | makeJsTag | 235 | 257
118 | Revision_768/tex.c | 207 | 223 | 8 | 868 | makeTexTag | 202 | 224
32 | Revision_768/sql.c | 468 | 484 | 8 | 588 | makeSqlTag | 463 | 485
31 | Revision_768/jscript.c | 246 | 254 | 9 | 713 | makeJsTag | 235 | 257
76 | Revision_768/flex.c | 295 | 303 | 9 | 836 | makeFlexTag | 272 | 306
77 | Revision_768/sql.c | 474 | 482 | 9 | 588 | makeSqlTag | 463 | 485
119 | Revision_768/tex.c | 213 | 221 | 9 | 868 | makeTexTag | 202 | 224
73 | Revision_768/jscript.c | 267 | 271 | 10 | 563 | makeClassTag | 259 | 284
78 | Revision_768/flex.c | 1884 | 1888 | 10 | NULL | NULL | NULL | NULL
79 | Revision_768/flex.c | 366 | 370 | 10 | 563 | makeFunctionTag | 358 | 383
24 | Revision_768/jscript.c | 1391 | 1395 | 10 | 846 | parseStatement | 1042 | 1520
80 | Revision_768/flex.c | 316 | 320 | 10 | 562 | makeClassTag | 308 | 333
74 | Revision_768/jscript.c | 1474 | 1478 | 10 | 846 | parseStatement | 1042 | 1520
81 | Revision_768/flex.c | 343 | 347 | 10 | 837 | makeMXTag | 335 | 356
150 | Revision_768/jscript.c | 294 | 298 | 10 | 713 | makeFunctionTag | 286 | 311
33 | Revision_768/jscript.c | 318 | 336 | 11 | 728 | parseString | 317 | 336
63 | Revision_768/vhdl.c | 368 | 386 | 11 | 871 | parseString | 367 | 386
120 | Revision_768/tex.c | 231 | 249 | 11 | 847 | parseString | 230 | 249
82 | Revision_768/flex.c | 390 | 408 | 11 | 360 | parseString | 389 | 408
35 | Revision_768/jscript.c | 342 | 353 | 12 | 719 | parseIdentifier | 341 | 353
83 | Revision_768/flex.c | 414 | 425 | 12 | 334 | parseIdentifier | 413 | 425
121 | Revision_768/tex.c | 256 | 268 | 12 | 843 | parseIdentifier | 255 | 268
60 | Revision_768/jscript.c | 365 | 369 | 13 | 734 | readToken | 355 | 453
84 | Revision_768/flex.c | 437 | 441 | 13 | 416 | readToken | 427 | 746
36 | Revision_768/sql.c | 540 | 553 | 13 | 818 | readToken | 530 | 679
122 | Revision_768/tex.c | 280 | 284 | 13 | 850 | readToken | 270 | 346
64 | Revision_768/vhdl.c | 414 | 418 | 13 | 874 | readToken | 404 | 479
71 | Revision_768/jscript.c | 405 | 435 | 14 | 734 | readToken | 355 | 453
72 | Revision_768/sql.c | 625 | 655 | 14 | 818 | readToken | 530 | 679
85 | Revision_768/jscript.c | 416 | 427 | 15 | 734 | readToken | 355 | 453
86 | Revision_768/flex.c | 492 | 503 | 15 | 416 | readToken | 427 | 746
38 | Revision_768/sql.c | 636 | 647 | 15 | 818 | readToken | 530 | 679
87 | Revision_768/jscript.c | 441 | 450 | 16 | 734 | readToken | 355 | 453
123 | Revision_768/tex.c | 317 | 326 | 16 | 850 | readToken | 270 | 346
88 | Revision_768/flex.c | 734 | 743 | 16 | 416 | readToken | 427 | 746
89 | Revision_768/jscript.c | 471 | 501 | 17 | 735 | skipArgumentList | 470 | 501
90 | Revision_768/flex.c | 765 | 795 | 17 | 601 | skipArgumentList | 764 | 795
41 | Revision_768/jscript.c | 492 | 497 | 18 | 735 | skipArgumentList | 470 | 501
56 | Revision_768/jscript.c | 524 | 529 | 18 | 852 | skipArrayList | 503 | 533
91 | Revision_768/flex.c | 818 | 823 | 18 | 758 | skipArrayList | 797 | 827
67 | Revision_768/vhdl.c | 524 | 529 | 18 | 821 | skipToMatched | 492 | 533
57 | Revision_768/sql.c | 775 | 780 | 18 | 794 | skipToMatched | 734 | 784
92 | Revision_768/flex.c | 786 | 791 | 18 | 601 | skipArgumentList | 764 | 795
93 | Revision_768/jscript.c | 504 | 533 | 19 | 852 | skipArrayList | 503 | 533
94 | Revision_768/flex.c | 798 | 827 | 19 | 758 | skipArrayList | 797 | 827
41 | Revision_768/jscript.c | 536 | 543 | 20 | 829 | addContext | 535 | 543
95 | Revision_768/flex.c | 830 | 837 | 20 | 694 | addContext | 829 | 837
41 | Revision_768/jscript.c | 546 | 553 | 21 | 697 | addToScope | 545 | 553
96 | Revision_768/flex.c | 840 | 847 | 21 | 696 | addToScope | 839 | 847
42 | Revision_768/sql.c | 698 | 705 | 21 | 830 | addToScope | 697 | 705
97 | Revision_768/jscript.c | 560 | 582 | 22 | 705 | findCmdTerm | 559 | 582
98 | Revision_768/flex.c | 854 | 876 | 22 | 704 | findCmdTerm | 853 | 876
45 | Revision_768/jscript.c | 696 | 707 | 23 | 727 | parseLoop | 622 | 709
46 | Revision_768/sql.c | 1032 | 1052 | 23 | 593 | parseRecord | 987 | 1054
136 | Revision_768/sql.c | 937 | 944 | 23 | 597 | parseSubProgram | 811 | 985
101 | Revision_768/flex.c | 986 | 997 | 23 | 724 | parseLoop | 912 | 999
102 | Revision_768/jscript.c | 712 | 819 | 24 | 724 | parseIf | 711 | 819
103 | Revision_768/flex.c | 1002 | 1109 | 24 | 720 | parseIf | 1001 | 1109
104 | Revision_768/jscript.c | 1127 | 1135 | 25 | 846 | parseStatement | 1042 | 1520
105 | Revision_768/flex.c | 1582 | 1590 | 25 | NULL | NULL | NULL | NULL
106 | Revision_768/jscript.c | 1197 | 1219 | 26 | 846 | parseStatement | 1042 | 1520
107 | Revision_768/flex.c | 1652 | 1674 | 26 | NULL | NULL | NULL | NULL
110 | Revision_768/jscript.c | 1423 | 1451 | 27 | 846 | parseStatement | 1042 | 1520
111 | Revision_768/flex.c | 1833 | 1861 | 27 | NULL | NULL | NULL | NULL
138 | Revision_768/gnu_regex/regex_internal.c | 1103 | 1108 | 28 | NULL | NULL | NULL | NULL
139 | Revision_768/gnu_regex/regex_internal.c | 1236 | 1241 | 28 | 942 | re_node_set_merge | 1182 | 1257
17 | Revision_768/python.c | 278 | 282 | 29 | 612 | skipSpace | 277 | 282
19 | Revision_768/erlang.c | 58 | 62 | 29 | 566 | skipSpace | 57 | 62
18 | Revision_768/sml.c | 84 | 88 | 29 | 619 | skipSpace | 83 | 88
20 | Revision_768/python.c | 286 | 295 | 30 | 728 | parseIdentifier | 285 | 295
21 | Revision_768/erlang.c | 66 | 75 | 30 | NULL | NULL | NULL | NULL
11 | Revision_768/routines.c | 288 | 295 | 31 | 570 | struppercmp | 287 | 295
