globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_488/asp.c | 74 | 89 | 1 | 158 | findAspTags | 42 | 198
2 | Revision_488/asp.c | 97 | 112 | 1 | 158 | findAspTags | 42 | 198
13 | Revision_488/eiffel.c | 367 | 376 | 2 | 457 | skipToCharacter | 366 | 376
14 | Revision_488/sql.c | 414 | 421 | 2 | 736 | skipToCharacter | 413 | 421
24 | Revision_488/jscript.c | 274 | 281 | 2 | 602 | skipToCharacter | 273 | 281
15 | Revision_488/eiffel.c | 660 | 664 | 3 | 415 | readToken | 614 | 745
16 | Revision_488/sql.c | 517 | 521 | 3 | 734 | readToken | 465 | 599
29 | Revision_488/jscript.c | 200 | 204 | 4 | 582 | deleteToken | 199 | 204
30 | Revision_488/sql.c | 358 | 362 | 4 | 701 | deleteToken | 357 | 362
31 | Revision_488/jscript.c | 232 | 248 | 5 | 713 | makeJsTag | 227 | 249
32 | Revision_488/sql.c | 390 | 406 | 5 | 588 | makeSqlTag | 385 | 407
33 | Revision_488/jscript.c | 284 | 298 | 6 | 596 | parseString | 283 | 298
32 | Revision_488/sql.c | 424 | 438 | 6 | 728 | parseString | 423 | 438
35 | Revision_488/jscript.c | 304 | 315 | 7 | 591 | parseIdentifier | 303 | 315
36 | Revision_488/sql.c | 443 | 454 | 7 | 728 | parseIdentifier | 442 | 454
49 | Revision_488/jscript.c | 368 | 398 | 8 | 600 | readToken | 326 | 416
50 | Revision_488/sql.c | 545 | 575 | 8 | 734 | readToken | 465 | 599
51 | Revision_488/jscript.c | 434 | 464 | 9 | 601 | skipArgumentList | 433 | 464
26 | Revision_488/sql.c | 653 | 683 | 9 | 735 | skipArgumentList | 652 | 683
41 | Revision_488/jscript.c | 477 | 484 | 10 | 696 | addToScope | 476 | 484
42 | Revision_488/sql.c | 618 | 625 | 10 | 697 | addToScope | 617 | 625
45 | Revision_488/jscript.c | 623 | 634 | 11 | 724 | parseLoop | 549 | 636
46 | Revision_488/sql.c | 831 | 851 | 11 | 593 | parseRecord | 786 | 853
17 | Revision_488/python.c | 107 | 111 | 12 | 612 | skipSpace | 106 | 111
18 | Revision_488/sml.c | 84 | 88 | 12 | 619 | skipSpace | 83 | 88
19 | Revision_488/erlang.c | 58 | 62 | 12 | 566 | skipSpace | 57 | 62
20 | Revision_488/python.c | 115 | 124 | 13 | 719 | parseIdentifier | 114 | 124
21 | Revision_488/erlang.c | 66 | 75 | 13 | NULL | NULL | NULL | NULL
11 | Revision_488/routines.c | 287 | 294 | 14 | 570 | struppercmp | 286 | 294
8 | Revision_488/readtags.c | 106 | 113 | 14 | 528 | struppercmp | 105 | 113
12 | Revision_488/routines.c | 297 | 304 | 15 | 528 | strnuppercmp | 296 | 304
10 | Revision_488/readtags.c | 116 | 123 | 15 | 528 | strnuppercmp | 115 | 123
