globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_223/asp.c | 72 | 87 | 1 | 158 | findAspTags | 40 | 158
2 | Revision_223/asp.c | 95 | 110 | 1 | 158 | findAspTags | 40 | 158
13 | Revision_223/eiffel.c | 367 | 376 | 2 | 457 | skipToCharacter | 366 | 376
14 | Revision_223/sql.c | 248 | 255 | 2 | 602 | skipToCharacter | 247 | 255
15 | Revision_223/eiffel.c | 660 | 664 | 3 | 415 | readToken | 614 | 745
16 | Revision_223/sql.c | 336 | 340 | 3 | 600 | readToken | 299 | 380
3 | Revision_223/eiffel.c | 720 | 727 | 4 | 415 | readToken | 614 | 745
4 | Revision_223/fortran.c | 878 | 885 | 4 | 416 | readToken | 790 | 902
11 | Revision_223/routines.c | 272 | 279 | 5 | 570 | struppercmp | 271 | 279
8 | Revision_223/readtags.c | 109 | 116 | 5 | 528 | struppercmp | 108 | 116
12 | Revision_223/routines.c | 282 | 289 | 6 | 528 | strnuppercmp | 281 | 289
10 | Revision_223/readtags.c | 119 | 126 | 6 | 528 | strnuppercmp | 118 | 126
