globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_633/asp.c | 74 | 89 | 1 | 158 | findAspTags | 42 | 198
2 | Revision_633/asp.c | 97 | 112 | 1 | 158 | findAspTags | 42 | 198
13 | Revision_633/eiffel.c | 366 | 375 | 2 | 457 | skipToCharacter | 365 | 375
24 | Revision_633/jscript.c | 294 | 301 | 2 | 602 | skipToCharacter | 293 | 301
14 | Revision_633/sql.c | 430 | 437 | 2 | 736 | skipToCharacter | 429 | 437
52 | Revision_633/eiffel.c | 421 | 426 | 3 | 346 | parseNumeric | 404 | 433
53 | Revision_633/fortran.c | 812 | 817 | 3 | 347 | parseNumeric | 795 | 824
15 | Revision_633/eiffel.c | 660 | 664 | 4 | 415 | readToken | 614 | 747
16 | Revision_633/sql.c | 538 | 542 | 4 | 734 | readToken | 482 | 620
54 | Revision_633/eiffel.c | 729 | 734 | 5 | 415 | readToken | 614 | 747
55 | Revision_633/fortran.c | 1042 | 1047 | 5 | 416 | readToken | 936 | 1052
29 | Revision_633/jscript.c | 214 | 218 | 6 | 582 | deleteToken | 213 | 218
30 | Revision_633/sql.c | 374 | 378 | 6 | 701 | deleteToken | 373 | 378
31 | Revision_633/jscript.c | 246 | 262 | 7 | 713 | makeJsTag | 241 | 263
32 | Revision_633/sql.c | 406 | 422 | 7 | 588 | makeSqlTag | 401 | 423
33 | Revision_633/jscript.c | 304 | 318 | 8 | 596 | parseString | 303 | 318
32 | Revision_633/sql.c | 440 | 454 | 8 | 728 | parseString | 439 | 454
35 | Revision_633/jscript.c | 324 | 335 | 9 | 591 | parseIdentifier | 323 | 335
36 | Revision_633/sql.c | 459 | 470 | 9 | 728 | parseIdentifier | 458 | 470
49 | Revision_633/jscript.c | 391 | 421 | 10 | 600 | readToken | 347 | 439
50 | Revision_633/sql.c | 566 | 596 | 10 | 734 | readToken | 482 | 620
51 | Revision_633/jscript.c | 457 | 487 | 11 | 601 | skipArgumentList | 456 | 487
26 | Revision_633/sql.c | 674 | 704 | 11 | 735 | skipArgumentList | 673 | 704
41 | Revision_633/jscript.c | 478 | 483 | 12 | 601 | skipArgumentList | 456 | 487
56 | Revision_633/jscript.c | 510 | 515 | 12 | 758 | skipArrayList | 489 | 519
57 | Revision_633/sql.c | 695 | 700 | 12 | 735 | skipArgumentList | 673 | 704
41 | Revision_633/jscript.c | 532 | 539 | 13 | 696 | addToScope | 531 | 539
42 | Revision_633/sql.c | 639 | 646 | 13 | 697 | addToScope | 638 | 646
45 | Revision_633/jscript.c | 682 | 693 | 14 | 724 | parseLoop | 608 | 695
46 | Revision_633/sql.c | 852 | 872 | 14 | 593 | parseRecord | 807 | 874
58 | Revision_633/gnu_regex/regex.c | 1777 | 1782 | 15 | NULL | NULL | NULL | NULL
59 | Revision_633/gnu_regex/regex.c | 1792 | 1797 | 15 | NULL | NULL | NULL | NULL
17 | Revision_633/python.c | 199 | 203 | 16 | 612 | skipSpace | 198 | 203
18 | Revision_633/sml.c | 84 | 88 | 16 | 619 | skipSpace | 83 | 88
19 | Revision_633/erlang.c | 58 | 62 | 16 | 566 | skipSpace | 57 | 62
20 | Revision_633/python.c | 207 | 216 | 17 | 719 | parseIdentifier | 206 | 216
21 | Revision_633/erlang.c | 66 | 75 | 17 | NULL | NULL | NULL | NULL
11 | Revision_633/routines.c | 288 | 295 | 18 | 570 | struppercmp | 287 | 295
8 | Revision_633/readtags.c | 106 | 113 | 18 | 528 | struppercmp | 105 | 113
12 | Revision_633/routines.c | 298 | 305 | 19 | 528 | strnuppercmp | 297 | 305
10 | Revision_633/readtags.c | 116 | 123 | 19 | 528 | strnuppercmp | 115 | 123
