globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_173/asp.c | 72 | 87 | 1 | 158 | findAspTags | 40 | 158
2 | Revision_173/asp.c | 95 | 110 | 1 | 158 | findAspTags | 40 | 158
3 | Revision_173/eiffel.c | 720 | 727 | 2 | 415 | readToken | 614 | 745
4 | Revision_173/fortran.c | 878 | 885 | 2 | 416 | readToken | 790 | 902
11 | Revision_173/routines.c | 269 | 276 | 3 | 570 | struppercmp | 268 | 276
8 | Revision_173/readtags.c | 108 | 115 | 3 | 528 | struppercmp | 107 | 115
12 | Revision_173/routines.c | 279 | 286 | 4 | 528 | strnuppercmp | 278 | 286
10 | Revision_173/readtags.c | 118 | 125 | 4 | 528 | strnuppercmp | 117 | 125
