globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_709/asp.c | 74 | 89 | 1 | 158 | findAspTags | 42 | 198
2 | Revision_709/asp.c | 97 | 112 | 1 | 158 | findAspTags | 42 | 198
13 | Revision_709/eiffel.c | 370 | 379 | 2 | 878 | skipToCharacter | 369 | 379
137 | Revision_709/read.c | 453 | 460 | 2 | 457 | fileSkipToCharacter | 452 | 460
52 | Revision_709/eiffel.c | 425 | 430 | 3 | 346 | parseNumeric | 408 | 437
53 | Revision_709/fortran.c | 813 | 818 | 3 | 347 | parseNumeric | 796 | 825
15 | Revision_709/eiffel.c | 687 | 691 | 4 | 415 | readToken | 641 | 779
16 | Revision_709/sql.c | 569 | 573 | 4 | 818 | readToken | 513 | 660
62 | Revision_709/vhdl.c | 457 | 461 | 4 | 874 | readToken | 404 | 479
54 | Revision_709/eiffel.c | 761 | 766 | 5 | 415 | readToken | 641 | 779
55 | Revision_709/fortran.c | 1027 | 1032 | 5 | 600 | readToken | 921 | 1037
29 | Revision_709/jscript.c | 208 | 212 | 6 | 701 | deleteToken | 207 | 212
117 | Revision_709/tex.c | 183 | 187 | 6 | 807 | deleteToken | 182 | 187
61 | Revision_709/vhdl.c | 356 | 360 | 6 | 838 | deleteToken | 353 | 361
30 | Revision_709/sql.c | 419 | 423 | 6 | 800 | deleteToken | 418 | 423
75 | Revision_709/flex.c | 238 | 242 | 6 | 125 | deleteToken | 237 | 242
31 | Revision_709/jscript.c | 240 | 256 | 7 | 713 | makeJsTag | 235 | 257
118 | Revision_709/tex.c | 215 | 231 | 7 | 868 | makeTexTag | 210 | 232
32 | Revision_709/sql.c | 451 | 467 | 7 | 588 | makeSqlTag | 446 | 468
31 | Revision_709/jscript.c | 246 | 254 | 8 | 713 | makeJsTag | 235 | 257
76 | Revision_709/flex.c | 288 | 296 | 8 | 836 | makeFlexTag | 265 | 299
119 | Revision_709/tex.c | 221 | 229 | 8 | 868 | makeTexTag | 210 | 232
77 | Revision_709/sql.c | 457 | 465 | 8 | 588 | makeSqlTag | 446 | 468
73 | Revision_709/jscript.c | 267 | 271 | 9 | 563 | makeClassTag | 259 | 284
78 | Revision_709/flex.c | 336 | 340 | 9 | 837 | makeMXTag | 328 | 349
79 | Revision_709/flex.c | 1842 | 1846 | 9 | NULL | NULL | NULL | NULL
80 | Revision_709/flex.c | 309 | 313 | 9 | 562 | makeClassTag | 301 | 326
24 | Revision_709/jscript.c | 1411 | 1415 | 9 | 846 | parseStatement | 1026 | 1457
74 | Revision_709/jscript.c | 294 | 298 | 9 | 713 | makeFunctionTag | 286 | 311
81 | Revision_709/flex.c | 359 | 363 | 9 | 563 | makeFunctionTag | 351 | 376
33 | Revision_709/jscript.c | 318 | 336 | 10 | 728 | parseString | 317 | 336
120 | Revision_709/tex.c | 239 | 257 | 10 | 847 | parseString | 238 | 257
63 | Revision_709/vhdl.c | 368 | 386 | 10 | 871 | parseString | 367 | 386
82 | Revision_709/flex.c | 383 | 401 | 10 | 360 | parseString | 382 | 401
35 | Revision_709/jscript.c | 342 | 353 | 11 | 719 | parseIdentifier | 341 | 353
121 | Revision_709/tex.c | 264 | 276 | 11 | 843 | parseIdentifier | 263 | 276
83 | Revision_709/flex.c | 407 | 418 | 11 | 334 | parseIdentifier | 406 | 418
60 | Revision_709/jscript.c | 365 | 369 | 12 | 734 | readToken | 355 | 453
84 | Revision_709/flex.c | 430 | 434 | 12 | 416 | readToken | 420 | 704
122 | Revision_709/tex.c | 288 | 292 | 12 | 850 | readToken | 278 | 359
64 | Revision_709/vhdl.c | 414 | 418 | 12 | 874 | readToken | 404 | 479
36 | Revision_709/sql.c | 523 | 536 | 12 | 818 | readToken | 513 | 660
71 | Revision_709/jscript.c | 405 | 435 | 13 | 734 | readToken | 355 | 453
72 | Revision_709/sql.c | 606 | 636 | 13 | 818 | readToken | 513 | 660
85 | Revision_709/jscript.c | 416 | 427 | 14 | 734 | readToken | 355 | 453
86 | Revision_709/flex.c | 485 | 496 | 14 | 416 | readToken | 420 | 704
38 | Revision_709/sql.c | 617 | 628 | 14 | 818 | readToken | 513 | 660
87 | Revision_709/jscript.c | 441 | 450 | 15 | 734 | readToken | 355 | 453
123 | Revision_709/tex.c | 330 | 339 | 15 | 850 | readToken | 278 | 359
88 | Revision_709/flex.c | 692 | 701 | 15 | 416 | readToken | 420 | 704
89 | Revision_709/jscript.c | 471 | 501 | 16 | 735 | skipArgumentList | 470 | 501
90 | Revision_709/flex.c | 723 | 753 | 16 | 601 | skipArgumentList | 722 | 753
41 | Revision_709/jscript.c | 492 | 497 | 17 | 735 | skipArgumentList | 470 | 501
56 | Revision_709/jscript.c | 524 | 529 | 17 | 852 | skipArrayList | 503 | 533
91 | Revision_709/flex.c | 776 | 781 | 17 | 758 | skipArrayList | 755 | 785
67 | Revision_709/vhdl.c | 524 | 529 | 17 | 821 | skipToMatched | 492 | 533
57 | Revision_709/sql.c | 756 | 761 | 17 | 794 | skipToMatched | 715 | 765
92 | Revision_709/flex.c | 744 | 749 | 17 | 601 | skipArgumentList | 722 | 753
93 | Revision_709/jscript.c | 504 | 533 | 18 | 852 | skipArrayList | 503 | 533
94 | Revision_709/flex.c | 756 | 785 | 18 | 758 | skipArrayList | 755 | 785
41 | Revision_709/jscript.c | 536 | 543 | 19 | 829 | addContext | 535 | 543
95 | Revision_709/flex.c | 788 | 795 | 19 | 694 | addContext | 787 | 795
41 | Revision_709/jscript.c | 546 | 553 | 20 | 697 | addToScope | 545 | 553
96 | Revision_709/flex.c | 798 | 805 | 20 | 696 | addToScope | 797 | 805
42 | Revision_709/sql.c | 679 | 686 | 20 | 830 | addToScope | 678 | 686
