globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_240/asp.c | 73 | 88 | 1 | 158 | findAspTags | 41 | 178
2 | Revision_240/asp.c | 96 | 111 | 1 | 158 | findAspTags | 41 | 178
13 | Revision_240/eiffel.c | 367 | 376 | 2 | 457 | skipToCharacter | 366 | 376
14 | Revision_240/sql.c | 248 | 255 | 2 | 602 | skipToCharacter | 247 | 255
15 | Revision_240/eiffel.c | 660 | 664 | 3 | 415 | readToken | 614 | 745
16 | Revision_240/sql.c | 336 | 340 | 3 | 600 | readToken | 299 | 384
3 | Revision_240/eiffel.c | 720 | 727 | 4 | 415 | readToken | 614 | 745
4 | Revision_240/fortran.c | 878 | 885 | 4 | 416 | readToken | 790 | 902
11 | Revision_240/routines.c | 272 | 279 | 5 | 570 | struppercmp | 271 | 279
8 | Revision_240/readtags.c | 109 | 116 | 5 | 528 | struppercmp | 108 | 116
12 | Revision_240/routines.c | 282 | 289 | 6 | 528 | strnuppercmp | 281 | 289
10 | Revision_240/readtags.c | 119 | 126 | 6 | 528 | strnuppercmp | 118 | 126
