globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_480/asp.c | 74 | 89 | 1 | 158 | findAspTags | 42 | 198
2 | Revision_480/asp.c | 97 | 112 | 1 | 158 | findAspTags | 42 | 198
13 | Revision_480/eiffel.c | 367 | 376 | 2 | 457 | skipToCharacter | 366 | 376
14 | Revision_480/sql.c | 412 | 419 | 2 | 736 | skipToCharacter | 411 | 419
24 | Revision_480/jscript.c | 274 | 281 | 2 | 602 | skipToCharacter | 273 | 281
15 | Revision_480/eiffel.c | 660 | 664 | 3 | 415 | readToken | 614 | 745
16 | Revision_480/sql.c | 515 | 519 | 3 | 734 | readToken | 463 | 597
29 | Revision_480/jscript.c | 200 | 204 | 4 | 582 | deleteToken | 199 | 204
30 | Revision_480/sql.c | 356 | 360 | 4 | 701 | deleteToken | 355 | 360
31 | Revision_480/jscript.c | 232 | 248 | 5 | 713 | makeJsTag | 227 | 249
32 | Revision_480/sql.c | 388 | 404 | 5 | 588 | makeSqlTag | 383 | 405
33 | Revision_480/jscript.c | 284 | 298 | 6 | 596 | parseString | 283 | 298
32 | Revision_480/sql.c | 422 | 436 | 6 | 728 | parseString | 421 | 436
35 | Revision_480/jscript.c | 304 | 315 | 7 | 591 | parseIdentifier | 303 | 315
36 | Revision_480/sql.c | 441 | 452 | 7 | 728 | parseIdentifier | 440 | 452
49 | Revision_480/jscript.c | 368 | 398 | 8 | 600 | readToken | 326 | 416
50 | Revision_480/sql.c | 543 | 573 | 8 | 734 | readToken | 463 | 597
51 | Revision_480/jscript.c | 434 | 464 | 9 | 601 | skipArgumentList | 433 | 464
26 | Revision_480/sql.c | 651 | 681 | 9 | 735 | skipArgumentList | 650 | 681
41 | Revision_480/jscript.c | 477 | 484 | 10 | 696 | addToScope | 476 | 484
42 | Revision_480/sql.c | 616 | 623 | 10 | 697 | addToScope | 615 | 623
45 | Revision_480/jscript.c | 623 | 634 | 11 | 724 | parseLoop | 549 | 636
46 | Revision_480/sql.c | 829 | 849 | 11 | 593 | parseRecord | 784 | 851
17 | Revision_480/python.c | 107 | 111 | 12 | 612 | skipSpace | 106 | 111
19 | Revision_480/erlang.c | 58 | 62 | 12 | 566 | skipSpace | 57 | 62
18 | Revision_480/sml.c | 84 | 88 | 12 | 619 | skipSpace | 83 | 88
20 | Revision_480/python.c | 115 | 124 | 13 | 719 | parseIdentifier | 114 | 124
21 | Revision_480/erlang.c | 66 | 75 | 13 | NULL | NULL | NULL | NULL
11 | Revision_480/routines.c | 287 | 294 | 14 | 570 | struppercmp | 286 | 294
8 | Revision_480/readtags.c | 106 | 113 | 14 | 528 | struppercmp | 105 | 113
12 | Revision_480/routines.c | 297 | 304 | 15 | 528 | strnuppercmp | 296 | 304
10 | Revision_480/readtags.c | 116 | 123 | 15 | 528 | strnuppercmp | 115 | 123
