globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_86/asp.c | 73 | 88 | 1 | 158 | findAspTags | 41 | 159
2 | Revision_86/asp.c | 96 | 111 | 1 | 158 | findAspTags | 41 | 159
3 | Revision_86/eiffel.c | 629 | 636 | 2 | 415 | readToken | 530 | 654
4 | Revision_86/fortran.c | 878 | 885 | 2 | 416 | readToken | 790 | 902
5 | Revision_86/python.c | 97 | 101 | 3 | 175 | findPythonTags | 40 | 105
6 | Revision_86/ruby.c | 120 | 124 | 3 | 177 | findRubyTags | 42 | 128
7 | Revision_86/main.c | 297 | 304 | 4 | 468 | stricmp | 296 | 304
8 | Revision_86/readtags.c | 503 | 510 | 4 | 528 | strcasecmp | 502 | 510
9 | Revision_86/main.c | 309 | 316 | 5 | 479 | strnicmp | 308 | 316
10 | Revision_86/readtags.c | 515 | 522 | 5 | 528 | strncasecmp | 514 | 522
