globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_214/asp.c | 72 | 87 | 1 | 158 | findAspTags | 40 | 158
2 | Revision_214/asp.c | 95 | 110 | 1 | 158 | findAspTags | 40 | 158
3 | Revision_214/eiffel.c | 720 | 727 | 2 | 415 | readToken | 614 | 745
4 | Revision_214/fortran.c | 878 | 885 | 2 | 416 | readToken | 790 | 902
11 | Revision_214/routines.c | 272 | 279 | 3 | 570 | struppercmp | 271 | 279
8 | Revision_214/readtags.c | 109 | 116 | 3 | 528 | struppercmp | 108 | 116
12 | Revision_214/routines.c | 282 | 289 | 4 | 528 | strnuppercmp | 281 | 289
10 | Revision_214/readtags.c | 119 | 126 | 4 | 528 | strnuppercmp | 118 | 126
