iter	Logloss
0	0.6555539011
1	0.6262703351
2	0.6075926624
3	0.5766388833
4	0.5513447012
5	0.5347441416
6	0.4987470434
7	0.4738997126
8	0.4672258556
9	0.4567234539
10	0.4445893196
11	0.434764234
12	0.4198014059
13	0.4110577083
14	0.4012026969
15	0.3900075253
16	0.3838869495
17	0.3795644407
18	0.3715588021
19	0.3624004314
20	0.356227677
21	0.3514504563
22	0.3496949318
23	0.3440760952
24	0.3393529562
25	0.3325085554
26	0.3269199786
27	0.3212740573
28	0.3180628864
29	0.3135829763
30	0.3094931735
31	0.305644158
32	0.3030293005
33	0.3008571628
34	0.2973940067
35	0.2948786273
36	0.2914514727
37	0.2884788714
38	0.287155677
39	0.2836420397
40	0.2814864712
41	0.2778293552
42	0.2748701883
43	0.2735593894
44	0.2700241251
45	0.2672245078
46	0.2646970788
47	0.2598444425
48	0.2576040046
49	0.2547211233
50	0.2513290341
51	0.2494397383
52	0.2476823987
53	0.2442013828
54	0.2419002749
55	0.2404443176
56	0.2378203214
57	0.2364129469
58	0.2347671766
59	0.2326058084
60	0.2322061458
61	0.2305557413
62	0.2298042257
63	0.2283364218
64	0.2270401306
65	0.2254364447
66	0.2245076668
67	0.2224827903
68	0.2215741845
69	0.219607074
70	0.2185706466
71	0.2160988985
72	0.2140108004
73	0.2135417749
74	0.2115274171
75	0.2099195087
76	0.2082323709
77	0.2076812086
78	0.2070136639
79	0.2058539808
80	0.2048105337
81	0.2026134256
82	0.2012729471
83	0.1998563048
84	0.1975186213
85	0.196408684
86	0.1955643927
87	0.1947954229
88	0.1936103504
89	0.1929882573
90	0.1917733691
91	0.1907790286
92	0.1891153824
93	0.1879291801
94	0.1870449152
95	0.1868428825
96	0.1862983631
97	0.1846176321
98	0.183870636
99	0.1816633258
100	0.1799793819
101	0.1790282803
102	0.1785327029
103	0.1776520623
104	0.1767025918
105	0.1757393923
106	0.1744453632
107	0.1727180766
108	0.1715065213
109	0.1691170332
110	0.167718421
111	0.1664619202
112	0.1653429145
113	0.1648535969
114	0.1643262672
115	0.1633368989
116	0.1625854551
117	0.1611482604
118	0.15983142
119	0.1586967218
120	0.1583811739
121	0.1578233724
122	0.1571345246
123	0.1561760101
124	0.1553737991
125	0.1544590869
126	0.1529993155
127	0.1527017291
128	0.1517115514
129	0.1501784768
130	0.1486268164
131	0.1477088783
132	0.1471241641
133	0.1466655338
134	0.1458881946
135	0.1453109273
136	0.1450930032
137	0.1444621312
138	0.1438460856
139	0.142734413
140	0.1419971484
141	0.1407326895
142	0.1397896405
143	0.139181087
144	0.1385618498
145	0.137718515
146	0.1368809773
147	0.1359806491
148	0.1344524293
149	0.1329610443
150	0.1320163645
151	0.1308798995
152	0.1300502074
153	0.1295734758
154	0.1293090143
155	0.1288168217
156	0.1285900673
157	0.1284939668
158	0.1269832902
159	0.1262377897
160	0.1245156778
161	0.1243595353
162	0.1228747815
163	0.1222235841
164	0.1216032063
165	0.1205066983
166	0.1197225372
167	0.1188072216
168	0.1174890582
169	0.1162540131
170	0.1160199726
171	0.1154951097
172	0.1144898919
173	0.1136745093
174	0.1131553755
175	0.1127446363
176	0.1118061184
177	0.1112351836
178	0.1102619698
179	0.1092185675
180	0.1084991201
181	0.1078447432
182	0.1068539946
183	0.1066045674
184	0.1056706883
185	0.1051800719
186	0.1045797587
187	0.1042111039
188	0.1038735763
189	0.1030086166
190	0.1024289289
191	0.1021646429
192	0.1019889577
193	0.1015861778
194	0.1011522325
195	0.1002714584
196	0.09920168896
197	0.09853989308
198	0.09795924407
199	0.09724048332
200	0.09679186415
201	0.09642968792
202	0.09581510209
203	0.09500830195
204	0.09477954729
205	0.09441305791
206	0.09403269765
207	0.0936803004
208	0.09262306223
209	0.09166041836
210	0.09129177431
211	0.09029660126
212	0.08990107695
213	0.08903399188
214	0.08841769262
215	0.0878206811
216	0.08735854392
217	0.08668283584
218	0.08629947405
219	0.08569869806
220	0.08533753018
221	0.08496471667
222	0.08477458582
223	0.08414804155
224	0.08384532119
225	0.08351075892
226	0.08296555035
227	0.08239357278
228	0.08212444082
229	0.08179108399
230	0.0814846017
231	0.0812334802
232	0.08075873544
233	0.08055086561
234	0.07994383479
235	0.07970571759
236	0.07920915531
237	0.07868617562
238	0.07786848261
239	0.07747505702
240	0.07717181659
241	0.07694855636
242	0.07621721983
243	0.07555053414
244	0.07495561816
245	0.07445565508
246	0.0738342899
247	0.07350477828
248	0.07312034266
249	0.07286044927
250	0.07259897531
251	0.07229648574
252	0.07160365412
253	0.07106936004
254	0.07014026961
255	0.06961714178
256	0.06876968269
257	0.06862405409
258	0.06789817703
259	0.06766378106
260	0.06693242164
261	0.06662873044
262	0.06634885566
263	0.06570647531
264	0.0651733943
265	0.0650204027
266	0.06427487613
267	0.0640526179
268	0.06369860639
269	0.06330741049
270	0.06313999616
271	0.06299260644
272	0.06247366588
273	0.06218731311
274	0.06198244671
275	0.061606275
276	0.06132994089
277	0.06092626203
278	0.0607706936
279	0.06031894066
280	0.0600603894
281	0.05991164165
282	0.05943428255
283	0.05889522391
284	0.05875370883
285	0.05863745403
286	0.05803898021
287	0.05765545948
288	0.05715852781
289	0.05694724382
290	0.05671193488
291	0.0562292244
292	0.0561172783
293	0.05569873865
294	0.05537608459
295	0.05512370615
296	0.0548848152
297	0.05464077696
298	0.05424771376
299	0.05413824658
300	0.05383366274
301	0.05361095564
302	0.0532834601
303	0.05299497809
304	0.05272815021
305	0.0525680798
306	0.05221945147
307	0.05197031552
308	0.05182072663
309	0.05147383271
310	0.05139936029
311	0.05126369504
312	0.05104510909
313	0.05085063012
314	0.05063681826
315	0.05033841486
316	0.05027056094
317	0.05004257431
318	0.04975569638
319	0.04961745113
320	0.04956479305
321	0.04933564993
322	0.04929426873
323	0.04908666529
324	0.04878158363
325	0.04865443279
326	0.04848610166
327	0.04820522298
328	0.04800334603
329	0.04794860322
330	0.04756014437
331	0.04744877493
332	0.0472652861
333	0.04699283217
334	0.04686276627
335	0.04670184773
336	0.0465934493
337	0.04648776058
338	0.04637388678
339	0.04614864482
340	0.04600693138
341	0.04578110259
342	0.04555658415
343	0.04546556103
344	0.04512585273
345	0.04507222
346	0.04468288312
347	0.04431891208
348	0.04417809127
349	0.04409209083
350	0.04362457175
351	0.043478706
352	0.04344305956
353	0.04320292948
354	0.04311078547
355	0.04306645297
356	0.04297898706
357	0.04277505972
358	0.04264561688
359	0.0422710467
360	0.04217057648
361	0.04209149908
362	0.04201562985
363	0.04197039962
364	0.0418508413
365	0.0415624413
366	0.04135042681
367	0.04109159453
368	0.04101258771
369	0.04086111054
370	0.04078825428
371	0.04047709962
372	0.04045302952
373	0.0403022835
374	0.04016420928
375	0.04002294469
376	0.03990165131
377	0.03967943123
378	0.03953619635
379	0.0394690259
380	0.03938320984
381	0.03925001334
382	0.03914088948
383	0.03890108046
384	0.03883676849
385	0.03877470273
386	0.03871483361
387	0.03842726458
388	0.03816702023
389	0.03786741394
390	0.03758807004
391	0.0374551838
392	0.03739774018
393	0.03726695902
394	0.03708458408
395	0.03693782061
396	0.03683705539
397	0.0367267903
398	0.03649450514
399	0.0363875849
400	0.03619018069
401	0.03596477979
402	0.03593031209
403	0.03578567277
404	0.03572728884
405	0.03555343593
406	0.03535413264
407	0.03500411575
408	0.03486894769
409	0.03481487563
410	0.0346995726
411	0.03459303129
412	0.03450547573
413	0.03446932258
414	0.03433182882
415	0.03413427393
416	0.03408931328
417	0.03391737217
418	0.03381080162
419	0.03373693573
420	0.03361080913
421	0.03340914645
422	0.03336014921
423	0.03318200096
424	0.03306294617
425	0.03299971503
426	0.03285691884
427	0.03280833168
428	0.03266686364
429	0.03258904828
430	0.03255507395
431	0.03240543356
432	0.03234014375
433	0.03223605402
434	0.03211143932
435	0.031936737
436	0.03182386584
437	0.03176698235
438	0.03172037566
439	0.03159679664
440	0.03150717606
441	0.03148643174
442	0.03143581961
443	0.0313839499
444	0.03124693616
445	0.03122742462
446	0.0311236388
447	0.03102559791
448	0.03084483214
449	0.03071286969
450	0.03069402636
451	0.03065031311
452	0.03051873022
453	0.03049875965
454	0.0303253963
455	0.03024862043
456	0.0301847179
457	0.03013836997
458	0.02997441811
459	0.02985235226
460	0.02979266051
461	0.02967098758
462	0.02965418066
463	0.02950166081
464	0.02943940432
465	0.02938503853
466	0.02926075888
467	0.02919608896
468	0.02915174883
469	0.02905068161
470	0.02891812789
471	0.02880164166
472	0.02864697541
473	0.02856931454
474	0.02853378382
475	0.02849170199
476	0.02838352227
477	0.0282669127
478	0.02823089433
479	0.02816591224
480	0.02811362356
481	0.0279836136
482	0.02791469601
483	0.02784240432
484	0.02780819667
485	0.02777198311
486	0.02767507519
487	0.02760729819
488	0.02744059721
489	0.0273522075
490	0.02728524113
491	0.02717823189
492	0.02706789623
493	0.02695787592
494	0.02689649363
495	0.02686121531
496	0.02680863289
497	0.02672036907
498	0.02668209304
499	0.02661958732
