cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",1,2,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type3","Block",4,5,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type3","Block",10,11,1,0.5000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443, 717]"
"Type3","Block",10,14,1,0.1111,0,"SIMILARITY_PRESERVING","[443]","[443]","[443, 529, 675, 676, 714, 720, 776, 777, 789]"
"Type3","Block",10,15,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type3","Block",10,16,1,0.3333,0,"SIMILARITY_PRESERVING","[443]","[443]","[156, 443, 571]"
"Type3","Block",10,17,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type3","Block",10,18,1,0.5000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443, 711]"
"Type3","Block",10,19,1,0.2000,0,"SIMILARITY_PRESERVING","[443]","[443]","[276, 400, 443, 489, 598]"
"Type3","Block",10,20,1,0.5000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443, 787]"
"Type3","Block",10,21,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type3","Block",10,22,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type3","Block",10,24,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type3","Block",10,154,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type3","Block",11,14,1,0.1000,2,"SIMILARITY_PRESERVING","[443]","[443, 717]","[443, 529, 675, 676, 714, 720, 776, 777, 789]"
"Type3","Block",11,15,1,0.5000,0,"SIMILARITY_PRESERVING","[443]","[443, 717]","[443]"
"Type3","Block",11,16,1,0.2500,0,"SIMILARITY_PRESERVING","[443]","[443, 717]","[156, 443, 571]"
"Type3","Block",11,17,1,0.5000,0,"SIMILARITY_PRESERVING","[443]","[443, 717]","[443]"
"Type3","Block",11,18,1,0.3333,0,"SIMILARITY_PRESERVING","[443]","[443, 717]","[443, 711]"
"Type3","Block",11,19,1,0.1667,0,"SIMILARITY_PRESERVING","[443]","[443, 717]","[276, 400, 443, 489, 598]"
"Type3","Block",11,20,1,0.3333,0,"SIMILARITY_PRESERVING","[443]","[443, 717]","[443, 787]"
"Type3","Block",11,21,1,0.5000,0,"SIMILARITY_PRESERVING","[443]","[443, 717]","[443]"
"Type3","Block",11,22,1,0.5000,0,"SIMILARITY_PRESERVING","[443]","[443, 717]","[443]"
"Type3","Block",11,24,1,0.5000,0,"SIMILARITY_PRESERVING","[443]","[443, 717]","[443]"
"Type3","Block",11,154,1,0.5000,0,"SIMILARITY_PRESERVING","[443]","[443, 717]","[443]"
"Type3","Block",13,14,1,0.1000,0,"SIMILARITY_PRESERVING","[443]","[221, 443]","[443, 529, 675, 676, 714, 720, 776, 777, 789]"
"Type3","Block",13,15,1,0.5000,0,"SIMILARITY_PRESERVING","[443]","[221, 443]","[443]"
"Type3","Block",13,16,1,0.2500,0,"SIMILARITY_PRESERVING","[443]","[221, 443]","[156, 443, 571]"
"Type3","Block",13,18,1,0.3333,0,"SIMILARITY_PRESERVING","[443]","[221, 443]","[443, 711]"
"Type3","Block",13,20,1,0.3333,0,"SIMILARITY_PRESERVING","[443]","[221, 443]","[443, 787]"
"Type3","Block",13,154,1,0.5000,0,"SIMILARITY_PRESERVING","[443]","[221, 443]","[443]"
"Type3","Block",14,15,1,0.1111,0,"SIMILARITY_PRESERVING","[443]","[443, 529, 675, 676, 714, 720, 776, 777, 789]","[443]"
"Type3","Block",14,16,1,0.0909,0,"SIMILARITY_PRESERVING","[443]","[443, 529, 675, 676, 714, 720, 776, 777, 789]","[156, 443, 571]"
"Type3","Block",14,17,1,0.1111,0,"SIMILARITY_PRESERVING","[443]","[443, 529, 675, 676, 714, 720, 776, 777, 789]","[443]"
"Type3","Block",14,18,1,0.1000,1,"SIMILARITY_PRESERVING","[443]","[443, 529, 675, 676, 714, 720, 776, 777, 789]","[443, 711]"
"Type3","Block",14,19,1,0.0769,0,"SIMILARITY_PRESERVING","[443]","[443, 529, 675, 676, 714, 720, 776, 777, 789]","[276, 400, 443, 489, 598]"
"Type3","Block",14,20,1,0.1000,1,"SIMILARITY_PRESERVING","[443]","[443, 529, 675, 676, 714, 720, 776, 777, 789]","[443, 787]"
"Type3","Block",14,21,1,0.1111,0,"SIMILARITY_PRESERVING","[443]","[443, 529, 675, 676, 714, 720, 776, 777, 789]","[443]"
"Type3","Block",14,22,1,0.1111,0,"SIMILARITY_PRESERVING","[443]","[443, 529, 675, 676, 714, 720, 776, 777, 789]","[443]"
