cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type2","Block",105,106,1,0.2000,0,"SIMILARITY_PRESERVING","[273]","[273]","[273, 417, 420, 424, 443]"
"Type2","Block",135,136,2,0.1429,2,"SIMILARITY_PRESERVING","[468, 475]","[468, 470, 475, 476, 586, 634, 664, 791, 793, 797]","[461, 468, 475, 574, 639, 644]"
"Type2","Block",199,200,1,0.2500,0,"SIMILARITY_PRESERVING","[659]","[659, 664, 791, 793]","[659]"
"Type2","Block",137,138,2,0.1667,1,"SIMILARITY_PRESERVING","[468, 475]","[468, 470, 475, 476, 477, 536, 586, 658, 659, 664, 791]","[461, 468, 475]"
"Type2","Block",137,184,2,0.1429,3,"SIMILARITY_PRESERVING","[658, 659]","[468, 470, 475, 476, 477, 536, 586, 658, 659, 664, 791]","[655, 656, 657, 658, 659]"
"Type2","Block",72,73,2,1.0000,0,"SIMILARITY_PRESERVING","[163, 443]","[163, 443]","[163, 443]"
"Type2","Block",159,160,3,0.6000,0,"SIMILARITY_PRESERVING","[468, 475, 477]","[468, 475, 476, 477]","[468, 475, 477, 644]"
"Type2","Block",228,229,1,1.0000,0,"SIMILARITY_PRESERVING","[755]","[755]","[755]"
"Type2","Block",76,77,2,0.5000,0,"SIMILARITY_PRESERVING","[443, 479]","[443, 479]","[201, 443, 479, 483]"
"Type2","Block",142,143,4,0.2105,1,"SIMILARITY_PRESERVING","[468, 475, 658, 659]","[468, 470, 475, 586, 658, 659, 664, 791, 793, 797, 798, 800]","[461, 468, 475, 574, 630, 637, 644, 658, 659, 699, 737]"
"Type2","Block",176,178,2,0.7500,1,"SIMILARITY_PRESERVING","[664, 793]","[664, 793, 797]","[664, 791, 793, 797]"
"Type2","Block",233,234,1,1.0000,0,"SIMILARITY_PRESERVING","[755]","[755]","[755]"
"Type2","Block",313,314,1,1.0000,0,"SIMILARITY_PRESERVING","[755]","[755]","[755]"
"Type2","Block",235,236,1,1.0000,0,"SIMILARITY_PRESERVING","[755]","[755]","[755]"
"Type2","Block",150,151,1,1.0000,0,"SIMILARITY_PRESERVING","[468]","[468]","[468]"
"Type2","Block",109,110,3,0.7500,0,"SIMILARITY_PRESERVING","[331, 380, 443]","[331, 380, 443]","[331, 380, 443, 461]"
"Type2","Block",111,112,1,0.1250,0,"SIMILARITY_PRESERVING","[443]","[443, 461, 468, 475, 658, 659, 663]","[443, 568]"
"Type2","Block",244,245,3,1.0000,0,"SIMILARITY_PRESERVING","[687, 700, 755]","[687, 700, 755]","[687, 700, 755]"
"Type2","Block",156,157,14,0.8750,2,"SIMILARITY_PRESERVING","[468, 475, 574, 630, 637, 644, 658, 659, 663, 699, 737, 745, 756, 760]","[468, 475, 574, 630, 637, 644, 658, 659, 663, 699, 737, 741, 745, 756, 760]","[468, 475, 574, 630, 637, 644, 658, 659, 663, 699, 737, 740, 745, 756, 760]"
"Type2","Block",188,189,1,0.1429,3,"SIMILARITY_PRESERVING","[658]","[658, 659, 699, 737]","[655, 656, 657, 658]"
"Type2","Block",190,191,2,0.3333,1,"SIMILARITY_PRESERVING","[658, 659]","[658, 659, 663, 745, 760]","[655, 658, 659]"
"Type2","Block",194,195,3,0.8000,0,"SIMILARITY_PRESERVING","[655, 656, 657]","[655, 656, 657, 658, 659]","[655, 656, 657, 658]"
"Type2","Block",196,197,1,1.0000,0,"SIMILARITY_PRESERVING","[657]","[657]","[657]"
"Type2","Block",332,333,1,1.0000,0,"SIMILARITY_PRESERVING","[779]","[779]","[779]"
"Type2","Block",337,338,1,1.0000,0,"SIMILARITY_PRESERVING","[788]","[788]","[788]"
"Type2","Block",292,293,4,1.0000,0,"SIMILARITY_PRESERVING","[696, 697, 698, 735]","[696, 697, 698, 735]","[696, 697, 698, 735]"
