cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type1","Block",1,2,2,1.0000,0,"SIMILARITY_PRESERVING","[96, 443]","[96, 443]","[96, 443]"
"Type1","Block",11,12,1,0.1429,0,"SIMILARITY_PRESERVING","[443]","[443, 526, 529, 672, 714, 720, 777]","[443]"
"Type1","Block",11,13,1,0.1429,0,"SIMILARITY_PRESERVING","[443]","[443, 526, 529, 672, 714, 720, 777]","[443]"
"Type1","Block",12,13,1,1.0000,0,"SIMILARITY_PRESERVING","[443]","[443]","[443]"
"Type1","Block",129,130,1,1.0000,0,"SIMILARITY_PRESERVING","[711]","[711]","[711]"
"Type1","Block",8,9,1,0.1667,0,"SIMILARITY_PRESERVING","[443]","[39, 65, 96, 163, 443]","[106, 443]"
"Type1","Block",14,15,1,0.1429,0,"SIMILARITY_PRESERVING","[443]","[443]","[443, 526, 529, 672, 714, 720, 777]"
"Type1","Block",17,44,3,0.7500,0,"SIMILARITY_PRESERVING","[468, 475, 477]","[468, 475, 477]","[468, 475, 476, 477]"
"Type1","Block",18,19,1,0.5000,0,"SIMILARITY_PRESERVING","[468]","[468]","[461, 468]"
"Type1","Block",20,21,2,0.2000,1,"SIMILARITY_PRESERVING","[468, 475]","[468, 470, 475, 476, 586, 634]","[461, 468, 475, 574, 644, 737]"
"Type1","Block",68,69,1,1.0000,0,"SIMILARITY_PRESERVING","[755]","[755]","[755]"
"Type1","Block",68,70,1,0.3333,0,"SIMILARITY_PRESERVING","[755]","[755]","[687, 700, 755]"
"Type1","Block",68,71,1,1.0000,0,"SIMILARITY_PRESERVING","[755]","[755]","[755]"
"Type1","Block",69,70,1,0.3333,0,"SIMILARITY_PRESERVING","[755]","[755]","[687, 700, 755]"
"Type1","Block",69,71,1,1.0000,0,"SIMILARITY_PRESERVING","[755]","[755]","[755]"
"Type1","Block",70,71,1,0.3333,0,"SIMILARITY_PRESERVING","[755]","[687, 700, 755]","[755]"
"Type1","Block",22,23,2,0.5000,0,"SIMILARITY_PRESERVING","[468, 475]","[468, 475, 476]","[461, 468, 475, 476, 574, 644]"
"Type1","Block",63,64,3,0.3750,2,"SIMILARITY_PRESERVING","[791, 793, 800]","[763, 791, 793, 800]","[664, 791, 793, 797, 798, 800, 809]"
"Type1","Block",24,25,2,0.1333,1,"SIMILARITY_PRESERVING","[468, 475]","[468, 470, 475, 476, 586, 634, 664, 763, 791, 793, 797, 798]","[461, 468, 475, 574, 644]"
"Type1","Block",26,27,2,0.1818,1,"SIMILARITY_PRESERVING","[468, 475]","[468, 470, 475, 476, 586, 639, 664, 791, 793, 800]","[461, 468, 475]"
"Type1","Block",61,62,1,0.2500,0,"SIMILARITY_PRESERVING","[659]","[659, 664, 791, 793]","[659]"
"Type1","Block",28,29,2,0.1667,1,"SIMILARITY_PRESERVING","[468, 475]","[468, 470, 475, 476, 586, 791, 793, 797]","[461, 468, 475, 574, 639, 644]"
"Type1","Block",42,43,3,0.6000,0,"SIMILARITY_PRESERVING","[468, 475, 477]","[468, 475, 476, 477]","[468, 475, 477, 644]"
"Type1","Block",45,46,2,0.1333,0,"SIMILARITY_PRESERVING","[658, 659]","[586, 658, 659, 664, 791, 793, 797, 798, 800, 809]","[630, 637, 644, 658, 659, 699, 737]"
"Type1","Block",78,79,1,1.0000,0,"SIMILARITY_PRESERVING","[755]","[755]","[755]"
"Type1","Block",81,133,1,1.0000,0,"SIMILARITY_PRESERVING","[755]","[755]","[755]"
"Type1","Block",34,35,4,0.2105,1,"SIMILARITY_PRESERVING","[468, 475, 658, 659]","[468, 470, 475, 586, 658, 659, 664, 791, 793, 797, 798, 800]","[461, 468, 475, 574, 630, 637, 644, 658, 659, 699, 737]"
"Type1","Block",135,136,1,1.0000,0,"SIMILARITY_PRESERVING","[755]","[755]","[755]"
"Type1","Block",86,87,1,1.0000,0,"SIMILARITY_PRESERVING","[755]","[755]","[755]"
"Type1","Block",40,41,1,1.0000,0,"SIMILARITY_PRESERVING","[468]","[468]","[468]"
"Type1","Block",57,58,1,0.1429,3,"SIMILARITY_PRESERVING","[658]","[658, 659, 699, 737]","[655, 656, 657, 658]"
