cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",66,72,4,0.5000,1,"SIMILARITY_PRESERVING","[302, 315, 482, 498]","[298, 301, 302, 315, 482, 498]","[289, 302, 315, 482, 498, 627]"
"Type3","Block",66,73,4,0.4444,2,"SIMILARITY_PRESERVING","[302, 315, 482, 498]","[298, 301, 302, 315, 482, 498]","[127, 141, 302, 304, 315, 482, 498]"
"Type3","Block",66,75,3,0.5000,0,"SIMILARITY_PRESERVING","[298, 302, 315]","[298, 301, 302, 315, 482, 498]","[298, 302, 315]"
"Type3","Block",66,726,3,0.3750,0,"SIMILARITY_PRESERVING","[298, 302, 498]","[298, 301, 302, 315, 482, 498]","[298, 302, 498, 2852, 2859]"
"Type3","Block",67,69,1,0.0833,0,"SIMILARITY_PRESERVING","[315]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]","[298, 302, 315]"
"Type3","Block",67,70,3,0.2500,1,"SIMILARITY_PRESERVING","[315, 482, 498]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]","[289, 302, 315, 482, 498]"
"Type3","Block",67,71,2,0.1250,0,"SIMILARITY_PRESERVING","[315, 482]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]","[298, 302, 315, 482, 914, 1226, 1282, 1309]"
"Type3","Block",67,72,3,0.2308,1,"SIMILARITY_PRESERVING","[315, 482, 498]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]","[289, 302, 315, 482, 498, 627]"
"Type3","Block",67,73,4,0.3077,0,"SIMILARITY_PRESERVING","[141, 315, 482, 498]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]","[127, 141, 302, 304, 315, 482, 498]"
"Type3","Block",67,75,1,0.0833,0,"SIMILARITY_PRESERVING","[315]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]","[298, 302, 315]"
"Type3","Block",67,726,1,0.0714,0,"SIMILARITY_PRESERVING","[498]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]","[298, 302, 498, 2852, 2859]"
"Type3","Block",69,70,2,0.3333,1,"SIMILARITY_PRESERVING","[302, 315]","[298, 302, 315]","[289, 302, 315, 482, 498]"
"Type3","Block",69,71,3,0.3750,0,"SIMILARITY_PRESERVING","[298, 302, 315]","[298, 302, 315]","[298, 302, 315, 482, 914, 1226, 1282, 1309]"
"Type3","Block",69,72,2,0.2857,1,"SIMILARITY_PRESERVING","[302, 315]","[298, 302, 315]","[289, 302, 315, 482, 498, 627]"
"Type3","Block",69,73,2,0.2500,1,"SIMILARITY_PRESERVING","[302, 315]","[298, 302, 315]","[127, 141, 302, 304, 315, 482, 498]"
"Type3","Block",69,75,3,1.0000,0,"SIMILARITY_PRESERVING","[298, 302, 315]","[298, 302, 315]","[298, 302, 315]"
"Type3","Block",69,726,2,0.3333,0,"SIMILARITY_PRESERVING","[298, 302]","[298, 302, 315]","[298, 302, 498, 2852, 2859]"
"Type3","Block",70,71,3,0.3000,1,"SIMILARITY_PRESERVING","[302, 315, 482]","[289, 302, 315, 482, 498]","[298, 302, 315, 482, 914, 1226, 1282, 1309]"
"Type3","Block",70,72,5,0.8333,0,"SIMILARITY_PRESERVING","[289, 302, 315, 482, 498]","[289, 302, 315, 482, 498]","[289, 302, 315, 482, 498, 627]"
"Type3","Block",70,73,4,0.5000,0,"SIMILARITY_PRESERVING","[302, 315, 482, 498]","[289, 302, 315, 482, 498]","[127, 141, 302, 304, 315, 482, 498]"
"Type3","Block",70,75,2,0.3333,1,"SIMILARITY_PRESERVING","[302, 315]","[289, 302, 315, 482, 498]","[298, 302, 315]"
"Type3","Block",70,726,2,0.2500,1,"SIMILARITY_PRESERVING","[302, 498]","[289, 302, 315, 482, 498]","[298, 302, 498, 2852, 2859]"
"Type3","Block",71,72,3,0.2727,1,"SIMILARITY_PRESERVING","[302, 315, 482]","[298, 302, 315, 482, 914, 1226, 1282, 1309]","[289, 302, 315, 482, 498, 627]"
"Type3","Block",71,73,3,0.2500,1,"SIMILARITY_PRESERVING","[302, 315, 482]","[298, 302, 315, 482, 914, 1226, 1282, 1309]","[127, 141, 302, 304, 315, 482, 498]"
"Type3","Block",71,75,3,0.3750,0,"SIMILARITY_PRESERVING","[298, 302, 315]","[298, 302, 315, 482, 914, 1226, 1282, 1309]","[298, 302, 315]"
"Type3","Block",71,726,2,0.1818,0,"SIMILARITY_PRESERVING","[298, 302]","[298, 302, 315, 482, 914, 1226, 1282, 1309]","[298, 302, 498, 2852, 2859]"
"Type3","Block",72,73,4,0.4444,0,"SIMILARITY_PRESERVING","[302, 315, 482, 498]","[289, 302, 315, 482, 498, 627]","[127, 141, 302, 304, 315, 482, 498]"
"Type3","Block",72,75,2,0.2857,1,"SIMILARITY_PRESERVING","[302, 315]","[289, 302, 315, 482, 498, 627]","[298, 302, 315]"
"Type3","Block",72,726,2,0.2222,1,"SIMILARITY_PRESERVING","[302, 498]","[289, 302, 315, 482, 498, 627]","[298, 302, 498, 2852, 2859]"
"Type3","Block",73,75,2,0.2500,1,"SIMILARITY_PRESERVING","[302, 315]","[127, 141, 302, 304, 315, 482, 498]","[298, 302, 315]"
"Type3","Block",73,726,2,0.2000,1,"SIMILARITY_PRESERVING","[302, 498]","[127, 141, 302, 304, 315, 482, 498]","[298, 302, 498, 2852, 2859]"
