counter | prevPath | prevStartLine | prevEndLine | changeType | currPath | currStartLine | currEndLine | offsetStart | offsetEnd
1 | Revision_1918/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | 3 | 4 | c | Revision_1919/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | 3 | 4 | 0 | 0
2 | Revision_1918/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | 385 | 386 | c | Revision_1919/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | 385 | 386 | 0 | 0
3 | Revision_1918/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | 590 | 590 | a | Revision_1919/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | 591 | 594 | 1 | 4
4 | Revision_1918/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | 1812 | 1812 | a | Revision_1919/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | 1817 | 1836 | 5 | 24
5 | Revision_1918/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | 1882 | 1882 | a | Revision_1919/Jmol/src/org/openscience/jmol/viewer/script/Eval.java | 1907 | 1907 | 25 | 25
6 | Revision_1918/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 3 | 4 | c | Revision_1919/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 3 | 4 | 0 | 0
7 | Revision_1918/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 161 | 162 | c | Revision_1919/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 161 | 161 | 0 | -1
8 | Revision_1918/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 209 | 210 | c | Revision_1919/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 208 | 208 | -1 | -2
9 | Revision_1918/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 212 | 215 | c | Revision_1919/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 210 | 213 | -2 | -2
10 | Revision_1918/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 304 | 304 | a | Revision_1919/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 303 | 306 | -1 | 2
11 | Revision_1918/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 388 | 389 | c | Revision_1919/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 390 | 391 | 2 | 2
12 | Revision_1918/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 436 | 436 | a | Revision_1919/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 439 | 439 | 3 | 3
13 | Revision_1918/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 529 | 529 | a | Revision_1919/Jmol/src/org/openscience/jmol/viewer/script/Token.java | 533 | 533 | 4 | 4
