counter | prevPath | prevStartLine | prevEndLine | changeType | currPath | currStartLine | currEndLine | offsetStart | offsetEnd
1 | Revision_2757/Jmol/src/org/jmol/g3d/Graphics3D.java | 3 | 4 | c | Revision_2758/Jmol/src/org/jmol/g3d/Graphics3D.java | 3 | 4 | 0 | 0
2 | Revision_2757/Jmol/src/org/jmol/g3d/Graphics3D.java | 1214 | 1214 | c | Revision_2758/Jmol/src/org/jmol/g3d/Graphics3D.java | 1214 | 1214 | 0 | 0
3 | Revision_2757/Jmol/src/org/jmol/g3d/Sphere3D.java | 2 | 4 | c | Revision_2758/Jmol/src/org/jmol/g3d/Sphere3D.java | 2 | 4 | 0 | 0
4 | Revision_2757/Jmol/src/org/jmol/g3d/Sphere3D.java | 49 | 54 | d | Revision_2758/Jmol/src/org/jmol/g3d/Sphere3D.java | 48 | 48 | -1 | -6
5 | Revision_2757/Jmol/src/org/jmol/g3d/Sphere3D.java | 58 | 205 | d | Revision_2758/Jmol/src/org/jmol/g3d/Sphere3D.java | 51 | 51 | -7 | -154
6 | Revision_2757/Jmol/src/org/jmol/g3d/Sphere3D.java | 209 | 209 | a | Revision_2758/Jmol/src/org/jmol/g3d/Sphere3D.java | 56 | 61 | -153 | -148
7 | Revision_2757/Jmol/src/org/jmol/g3d/Sphere3D.java | 218 | 227 | d | Revision_2758/Jmol/src/org/jmol/g3d/Sphere3D.java | 69 | 69 | -149 | -158
8 | Revision_2757/Jmol/src/org/jmol/g3d/Sphere3D.java | 229 | 229 | c | Revision_2758/Jmol/src/org/jmol/g3d/Sphere3D.java | 71 | 73 | -158 | -156
9 | Revision_2757/Jmol/src/org/jmol/g3d/Sphere3D.java | 235 | 235 | d | Revision_2758/Jmol/src/org/jmol/g3d/Sphere3D.java | 78 | 78 | -157 | -157
10 | Revision_2757/Jmol/src/org/jmol/g3d/Sphere3D.java | 377 | 377 | a | Revision_2758/Jmol/src/org/jmol/g3d/Sphere3D.java | 221 | 221 | -156 | -156
11 | Revision_2757/Jmol/src/org/jmol/g3d/Sphere3D.java | 445 | 445 | a | Revision_2758/Jmol/src/org/jmol/g3d/Sphere3D.java | 290 | 473 | -155 | 28
12 | Revision_2757/Jmol/src/org/jmol/viewer/JmolConstants.java | 2 | 4 | c | Revision_2758/Jmol/src/org/jmol/viewer/JmolConstants.java | 2 | 4 | 0 | 0
13 | Revision_2757/Jmol/src/org/jmol/viewer/JmolConstants.java | 34 | 35 | c | Revision_2758/Jmol/src/org/jmol/viewer/JmolConstants.java | 34 | 35 | 0 | 0
