counter | prevPath | prevStartLine | prevEndLine | changeType | currPath | currStartLine | currEndLine | offsetStart | offsetEnd
1 | Revision_2214/Jmol/src/org/openscience/jmol/viewer/datamodel/Chain.java | 3 | 4 | c | Revision_2215/Jmol/src/org/openscience/jmol/viewer/datamodel/Chain.java | 3 | 4 | 0 | 0
2 | Revision_2214/Jmol/src/org/openscience/jmol/viewer/datamodel/Chain.java | 51 | 51 | c | Revision_2215/Jmol/src/org/openscience/jmol/viewer/datamodel/Chain.java | 51 | 51 | 0 | 0
3 | Revision_2214/Jmol/src/org/openscience/jmol/viewer/datamodel/Chain.java | 120 | 122 | c | Revision_2215/Jmol/src/org/openscience/jmol/viewer/datamodel/Chain.java | 120 | 121 | 0 | -1
4 | Revision_2214/Jmol/src/org/openscience/jmol/viewer/datamodel/Mcps.java | 3 | 4 | c | Revision_2215/Jmol/src/org/openscience/jmol/viewer/datamodel/Mcps.java | 3 | 4 | 0 | 0
5 | Revision_2214/Jmol/src/org/openscience/jmol/viewer/datamodel/Mcps.java | 145 | 145 | c | Revision_2215/Jmol/src/org/openscience/jmol/viewer/datamodel/Mcps.java | 145 | 145 | 0 | 0
6 | Revision_2214/Jmol/src/org/openscience/jmol/viewer/datamodel/Polymer.java | 3 | 4 | c | Revision_2215/Jmol/src/org/openscience/jmol/viewer/datamodel/Polymer.java | 3 | 4 | 0 | 0
7 | Revision_2214/Jmol/src/org/openscience/jmol/viewer/datamodel/Polymer.java | 35 | 35 | c | Revision_2215/Jmol/src/org/openscience/jmol/viewer/datamodel/Polymer.java | 35 | 35 | 0 | 0
8 | Revision_2214/Jmol/src/org/openscience/jmol/viewer/datamodel/Polymer.java | 43 | 45 | c | Revision_2215/Jmol/src/org/openscience/jmol/viewer/datamodel/Polymer.java | 43 | 43 | 0 | -2
9 | Revision_2214/Jmol/src/org/openscience/jmol/viewer/datamodel/Polymer.java | 47 | 47 | a | Revision_2215/Jmol/src/org/openscience/jmol/viewer/datamodel/Polymer.java | 46 | 46 | -1 | -1
10 | Revision_2214/Jmol/src/org/openscience/jmol/viewer/datamodel/Polymer.java | 56 | 68 | c | Revision_2215/Jmol/src/org/openscience/jmol/viewer/datamodel/Polymer.java | 55 | 62 | -1 | -6
11 | Revision_2214/Jmol/src/org/openscience/jmol/viewer/datamodel/Polymer.java | 69 | 69 | a | Revision_2215/Jmol/src/org/openscience/jmol/viewer/datamodel/Polymer.java | 64 | 70 | -5 | 1
12 | Revision_2214/Jmol/src/org/openscience/jmol/viewer/datamodel/Polymer.java | 106 | 106 | c | Revision_2215/Jmol/src/org/openscience/jmol/viewer/datamodel/Polymer.java | 107 | 107 | 1 | 1
