globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
144 | Revision_332/Jmol/src/org/openscience/jmol/Gaussian92Reader.java | 184 | 234 | 59 | 436 | readFrequencies | private void readFrequencies(ChemFrame frame) | 169 | 235 | org.openscience.jmol | Gaussian92Reader
147 | Revision_332/Jmol/src/org/openscience/jmol/Gaussian94Reader.java | 108 | 112 | 60 | 431 | read | public ChemFile read() throws IOException, Exception | 62 | 125 | org.openscience.jmol | Gaussian94Reader
150 | Revision_332/Jmol/src/org/openscience/jmol/Gaussian98Reader.java | 110 | 114 | 60 | 431 | read | public ChemFile read() throws IOException, Exception | 62 | 127 | org.openscience.jmol | Gaussian98Reader
155 | Revision_332/Jmol/src/org/openscience/jmol/Gaussian94Reader.java | 259 | 264 | 61 | 437 | readNMRData | private void readNMRData(ChemFrame frame) throws IOException | 254 | 285 | org.openscience.jmol | Gaussian94Reader
633 | Revision_332/Jmol/src/org/openscience/jmol/Gaussian98Reader.java | 278 | 283 | 61 | 437 | readNMRData | private void readNMRData(ChemFrame frame, String labelLine) | 263 | 305 | org.openscience.jmol | Gaussian98Reader
151 | Revision_332/Jmol/src/org/openscience/jmol/Gaussian94Reader.java | 268 | 272 | 62 | 437 | readNMRData | private void readNMRData(ChemFrame frame) throws IOException | 254 | 285 | org.openscience.jmol | Gaussian94Reader
154 | Revision_332/Jmol/src/org/openscience/jmol/Gaussian98Reader.java | 287 | 291 | 62 | 437 | readNMRData | private void readNMRData(ChemFrame frame, String labelLine) | 263 | 305 | org.openscience.jmol | Gaussian98Reader
153 | Revision_332/Jmol/src/org/openscience/jmol/Gaussian94Reader.java | 275 | 279 | 62 | 437 | readNMRData | private void readNMRData(ChemFrame frame) throws IOException | 254 | 285 | org.openscience.jmol | Gaussian94Reader
152 | Revision_332/Jmol/src/org/openscience/jmol/Gaussian98Reader.java | 294 | 298 | 62 | 437 | readNMRData | private void readNMRData(ChemFrame frame, String labelLine) | 263 | 305 | org.openscience.jmol | Gaussian98Reader
155 | Revision_332/Jmol/src/org/openscience/jmol/Gaussian94Reader.java | 290 | 304 | 63 | 420 | parseLevelOfTheory | private String parseLevelOfTheory(String line) | 290 | 304 | org.openscience.jmol | Gaussian94Reader
156 | Revision_332/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 199 | 213 | 63 | 420 | parseLevelOfTheory | private String parseLevelOfTheory(String line) | 199 | 213 | org.openscience.miniJmol | Gaussian98Reader
156 | Revision_332/Jmol/src/org/openscience/jmol/Gaussian98Reader.java | 310 | 324 | 63 | 420 | parseLevelOfTheory | private String parseLevelOfTheory(String line) | 310 | 324 | org.openscience.jmol | Gaussian98Reader
604 | Revision_332/Jmol/src/org/openscience/jmol/HeapSorter.java | 60 | 73 | 64 | NULL | NULL | NULL | NULL | NULL |  | 
605 | Revision_332/Jmol/src/org/openscience/miniJmol/HeapSorter.java | 58 | 71 | 64 | NULL | NULL | NULL | NULL | NULL |  | 
606 | Revision_332/Jmol/src/org/openscience/jmol/HeapSorter.java | 80 | 93 | 65 | NULL | NULL | NULL | NULL | NULL |  | 
607 | Revision_332/Jmol/src/org/openscience/miniJmol/HeapSorter.java | 78 | 91 | 65 | NULL | NULL | NULL | NULL | NULL |  | 
608 | Revision_332/Jmol/src/org/openscience/jmol/HeapSorter.java | 100 | 113 | 66 | NULL | NULL | NULL | NULL | NULL |  | 
609 | Revision_332/Jmol/src/org/openscience/miniJmol/HeapSorter.java | 98 | 111 | 66 | NULL | NULL | NULL | NULL | NULL |  | 
610 | Revision_332/Jmol/src/org/openscience/jmol/HeapSorter.java | 115 | 131 | 67 | NULL | NULL | NULL | NULL | NULL |  | 
611 | Revision_332/Jmol/src/org/openscience/miniJmol/HeapSorter.java | 113 | 129 | 67 | NULL | NULL | NULL | NULL | NULL |  | 
