iter	Logloss
0	0.66863935
1	0.6449424328
2	0.6256147571
3	0.6074218045
4	0.5918249657
5	0.5784179844
6	0.5658687418
7	0.5546679633
8	0.5434845488
9	0.5336522743
10	0.5249020218
11	0.5163811487
12	0.5094077579
13	0.5029264439
14	0.4962622725
15	0.4904550043
16	0.4844291849
17	0.479942617
18	0.4752829892
19	0.4709266482
20	0.4663811206
21	0.463053726
22	0.4593473369
23	0.4561768392
24	0.4536237852
25	0.4506158208
26	0.4482026804
27	0.446127161
28	0.4435573531
29	0.4407027258
30	0.4384627638
31	0.4372855154
32	0.435578724
33	0.4338599163
34	0.4312262491
35	0.4292648468
36	0.4276426033
37	0.4254903542
38	0.423663137
39	0.4210517391
40	0.4193311384
41	0.4175746452
42	0.4164831661
43	0.4146453907
44	0.4130185498
45	0.4111452136
46	0.4100728717
47	0.4084450982
48	0.4072146711
49	0.4055769493
50	0.4039596168
51	0.402939097
52	0.4018753178
53	0.4007422898
54	0.3997088785
55	0.3989892898
56	0.397931687
57	0.3973004547
58	0.3964483235
59	0.3956399525
60	0.3942962056
61	0.3928579242
62	0.3918637224
63	0.3909074854
64	0.3899187825
65	0.3889407517
66	0.3883750204
67	0.3870051832
68	0.385864105
69	0.3846384741
70	0.3841490044
71	0.3829948512
72	0.3815104424
73	0.3807786277
74	0.3800702297
75	0.3792487452
76	0.3788533712
77	0.3781127499
78	0.3773503901
79	0.3765864091
80	0.3757308859
81	0.3753738147
82	0.3744598991
83	0.3734596016
84	0.3727392512
85	0.3721883291
86	0.3710836797
87	0.3703432573
88	0.3696639295
89	0.3689141114
90	0.3680922656
91	0.3676048623
92	0.3671454148
93	0.366107848
94	0.3654638207
95	0.3651719693
96	0.3648199026
97	0.3643311355
98	0.3637994325
99	0.3631363455
100	0.362146962
101	0.361730318
102	0.3610168616
103	0.3604941636
104	0.3601059983
105	0.3590924636
106	0.3583458831
107	0.3574007124
108	0.356564348
109	0.3556376646
110	0.3549174954
111	0.3544872191
112	0.3538261707
113	0.353123391
114	0.3527454831
115	0.3521805574
116	0.3513571924
117	0.3508486544
118	0.3502010924
119	0.3496662521
120	0.3493004229
121	0.348472997
122	0.3479451627
123	0.3472909647
124	0.346822433
125	0.3464349017
126	0.3460620356
127	0.3456979534
128	0.3450882284
129	0.3445804754
130	0.3440321329
131	0.3434633329
132	0.3430900314
133	0.3426816476
134	0.3418473571
135	0.3413923689
136	0.3410730217
137	0.3405578646
138	0.3400862116
139	0.3396431855
140	0.3391030612
141	0.3384015596
142	0.3380399621
143	0.3378191228
144	0.3375464194
145	0.3369575878
146	0.3360666478
147	0.335430458
148	0.3347896551
149	0.3345922567
150	0.3339156258
151	0.3335717363
152	0.3331751873
153	0.3327627703
154	0.3323532048
155	0.3315663163
156	0.3312095727
157	0.3307632101
158	0.3304411764
159	0.3298724875
160	0.3293983213
161	0.3291152885
162	0.3288340397
163	0.328295711
164	0.3278286692
165	0.3274464417
166	0.3270449736
167	0.3265042962
168	0.3261356055
169	0.3258077493
170	0.3255520705
171	0.3250608455
172	0.3247609903
173	0.3241505313
174	0.3235092839
175	0.3232253447
176	0.3226246791
177	0.3220333484
178	0.3216742798
179	0.321395338
180	0.3209125618
181	0.3199402162
182	0.3196826216
183	0.319208671
184	0.3187760201
185	0.3182448914
186	0.3179774171
187	0.317391972
188	0.3170499118
189	0.3166491924
190	0.3160599716
191	0.3156672818
192	0.3153492495
193	0.314660289
194	0.3142819778
195	0.3140254142
196	0.3137721035
197	0.3132326129
198	0.3131206827
199	0.3127470427
200	0.3120429478
201	0.3117278095
202	0.3110486968
203	0.3106487783
204	0.3101628448
205	0.3096843257
206	0.3091879607
207	0.3088719948
208	0.3083401178
209	0.3078068313
210	0.3072518152
211	0.3067571614
212	0.3063237217
213	0.3059261665
214	0.3053577779
215	0.3049306155
216	0.3042482963
217	0.3035941469
218	0.3030872422
219	0.3027212471
220	0.3022971418
221	0.3020359495
222	0.3015844677
223	0.3011753359
224	0.3007658642
225	0.3005298433
226	0.300153659
227	0.2996537778
228	0.2991101767
229	0.298696929
230	0.2979764043
231	0.2976159809
232	0.2970070728
233	0.2966726856
234	0.2962777194
235	0.2957411302
236	0.2953441166
237	0.2949646945
238	0.2946949571
239	0.2942918861
240	0.2939131336
241	0.2934297299
242	0.293075099
243	0.292724407
244	0.2921555102
245	0.2916735925
246	0.2911071753
247	0.290827114
248	0.290395796
249	0.2900744678
250	0.2897342192
251	0.2892664649
252	0.2887235711
253	0.2881573903
254	0.287712969
255	0.2873852151
256	0.2870058686
257	0.2866983273
258	0.2862456646
259	0.2859082364
260	0.285547436
261	0.2854579393
262	0.2844455616
263	0.2840999052
264	0.2838094041
265	0.2834391048
266	0.2829796445
267	0.2825703709
268	0.2822825043
269	0.2819816985
270	0.2815109838
271	0.2811417654
272	0.2807191355
273	0.2803831543
274	0.280238662
275	0.2798882563
276	0.2792905649
277	0.2790589881
278	0.2786881364
279	0.2783134979
280	0.2779763786
281	0.2775932563
282	0.277254115
283	0.2769004732
284	0.2764450157
285	0.2761459054
286	0.2757523146
287	0.2753721578
288	0.2750659696
289	0.2747602429
290	0.2745015106
291	0.2742692335
292	0.2739893709
293	0.2735970772
294	0.2732402921
295	0.2729393256
296	0.2726126675
297	0.2723549633
298	0.2721368985
299	0.2718142841
300	0.2715570078
301	0.2711994682
302	0.2708847501
303	0.2706346667
304	0.2703291371
305	0.2699963539
306	0.2696960259
307	0.2694553896
308	0.2693509946
309	0.2690218555
310	0.2686347873
311	0.2683465936
312	0.2680230245
313	0.2677857072
