globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
131 | Revision_477/jscript.c | 274 | 281 | 20 | 449 | skipToCharacter | static int skipToCharacter (const int c) | 273 | 281 |  | jscript
132 | Revision_477/sql.c | 412 | 419 | 20 | 449 | skipToCharacter | static int skipToCharacter (const int c) | 411 | 419 |  | sql
133 | Revision_477/jscript.c | 284 | 298 | 21 | 352 | parseString | static void parseString (vString *const string, const int delimiter) | 283 | 298 |  | jscript
134 | Revision_477/sql.c | 422 | 436 | 21 | 352 | parseString | static void parseString (vString *const string, const int delimiter) | 421 | 436 |  | sql
135 | Revision_477/jscript.c | 304 | 315 | 22 | 329 | parseIdentifier | static void parseIdentifier (vString *const string, const int firstChar) | 303 | 315 |  | jscript
136 | Revision_477/sql.c | 441 | 452 | 22 | 329 | parseIdentifier | static void parseIdentifier (vString *const string, const int firstChar) | 440 | 452 |  | sql
137 | Revision_477/jscript.c | 318 | 324 | 23 | 47 | analyzeToken | static keywordId analyzeToken (vString *const name) | 317 | 324 |  | jscript
138 | Revision_477/sql.c | 455 | 461 | 23 | 47 | analyzeToken | static keywordId analyzeToken (vString *const name) | 454 | 461 |  | sql
159 | Revision_477/jscript.c | 368 | 398 | 24 | 408 | readToken | static void readToken (tokenInfo *const token) | 326 | 416 |  | jscript
160 | Revision_477/sql.c | 543 | 573 | 24 | 408 | readToken | static void readToken (tokenInfo *const token) | 463 | 597 |  | sql
161 | Revision_477/jscript.c | 434 | 464 | 25 | 567 | skipArgumentList | static void skipArgumentList (tokenInfo *const token) | 433 | 464 |  | jscript
121 | Revision_477/sql.c | 651 | 681 | 25 | 567 | skipArgumentList | static void skipArgumentList (tokenInfo *const token) | 650 | 681 |  | sql
142 | Revision_477/jscript.c | 477 | 484 | 26 | 628 | addToScope | static void addToScope (tokenInfo* const token, vString* const extra) | 476 | 484 |  | jscript
143 | Revision_477/sql.c | 616 | 623 | 26 | 628 | addToScope | static void addToScope (tokenInfo* const token, vString* const extra) | 615 | 623 |  | sql
147 | Revision_477/jscript.c | 623 | 634 | 27 | 644 | parseLoop | static void parseLoop (tokenInfo *const token) | 549 | 636 |  | jscript
148 | Revision_477/sql.c | 829 | 849 | 27 | 562 | parseRecord | static void parseRecord (tokenInfo *const token) | 784 | 851 |  | sql
162 | Revision_477/sql.c | 1207 | 1213 | 27 | 561 | parsePackage | static void parsePackage (tokenInfo *const token) | 1184 | 1223 |  | sql
152 | Revision_477/jscript.c | 1032 | 1050 | 28 | 647 | parseStatement | static boolean parseStatement (tokenInfo *const token, boolean is_inside_class) | 882 | 1139 |  | jscript
153 | Revision_477/sql.c | 1341 | 1348 | 28 | 561 | parseEvent | static void parseEvent (tokenInfo *const token) | 1310 | 1350 |  | sql
154 | Revision_477/jscript.c | 1209 | 1213 | 29 | 226 | initialize | static void initialize (const langType language) | 1208 | 1213 |  | jscript
155 | Revision_477/sql.c | 1795 | 1799 | 29 | 226 | initialize | static void initialize (const langType language) | 1794 | 1799 |  | sql
36 | Revision_477/options.c | 369 | 375 | 30 | 188 | freeString | static void freeString (char **const pString) | 368 | 375 |  | options
37 | Revision_477/options.c | 378 | 384 | 30 | 183 | freeList | extern void freeList (stringList** const pList) | 377 | 384 |  | options
38 | Revision_477/options.c | 541 | 547 | 31 | 75 | cArgNewFromString | extern cookedArgs* cArgNewFromString (const char* string) | 540 | 547 |  | options
39 | Revision_477/options.c | 550 | 556 | 31 | 72 | cArgNewFromArgv | extern cookedArgs* cArgNewFromArgv (char* const* const argv) | 549 | 556 |  | options
40 | Revision_477/options.c | 559 | 565 | 31 | 73 | cArgNewFromFile | extern cookedArgs* cArgNewFromFile (FILE* const fp) | 558 | 565 |  | options
41 | Revision_477/options.c | 568 | 574 | 31 | 74 | cArgNewFromLineFile | extern cookedArgs* cArgNewFromLineFile (FILE* const fp) | 567 | 574 |  | options
42 | Revision_477/options.c | 1099 | 1103 | 32 | NULL | NULL | NULL | NULL | NULL |  | 
42 | Revision_477/options.c | 1105 | 1109 | 32 | NULL | NULL | NULL | NULL | NULL |  | 
103 | Revision_477/options.c | 1151 | 1163 | 33 | NULL | NULL | NULL | NULL | NULL |  | 
104 | Revision_477/options.c | 1168 | 1180 | 33 | NULL | NULL | NULL | NULL | NULL |  | 
89 | Revision_477/parse.c | 48 | 56 | 34 | NULL | NULL | NULL | NULL | NULL |  | 
90 | Revision_477/sml.c | 75 | 81 | 34 | 572 | makeSmlTag | static void makeSmlTag (smlKind type, vString *name) | 74 | 81 |  | sml
44 | Revision_477/parse.c | 103 | 107 | 35 | 194 | getExtensionLanguage | static langType getExtensionLanguage (const char *const extension) | 98 | 109 |  | parse
45 | Revision_477/parse.c | 117 | 121 | 35 | 205 | getPatternLanguage | static langType getPatternLanguage (const char *const fileName) | 111 | 123 |  | parse
106 | Revision_477/parse.c | 557 | 561 | 36 | 127 | printLanguageMaps | extern void printLanguageMaps (const langType language) | 554 | 564 |  | parse
107 | Revision_477/parse.c | 576 | 580 | 36 | 137 | printLanguageList | extern void printLanguageList (void) | 575 | 580 |  | parse
46 | Revision_477/pascal.c | 176 | 182 | 37 | NULL | NULL | NULL | NULL | NULL |  | 
47 | Revision_477/pascal.c | 184 | 190 | 37 | NULL | NULL | NULL | NULL | NULL |  | 
60 | Revision_477/readtags.c | 106 | 113 | 38 | 460 | struppercmp | static int struppercmp (const char *s1, const char *s2) | 105 | 113 |  | readtags
66 | Revision_477/routines.c | 287 | 294 | 38 | 460 | struppercmp | extern int struppercmp (const char *s1, const char *s2) | 286 | 294 |  | routines
62 | Revision_477/readtags.c | 116 | 123 | 39 | 460 | strnuppercmp | static int strnuppercmp (const char *s1, const char *s2, size_t n) | 115 | 123 |  | readtags
67 | Revision_477/routines.c | 297 | 304 | 39 | 460 | strnuppercmp | extern int strnuppercmp (const char *s1, const char *s2, size_t n) | 296 | 304 |  | routines
63 | Revision_477/readtags.c | 542 | 548 | 40 | 519 | nameComparison | static int nameComparison (tagFile *const file) | 538 | 558 |  | readtags
64 | Revision_477/readtags.c | 550 | 556 | 40 | 519 | nameComparison | static int nameComparison (tagFile *const file) | 538 | 558 |  | readtags
51 | Revision_477/readtags.c | 739 | 744 | 41 | 482 | tagsNext | extern tagResult tagsNext (tagFile *const file, tagEntry *const entry) | 738 | 744 |  | readtags
58 | Revision_477/readtags.c | 764 | 769 | 41 | 481 | tagsFindNext | extern tagResult tagsFindNext (tagFile *const file, tagEntry *const entry) | 763 | 769 |  | readtags
68 | Revision_477/routines.c | 328 | 334 | 42 | 488 | toLowerString | extern void toLowerString (char* str) | 327 | 334 |  | routines
69 | Revision_477/routines.c | 337 | 343 | 42 | 489 | toUpperString | extern void toUpperString (char* str) | 336 | 343 |  | routines
70 | Revision_477/routines.c | 348 | 355 | 43 | 294 | newLowerString | extern char* newLowerString (const char* str) | 347 | 355 |  | routines
71 | Revision_477/routines.c | 360 | 367 | 43 | 297 | newUpperString | extern char* newUpperString (const char* str) | 359 | 367 |  | routines
52 | Revision_477/scheme.c | 99 | 109 | 44 | 22 | SchemeParser | extern parserDefinition* SchemeParser (void) | 98 | 109 |  | scheme
53 | Revision_477/sh.c | 103 | 113 | 44 | 23 | ShParser | extern parserDefinition* ShParser (void) | 102 | 113 |  | sh
54 | Revision_477/slang.c | 34 | 41 | 45 | 24 | SlangParser | extern parserDefinition* SlangParser (void) | 33 | 41 |  | slang
55 | Revision_477/yacc.c | 31 | 38 | 45 | 27 | YaccParser | extern parserDefinition* YaccParser () | 30 | 38 |  | yacc
72 | Revision_477/sort.c | 122 | 127 | 46 | 94 | compareTagsFolded | static int compareTagsFolded(const void *const one, const void *const two) | 121 | 127 |  | sort
73 | Revision_477/sort.c | 130 | 135 | 46 | 94 | compareTags | static int compareTags (const void *const one, const void *const two) | 129 | 135 |  | sort
156 | Revision_477/sql.c | 1445 | 1451 | 47 | 561 | parsePublication | static void parsePublication (tokenInfo *const token) | 1425 | 1454 |  | sql
157 | Revision_477/sql.c | 1474 | 1480 | 47 | 646 | parseService | static void parseService (tokenInfo *const token) | 1456 | 1483 |  | sql
111 | Revision_477/sql.c | 1812 | 1821 | 48 | 554 | SqlParser | extern parserDefinition* SqlParser (void) | 1811 | 1821 |  | sql
112 | Revision_477/verilog.c | 324 | 333 | 48 | 547 | VerilogParser | extern parserDefinition* VerilogParser (void) | 323 | 333 |  | verilog
76 | Revision_477/vim.c | 57 | 61 | 49 | 434 | skipPrefix | static const unsigned char* skipPrefix (const unsigned char* name, int *scope) | 50 | 95 |  | vim
77 | Revision_477/vim.c | 63 | 67 | 49 | 434 | skipPrefix | static const unsigned char* skipPrefix (const unsigned char* name, int *scope) | 50 | 95 |  | vim
