pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors,weighted_coupling_strength,coupling_trend,last_co_change_age,last_solo_change_age,method_name1,method_signature1,method_name2,method_signature2
18102,Type3,Block,137,1668,1669,1447,1447,Still Active,Still Active,53,53,0,0,0,71,TokenizerTest.java,TokenizerTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_getUInt32,public void test_getUInt32() throws IOException,test_getUInt16,public void test_getUInt16() throws IOException
18103,Type3,Block,138,778,779,112,112,311,311,199,199,0,1,2,100,RRset.java,RRset.java,0,bwelling,bwelling,0.0000,0.0000,-1,26,toString,toString(),toString,toString()
18104,Type3,Block,138,778,786,112,120,311,122,199,2,0,0,1,100,RRset.java,dnsServer.java,3,bwelling,bwelling,0.0000,0.0000,-1,2,toString,toString(),addAdditional2,"addAdditional2(Message response, int section)"
18105,Type3,Block,138,778,787,112,120,311,122,199,2,0,0,1,100,RRset.java,jnamed.java,3,bwelling,bwelling,0.0000,0.0000,-1,2,toString,toString(),addAdditional2,"addAdditional2(Message response, int section)"
18106,Type3,Block,138,778,893,112,194,311,311,199,117,0,0,1,100,RRset.java,TypeClass.java,4,bwelling,bwelling,0.0000,0.0000,-1,26,toString,toString(),equals,equals(Object arg)
18107,Type3,Block,138,778,894,112,194,311,311,199,117,0,0,1,100,RRset.java,TypeClass.java,1,bwelling,bwelling,0.0000,0.0000,-1,26,toString,toString(),equals,equals(Object arg)
18108,Type3,Block,138,778,1670,112,1447,311,Still Active,199,53,0,0,0,100,RRset.java,TokenizerTest.java,7,bwelling,bwelling,0.0000,0.0000,-1,157,toString,toString(),test_getTTL,public void test_getTTL() throws IOException
18109,Type3,Block,138,778,1671,112,1447,311,Still Active,199,53,0,0,0,100,RRset.java,TokenizerTest.java,7,bwelling,bwelling,0.0000,0.0000,-1,157,toString,toString(),test_getTTLLike,public void test_getTTLLike() throws IOException
18110,Type3,Block,138,779,786,112,120,311,122,199,2,0,0,1,100,RRset.java,dnsServer.java,3,bwelling,bwelling,0.0000,0.0000,-1,2,toString,toString(),addAdditional2,"addAdditional2(Message response, int section)"
18111,Type3,Block,138,779,787,112,120,311,122,199,2,0,0,1,100,RRset.java,jnamed.java,3,bwelling,bwelling,0.0000,0.0000,-1,2,toString,toString(),addAdditional2,"addAdditional2(Message response, int section)"
18112,Type3,Block,138,779,893,112,194,311,311,199,117,1,1,0,100,RRset.java,TypeClass.java,4,bwelling,bwelling,0.9388,1.0000,26,117,toString,toString(),equals,equals(Object arg)
18113,Type3,Block,138,779,894,112,194,311,311,199,117,1,1,0,100,RRset.java,TypeClass.java,1,bwelling,bwelling,0.9388,1.0000,26,117,toString,toString(),equals,equals(Object arg)
18114,Type3,Block,138,779,1670,112,1447,311,Still Active,199,53,0,0,0,100,RRset.java,TokenizerTest.java,7,bwelling,bwelling,0.0000,0.0000,-1,26,toString,toString(),test_getTTL,public void test_getTTL() throws IOException
18115,Type3,Block,138,779,1671,112,1447,311,Still Active,199,53,0,0,0,100,RRset.java,TokenizerTest.java,7,bwelling,bwelling,0.0000,0.0000,-1,26,toString,toString(),test_getTTLLike,public void test_getTTLLike() throws IOException
