globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd
1 | Revision_806/lisp.c | 91 | 97 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
2 | Revision_806/lisp.c | 112 | 118 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
3 | Revision_806/lisp.c | 127 | 137 | 2 | 14 | LispParser | extern parserDefinition* LispParser (void) | 126 | 137
4 | Revision_806/asp.c | 317 | 325 | 2 | 2 | AspParser | extern parserDefinition* AspParser (void) | 316 | 325
296 | Revision_806/sql.c | 2360 | 2369 | 2 | 579 | SqlParser | extern parserDefinition* SqlParser (void) | 2359 | 2369
12 | Revision_806/c.c | 2870 | 2879 | 2 | 5 | CParser | extern parserDefinition* CParser (void) | 2869 | 2879
19 | Revision_806/ruby.c | 398 | 406 | 2 | 21 | RubyParser | extern parserDefinition* RubyParser (void) | 397 | 406
10 | Revision_806/awk.c | 71 | 79 | 2 | 3 | AwkParser | extern parserDefinition* AwkParser () | 70 | 79
539 | Revision_806/vhdl.c | 824 | 833 | 2 | 798 | VhdlParser | extern parserDefinition *VhdlParser (void) | 823 | 833
783 | Revision_806/objc.c | 1141 | 1151 | 2 | 1029 | ObjcParser | extern parserDefinition *ObjcParser (void) | 1140 | 1151
20 | Revision_806/vim.c | 731 | 739 | 2 | 26 | VimParser | extern parserDefinition* VimParser (void) | 730 | 739
14 | Revision_806/pascal.c | 257 | 265 | 2 | 16 | PascalParser | extern parserDefinition* PascalParser (void) | 256 | 265
15 | Revision_806/c.c | 2912 | 2921 | 2 | 10 | JavaParser | extern parserDefinition* JavaParser (void) | 2911 | 2921
9 | Revision_806/eiffel.c | 1259 | 1268 | 2 | 8 | EiffelParser | extern parserDefinition* EiffelParser (void) | 1258 | 1268
283 | Revision_806/verilog.c | 330 | 339 | 2 | 571 | VerilogParser | extern parserDefinition* VerilogParser (void) | 329 | 339
315 | Revision_806/c.c | 2924 | 2933 | 2 | 603 | VeraParser | extern parserDefinition* VeraParser (void) | 2923 | 2933
16 | Revision_806/scheme.c | 99 | 109 | 2 | 22 | SchemeParser | extern parserDefinition* SchemeParser (void) | 98 | 109
21 | Revision_806/fortran.c | 2180 | 2195 | 2 | 9 | FortranParser | extern parserDefinition* FortranParser (void) | 2179 | 2195
321 | Revision_806/sml.c | 202 | 210 | 2 | 607 | SmlParser | extern parserDefinition *SmlParser (void) | 201 | 210
745 | Revision_806/ocaml.c | 1888 | 1898 | 2 | 970 | OcamlParser | extern parserDefinition *OcamlParser (void) | 1887 | 1898
17 | Revision_806/sh.c | 103 | 113 | 2 | 23 | ShParser | extern parserDefinition* ShParser (void) | 102 | 113
501 | Revision_806/php.c | 91 | 98 | 2 | 18 | PhpParser | extern parserDefinition* PhpParser (void) | 90 | 98
320 | Revision_806/cobol.c | 40 | 48 | 2 | 6 | CobolParser | extern parserDefinition* CobolParser () | 39 | 48
243 | Revision_806/lua.c | 123 | 131 | 2 | 531 | LuaParser | extern parserDefinition* LuaParser (void) | 122 | 131
5 | Revision_806/beta.c | 311 | 319 | 2 | 4 | BetaParser | extern parserDefinition* BetaParser (void) | 310 | 319
18 | Revision_806/tcl.c | 106 | 114 | 2 | 25 | TclParser | extern parserDefinition* TclParser (void) | 105 | 114
13 | Revision_806/python.c | 856 | 864 | 2 | 19 | PythonParser | extern parserDefinition *PythonParser (void) | 855 | 864
7 | Revision_806/perl.c | 489 | 497 | 2 | 17 | PerlParser | extern parserDefinition* PerlParser (void) | 488 | 497
340 | Revision_806/erlang.c | 179 | 187 | 2 | 615 | ErlangParser | extern parserDefinition *ErlangParser (void) | 178 | 187
330 | Revision_806/c.c | 2900 | 2909 | 2 | 10 | CsharpParser | extern parserDefinition* CsharpParser (void) | 2899 | 2909
8 | Revision_806/c.c | 2882 | 2897 | 2 | 7 | CppParser | extern parserDefinition* CppParser (void) | 2881 | 2897
408 | Revision_806/basic.c | 193 | 201 | 2 | 684 | BasicParser | parserDefinition *BasicParser (void) | 192 | 201
667 | Revision_806/dosbatch.c | 33 | 40 | 2 | 854 | DosBatchParser | extern parserDefinition* DosBatchParser () | 32 | 40
25 | Revision_806/make.c | 205 | 215 | 2 | 15 | MakefileParser | extern parserDefinition* MakefileParser (void) | 204 | 215
365 | Revision_806/html.c | 40 | 47 | 2 | 629 | HtmlParser | extern parserDefinition* HtmlParser (void) | 39 | 47
575 | Revision_806/flex.c | 2409 | 2422 | 2 | 828 | FlexParser | extern parserDefinition* FlexParser (void) | 2408 | 2422
665 | Revision_806/tex.c | 570 | 583 | 2 | 856 | TexParser | extern parserDefinition* TexParser (void) | 569 | 583
413 | Revision_806/jscript.c | 1679 | 1692 | 2 | 630 | JavaScriptParser | extern parserDefinition* JavaScriptParser (void) | 1678 | 1692
274 | Revision_806/asm.c | 366 | 385 | 2 | 1 | AsmParser | extern parserDefinition* AsmParser (void) | 365 | 385
26 | Revision_806/rexx.c | 30 | 37 | 2 | 20 | RexxParser | extern parserDefinition* RexxParser (void) | 29 | 37
27 | Revision_806/keyword.c | 107 | 116 | 2 | NULL | NULL | NULL | NULL | NULL
666 | Revision_806/ant.c | 33 | 40 | 2 | 853 | AntParser | extern parserDefinition* AntParser () | 32 | 40
668 | Revision_806/matlab.c | 35 | 42 | 2 | 855 | MatLabParser | extern parserDefinition* MatLabParser () | 34 | 42
24 | Revision_806/slang.c | 34 | 41 | 2 | 24 | SlangParser | extern parserDefinition* SlangParser (void) | 33 | 41
23 | Revision_806/yacc.c | 31 | 38 | 2 | 27 | YaccParser | extern parserDefinition* YaccParser () | 30 | 38
29 | Revision_806/options.c | 626 | 632 | 2 | 69 | cArgForth | extern void cArgForth (cookedArgs* const current) | 613 | 634
28 | Revision_806/c.c | 2254 | 2259 | 2 | 45 | analyzePostParens | static void analyzePostParens (statementInfo *const st, parenInfo *const info) | 2032 | 2478
30 | Revision_806/options.c | 533 | 538 | 2 | 78 | cArgRead | static void cArgRead (cookedArgs *const current) | 507 | 540
158 | Revision_806/fortran.c | 414 | 426 | 2 | 589 | newToken | static tokenInfo *newToken (void) | 413 | 426
31 | Revision_806/c.c | 2283 | 2291 | 2 | 45 | analyzePostParens | static void analyzePostParens (statementInfo *const st, parenInfo *const info) | 2032 | 2478
