globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd
1 | Revision_392/lisp.c | 91 | 97 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
2 | Revision_392/lisp.c | 112 | 118 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
3 | Revision_392/lisp.c | 127 | 137 | 2 | 14 | LispParser | extern parserDefinition* LispParser (void) | 126 | 137
243 | Revision_392/lua.c | 123 | 131 | 2 | 531 | LuaParser | extern parserDefinition* LuaParser (void) | 122 | 131
283 | Revision_392/verilog.c | 324 | 333 | 2 | 571 | VerilogParser | extern parserDefinition* VerilogParser (void) | 323 | 333
9 | Revision_392/eiffel.c | 1222 | 1231 | 2 | 8 | EiffelParser | extern parserDefinition* EiffelParser (void) | 1221 | 1231
12 | Revision_392/c.c | 2765 | 2774 | 2 | 603 | VeraParser | extern parserDefinition* VeraParser (void) | 2764 | 2774
15 | Revision_392/c.c | 2753 | 2762 | 2 | 10 | JavaParser | extern parserDefinition* JavaParser (void) | 2752 | 2762
315 | Revision_392/c.c | 2741 | 2750 | 2 | 10 | CsharpParser | extern parserDefinition* CsharpParser (void) | 2740 | 2750
8 | Revision_392/c.c | 2723 | 2738 | 2 | 7 | CppParser | extern parserDefinition* CppParser (void) | 2722 | 2738
330 | Revision_392/c.c | 2711 | 2720 | 2 | 5 | CParser | extern parserDefinition* CParser (void) | 2710 | 2720
5 | Revision_392/beta.c | 313 | 321 | 2 | 4 | BetaParser | extern parserDefinition* BetaParser (void) | 312 | 321
7 | Revision_392/perl.c | 159 | 167 | 2 | 17 | PerlParser | extern parserDefinition* PerlParser (void) | 158 | 167
21 | Revision_392/fortran.c | 2178 | 2193 | 2 | 9 | FortranParser | extern parserDefinition* FortranParser (void) | 2177 | 2193
296 | Revision_392/sql.c | 678 | 687 | 2 | 579 | SqlParser | extern parserDefinition* SqlParser (void) | 677 | 687
4 | Revision_392/asp.c | 181 | 189 | 2 | 2 | AspParser | extern parserDefinition* AspParser (void) | 180 | 189
10 | Revision_392/awk.c | 71 | 79 | 2 | 3 | AwkParser | extern parserDefinition* AwkParser () | 70 | 79
14 | Revision_392/pascal.c | 255 | 263 | 2 | 16 | PascalParser | extern parserDefinition* PascalParser (void) | 254 | 263
20 | Revision_392/vim.c | 168 | 176 | 2 | 26 | VimParser | extern parserDefinition* VimParser (void) | 167 | 176
17 | Revision_392/sh.c | 102 | 112 | 2 | 23 | ShParser | extern parserDefinition* ShParser (void) | 101 | 112
19 | Revision_392/ruby.c | 167 | 175 | 2 | 21 | RubyParser | extern parserDefinition* RubyParser (void) | 166 | 175
321 | Revision_392/sml.c | 201 | 209 | 2 | 607 | SmlParser | extern parserDefinition *SmlParser (void) | 200 | 209
16 | Revision_392/scheme.c | 99 | 109 | 2 | 22 | SchemeParser | extern parserDefinition* SchemeParser (void) | 98 | 109
320 | Revision_392/cobol.c | 40 | 48 | 2 | 6 | CobolParser | extern parserDefinition* CobolParser () | 39 | 48
18 | Revision_392/tcl.c | 106 | 114 | 2 | 25 | TclParser | extern parserDefinition* TclParser (void) | 105 | 114
22 | Revision_392/php.c | 125 | 133 | 2 | 18 | PhpParser | extern parserDefinition* PhpParser (void) | 124 | 133
13 | Revision_392/python.c | 213 | 221 | 2 | 19 | PythonParser | extern parserDefinition *PythonParser (void) | 212 | 221
340 | Revision_392/erlang.c | 179 | 187 | 2 | 615 | ErlangParser | extern parserDefinition *ErlangParser (void) | 178 | 187
25 | Revision_392/make.c | 91 | 101 | 2 | 15 | MakefileParser | extern parserDefinition* MakefileParser (void) | 90 | 101
24 | Revision_392/slang.c | 34 | 41 | 2 | 24 | SlangParser | extern parserDefinition* SlangParser (void) | 33 | 41
364 | Revision_392/jscript.c | 31 | 38 | 2 | 630 | JavaScriptParser | extern parserDefinition* JavaScriptParser (void) | 30 | 38
23 | Revision_392/yacc.c | 31 | 38 | 2 | 27 | YaccParser | extern parserDefinition* YaccParser () | 30 | 38
274 | Revision_392/asm.c | 367 | 386 | 2 | 1 | AsmParser | extern parserDefinition* AsmParser (void) | 366 | 386
365 | Revision_392/html.c | 40 | 47 | 2 | 629 | HtmlParser | extern parserDefinition* HtmlParser (void) | 39 | 47
26 | Revision_392/rexx.c | 30 | 37 | 2 | 20 | RexxParser | extern parserDefinition* RexxParser (void) | 29 | 37
27 | Revision_392/keyword.c | 107 | 116 | 2 | NULL | NULL | NULL | NULL | NULL
29 | Revision_392/options.c | 621 | 627 | 2 | 69 | cArgForth | extern void cArgForth (cookedArgs* const current) | 608 | 629
30 | Revision_392/options.c | 528 | 533 | 2 | 78 | cArgRead | static void cArgRead (cookedArgs *const current) | 502 | 535
28 | Revision_392/c.c | 2114 | 2119 | 2 | 45 | analyzePostParens | static void analyzePostParens (statementInfo *const st, parenInfo *const info) | 1968 | 2341
158 | Revision_392/fortran.c | 413 | 425 | 2 | 300 | newToken | static tokenInfo *newToken (void) | 412 | 425
309 | Revision_392/sql.c | 207 | 215 | 2 | 589 | newToken | static tokenInfo *newToken (void) | 206 | 215
31 | Revision_392/c.c | 2143 | 2151 | 2 | 45 | analyzePostParens | static void analyzePostParens (statementInfo *const st, parenInfo *const info) | 1968 | 2341
157 | Revision_392/eiffel.c | 1176 | 1188 | 2 | 299 | newToken | static tokenInfo *newToken (void) | 1175 | 1188
33 | Revision_392/asp.c | 70 | 89 | 3 | 158 | findAspTags | static void findAspTags (void) | 41 | 178
34 | Revision_392/asp.c | 93 | 112 | 3 | 158 | findAspTags | static void findAspTags (void) | 41 | 178
35 | Revision_392/asp.c | 116 | 132 | 4 | 158 | findAspTags | static void findAspTags (void) | 41 | 178
42 | Revision_392/ruby.c | 79 | 94 | 4 | 177 | findRubyTags | static void findRubyTags (void) | 44 | 164
159 | Revision_392/vim.c | 121 | 135 | 4 | 183 | findVimTags | static void findVimTags (void) | 70 | 165
42 | Revision_392/ruby.c | 96 | 111 | 4 | 177 | findRubyTags | static void findRubyTags (void) | 44 | 164
40 | Revision_392/php.c | 78 | 91 | 4 | 174 | findPhpTags | static void findPhpTags (void) | 44 | 122
173 | Revision_392/php.c | 58 | 75 | 4 | 174 | findPhpTags | static void findPhpTags (void) | 44 | 122
36 | Revision_392/asp.c | 155 | 170 | 4 | 158 | findAspTags | static void findAspTags (void) | 41 | 178
36 | Revision_392/asp.c | 136 | 151 | 4 | 158 | findAspTags | static void findAspTags (void) | 41 | 178
334 | Revision_392/vim.c | 95 | 110 | 4 | 183 | findVimTags | static void findVimTags (void) | 70 | 165
160 | Revision_392/vim.c | 143 | 162 | 4 | 183 | findVimTags | static void findVimTags (void) | 70 | 165
160 | Revision_392/vim.c | 114 | 136 | 4 | 183 | findVimTags | static void findVimTags (void) | 70 | 165
43 | Revision_392/args.c | 85 | 92 | 5 | 305 | nextString | static char* nextString (const Arguments* const current, const char** const next) | 84 | 92
44 | Revision_392/args.c | 159 | 166 | 5 | 304 | nextFileString | static char* nextFileString (const Arguments* const current, FILE* const fp) | 158 | 166
45 | Revision_392/args.c | 181 | 189 | 6 | 55 | argNewFromArgv | extern Arguments* argNewFromArgv (char* const* const argv) | 180 | 189
46 | Revision_392/args.c | 192 | 199 | 6 | 56 | argNewFromFile | extern Arguments* argNewFromFile (FILE* const fp) | 191 | 199
47 | Revision_392/args.c | 202 | 210 | 6 | 57 | argNewFromLineFile | extern Arguments* argNewFromLineFile (FILE* const fp) | 201 | 210
48 | Revision_392/args.c | 265 | 271 | 7 | 52 | argDelete | extern void argDelete (Arguments* const current) | 264 | 271
49 | Revision_392/options.c | 574 | 579 | 7 | 68 | cArgDelete | extern void cArgDelete (cookedArgs* const current) | 573 | 579
50 | Revision_392/fortran.c | 891 | 896 | 7 | 82 | checkForLabel | static void checkForLabel (void) | 870 | 898
51 | Revision_392/c.c | 529 | 535 | 8 | 123 | deleteToken | static void deleteToken (tokenInfo *const token) | 528 | 535
52 | Revision_392/vstring.c | 67 | 74 | 8 | 507 | vStringDelete | extern void vStringDelete (vString *const string) | 66 | 74
53 | Revision_392/c.c | 538 | 545 | 9 | 31 | accessString | static const char *accessString (const accessType access) | 537 | 545
54 | Revision_392/c.c | 548 | 555 | 9 | 217 | implementationString | static const char *implementationString (const impType imp) | 547 | 555
55 | Revision_392/c.c | 657 | 673 | 10 | 246 | isContextualKeyword | static boolean isContextualKeyword (const tokenInfo *const token) | 656 | 673
56 | Revision_392/c.c | 1206 | 1220 | 10 | NULL | NULL | NULL | NULL | NULL
60 | Revision_392/c.c | 1129 | 1147 | 10 | 268 | isValidTypeSpecifier | static boolean isValidTypeSpecifier (const declType declaration) | 1128 | 1147
57 | Revision_392/c.c | 676 | 691 | 10 | 246 | isContextualStatement | static boolean isContextualStatement (const statementInfo *const st) | 675 | 691
59 | Revision_392/fortran.c | 1858 | 1874 | 10 | 335 | parseImplicitPartStmt | static boolean parseImplicitPartStmt (tokenInfo *const token) | 1857 | 1874
