globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd
1 | Revision_633/lisp.c | 91 | 97 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
2 | Revision_633/lisp.c | 112 | 118 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
3 | Revision_633/lisp.c | 127 | 137 | 2 | 14 | LispParser | extern parserDefinition* LispParser (void) | 126 | 137
4 | Revision_633/asp.c | 201 | 209 | 2 | 2 | AspParser | extern parserDefinition* AspParser (void) | 200 | 209
21 | Revision_633/fortran.c | 2195 | 2210 | 2 | 9 | FortranParser | extern parserDefinition* FortranParser (void) | 2194 | 2210
408 | Revision_633/basic.c | 193 | 201 | 2 | 684 | BasicParser | parserDefinition *BasicParser (void) | 192 | 201
20 | Revision_633/vim.c | 626 | 634 | 2 | 26 | VimParser | extern parserDefinition* VimParser (void) | 625 | 634
321 | Revision_633/sml.c | 202 | 210 | 2 | 607 | SmlParser | extern parserDefinition *SmlParser (void) | 201 | 210
340 | Revision_633/erlang.c | 179 | 187 | 2 | 615 | ErlangParser | extern parserDefinition *ErlangParser (void) | 178 | 187
12 | Revision_633/c.c | 2848 | 2857 | 2 | 5 | CParser | extern parserDefinition* CParser (void) | 2847 | 2857
10 | Revision_633/awk.c | 71 | 79 | 2 | 3 | AwkParser | extern parserDefinition* AwkParser () | 70 | 79
7 | Revision_633/perl.c | 372 | 380 | 2 | 17 | PerlParser | extern parserDefinition* PerlParser (void) | 371 | 380
14 | Revision_633/pascal.c | 257 | 265 | 2 | 16 | PascalParser | extern parserDefinition* PascalParser (void) | 256 | 265
18 | Revision_633/tcl.c | 106 | 114 | 2 | 25 | TclParser | extern parserDefinition* TclParser (void) | 105 | 114
16 | Revision_633/scheme.c | 99 | 109 | 2 | 22 | SchemeParser | extern parserDefinition* SchemeParser (void) | 98 | 109
5 | Revision_633/beta.c | 311 | 319 | 2 | 4 | BetaParser | extern parserDefinition* BetaParser (void) | 310 | 319
243 | Revision_633/lua.c | 123 | 131 | 2 | 531 | LuaParser | extern parserDefinition* LuaParser (void) | 122 | 131
19 | Revision_633/ruby.c | 398 | 406 | 2 | 21 | RubyParser | extern parserDefinition* RubyParser (void) | 397 | 406
13 | Revision_633/python.c | 448 | 456 | 2 | 19 | PythonParser | extern parserDefinition *PythonParser (void) | 447 | 456
17 | Revision_633/sh.c | 103 | 113 | 2 | 23 | ShParser | extern parserDefinition* ShParser (void) | 102 | 113
320 | Revision_633/cobol.c | 40 | 48 | 2 | 6 | CobolParser | extern parserDefinition* CobolParser () | 39 | 48
501 | Revision_633/php.c | 91 | 98 | 2 | 18 | PhpParser | extern parserDefinition* PhpParser (void) | 90 | 98
8 | Revision_633/c.c | 2860 | 2875 | 2 | 7 | CppParser | extern parserDefinition* CppParser (void) | 2859 | 2875
15 | Revision_633/c.c | 2878 | 2887 | 2 | 10 | CsharpParser | extern parserDefinition* CsharpParser (void) | 2877 | 2887
315 | Revision_633/c.c | 2890 | 2899 | 2 | 10 | JavaParser | extern parserDefinition* JavaParser (void) | 2889 | 2899
9 | Revision_633/eiffel.c | 1247 | 1256 | 2 | 8 | EiffelParser | extern parserDefinition* EiffelParser (void) | 1246 | 1256
330 | Revision_633/c.c | 2902 | 2911 | 2 | 603 | VeraParser | extern parserDefinition* VeraParser (void) | 2901 | 2911
283 | Revision_633/verilog.c | 329 | 338 | 2 | 571 | VerilogParser | extern parserDefinition* VerilogParser (void) | 328 | 338
296 | Revision_633/sql.c | 1892 | 1901 | 2 | 579 | SqlParser | extern parserDefinition* SqlParser (void) | 1891 | 1901
25 | Revision_633/make.c | 199 | 209 | 2 | 15 | MakefileParser | extern parserDefinition* MakefileParser (void) | 198 | 209
365 | Revision_633/html.c | 40 | 47 | 2 | 629 | HtmlParser | extern parserDefinition* HtmlParser (void) | 39 | 47
