globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd
540 | Revision_700/vhdl.c | 342 | 351 | 2 | 869 | newToken | static tokenInfo *newToken (void) | 341 | 351
414 | Revision_700/jscript.c | 192 | 205 | 2 | 714 | newToken | static tokenInfo *newToken (void) | 191 | 205
309 | Revision_700/sql.c | 404 | 416 | 2 | 807 | newToken | static tokenInfo *newToken (void) | 403 | 416
576 | Revision_700/flex.c | 221 | 235 | 2 | 300 | newToken | static tokenInfo *newToken (void) | 220 | 235
512 | Revision_700/gnu_regex/regex.c | 2826 | 2840 | 2 | NULL | NULL | NULL | NULL | NULL
33 | Revision_700/asp.c | 71 | 90 | 3 | 158 | findAspTags | static void findAspTags (void) | 42 | 198
34 | Revision_700/asp.c | 94 | 113 | 3 | 158 | findAspTags | static void findAspTags (void) | 42 | 198
35 | Revision_700/asp.c | 117 | 133 | 4 | 158 | findAspTags | static void findAspTags (void) | 42 | 198
36 | Revision_700/asp.c | 175 | 190 | 4 | 158 | findAspTags | static void findAspTags (void) | 42 | 198
36 | Revision_700/asp.c | 137 | 152 | 4 | 158 | findAspTags | static void findAspTags (void) | 42 | 198
36 | Revision_700/asp.c | 156 | 171 | 4 | 158 | findAspTags | static void findAspTags (void) | 42 | 198
43 | Revision_700/args.c | 85 | 92 | 5 | 305 | nextString | static char* nextString (const Arguments* const current, const char** const next) | 84 | 92
44 | Revision_700/args.c | 160 | 167 | 5 | 304 | nextFileString | static char* nextFileString (const Arguments* const current, FILE* const fp) | 159 | 167
45 | Revision_700/args.c | 182 | 190 | 6 | 55 | argNewFromArgv | extern Arguments* argNewFromArgv (char* const* const argv) | 181 | 190
46 | Revision_700/args.c | 203 | 211 | 6 | 57 | argNewFromLineFile | extern Arguments* argNewFromLineFile (FILE* const fp) | 202 | 211
47 | Revision_700/args.c | 193 | 200 | 6 | 56 | argNewFromFile | extern Arguments* argNewFromFile (FILE* const fp) | 192 | 200
48 | Revision_700/args.c | 266 | 272 | 7 | 52 | argDelete | extern void argDelete (Arguments* const current) | 265 | 272
49 | Revision_700/options.c | 579 | 584 | 7 | 68 | cArgDelete | extern void cArgDelete (cookedArgs* const current) | 578 | 584
51 | Revision_700/c.c | 536 | 542 | 8 | 123 | deleteToken | static void deleteToken (tokenInfo *const token) | 535 | 542
52 | Revision_700/vstring.c | 67 | 74 | 8 | 507 | vStringDelete | extern void vStringDelete (vString *const string) | 66 | 74
670 | Revision_700/tex.c | 183 | 187 | 8 | 807 | deleteToken | static void deleteToken (tokenInfo *const token) | 182 | 187
50 | Revision_700/fortran.c | 888 | 892 | 8 | 82 | checkForLabel | static void checkForLabel (void) | 867 | 894
577 | Revision_700/flex.c | 238 | 242 | 8 | 125 | deleteToken | static void deleteToken (tokenInfo *const token) | 237 | 242
541 | Revision_700/vhdl.c | 354 | 361 | 8 | 838 | deleteToken | static void deleteToken (tokenInfo * const token) | 353 | 361
415 | Revision_700/jscript.c | 208 | 212 | 8 | 701 | deleteToken | static void deleteToken (tokenInfo *const token) | 207 | 212
416 | Revision_700/sql.c | 419 | 423 | 8 | 800 | deleteToken | static void deleteToken (tokenInfo *const token) | 418 | 423
362 | Revision_700/eiffel.c | 1205 | 1211 | 8 | 124 | deleteToken | static void deleteToken (tokenInfo *const token) | 1204 | 1211
52 | Revision_700/vstring.c | 69 | 73 | 8 | 507 | vStringDelete | extern void vStringDelete (vString *const string) | 66 | 74
363 | Revision_700/fortran.c | 440 | 445 | 8 | 582 | deleteToken | static void deleteToken (tokenInfo *const token) | 437 | 446
541 | Revision_700/vhdl.c | 356 | 360 | 8 | 838 | deleteToken | static void deleteToken (tokenInfo * const token) | 353 | 361
312 | Revision_700/fortran.c | 1060 | 1064 | 8 | 453 | skipPast | static void skipPast (tokenInfo *const token, tokenType type) | 1059 | 1064
463 | Revision_700/jscript.c | 1007 | 1016 | 8 | 727 | parseMethods | static void parseMethods (tokenInfo *const token, tokenInfo *const class) | 962 | 1024
578 | Revision_700/flex.c | 1283 | 1292 | 8 | 725 | parseMethods | static void parseMethods (tokenInfo *const token, tokenInfo *const class) | 1238 | 1300
542 | Revision_700/vhdl.c | 611 | 615 | 8 | 811 | parseModule | static void parseModule (tokenInfo * const token) | 602 | 627
543 | Revision_700/vhdl.c | 620 | 624 | 8 | 811 | parseModule | static void parseModule (tokenInfo * const token) | 602 | 627
363 | Revision_700/fortran.c | 438 | 446 | 8 | 582 | deleteToken | static void deleteToken (tokenInfo *const token) | 437 | 446
455 | Revision_700/sql.c | 1933 | 1937 | 8 | 593 | parseMLTable | static void parseMLTable (tokenInfo *const token) | 1890 | 1949
479 | Revision_700/jscript.c | 994 | 1004 | 8 | 727 | parseMethods | static void parseMethods (tokenInfo *const token, tokenInfo *const class) | 962 | 1024
454 | Revision_700/sql.c | 1672 | 1676 | 8 | 731 | parseTrigger | static void parseTrigger (tokenInfo *const token) | 1626 | 1698
579 | Revision_700/flex.c | 1270 | 1280 | 8 | 725 | parseMethods | static void parseMethods (tokenInfo *const token, tokenInfo *const class) | 1238 | 1300
127 | Revision_700/options.c | 674 | 678 | 8 | NULL | NULL | NULL | NULL | NULL
539 | Revision_700/vhdl.c | 731 | 736 | 8 | 815 | parseSubProgram | static void parseSubProgram (tokenInfo * const token) | 689 | 764
560 | Revision_700/vhdl.c | 750 | 755 | 8 | 815 | parseSubProgram | static void parseSubProgram (tokenInfo * const token) | 689 | 764
125 | Revision_700/c.c | 2218 | 2222 | 8 | 45 | analyzePostParens | static void analyzePostParens (statementInfo *const st, parenInfo *const info) | 2032 | 2475
