globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd
1 | Revision_572/lisp.c | 91 | 97 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
2 | Revision_572/lisp.c | 112 | 118 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
3 | Revision_572/lisp.c | 127 | 137 | 2 | 14 | LispParser | extern parserDefinition* LispParser (void) | 126 | 137
320 | Revision_572/cobol.c | 40 | 48 | 2 | 6 | CobolParser | extern parserDefinition* CobolParser () | 39 | 48
321 | Revision_572/sml.c | 202 | 210 | 2 | 607 | SmlParser | extern parserDefinition *SmlParser (void) | 201 | 210
408 | Revision_572/basic.c | 218 | 226 | 2 | 685 | FreeBasicParser | parserDefinition *FreeBasicParser (void) | 217 | 226
501 | Revision_572/php.c | 89 | 96 | 2 | 18 | PhpParser | extern parserDefinition* PhpParser (void) | 88 | 96
12 | Revision_572/c.c | 2883 | 2892 | 2 | 10 | JavaParser | extern parserDefinition* JavaParser (void) | 2882 | 2892
10 | Revision_572/awk.c | 71 | 79 | 2 | 3 | AwkParser | extern parserDefinition* AwkParser () | 70 | 79
283 | Revision_572/verilog.c | 327 | 336 | 2 | 571 | VerilogParser | extern parserDefinition* VerilogParser (void) | 326 | 336
13 | Revision_572/python.c | 447 | 455 | 2 | 19 | PythonParser | extern parserDefinition *PythonParser (void) | 446 | 455
14 | Revision_572/pascal.c | 257 | 265 | 2 | 16 | PascalParser | extern parserDefinition* PascalParser (void) | 256 | 265
16 | Revision_572/scheme.c | 99 | 109 | 2 | 22 | SchemeParser | extern parserDefinition* SchemeParser (void) | 98 | 109
243 | Revision_572/lua.c | 123 | 131 | 2 | 531 | LuaParser | extern parserDefinition* LuaParser (void) | 122 | 131
4 | Revision_572/asp.c | 201 | 209 | 2 | 2 | AspParser | extern parserDefinition* AspParser (void) | 200 | 209
7 | Revision_572/perl.c | 341 | 349 | 2 | 17 | PerlParser | extern parserDefinition* PerlParser (void) | 340 | 349
19 | Revision_572/ruby.c | 398 | 406 | 2 | 21 | RubyParser | extern parserDefinition* RubyParser (void) | 397 | 406
17 | Revision_572/sh.c | 103 | 113 | 2 | 23 | ShParser | extern parserDefinition* ShParser (void) | 102 | 113
