globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd
1 | Revision_801/lisp.c | 91 | 97 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
2 | Revision_801/lisp.c | 112 | 118 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
3 | Revision_801/lisp.c | 127 | 137 | 2 | 14 | LispParser | extern parserDefinition* LispParser (void) | 126 | 137
4 | Revision_801/asp.c | 317 | 325 | 2 | 2 | AspParser | extern parserDefinition* AspParser (void) | 316 | 325
14 | Revision_801/pascal.c | 257 | 265 | 2 | 16 | PascalParser | extern parserDefinition* PascalParser (void) | 256 | 265
340 | Revision_801/erlang.c | 179 | 187 | 2 | 615 | ErlangParser | extern parserDefinition *ErlangParser (void) | 178 | 187
18 | Revision_801/tcl.c | 106 | 114 | 2 | 25 | TclParser | extern parserDefinition* TclParser (void) | 105 | 114
5 | Revision_801/beta.c | 311 | 319 | 2 | 4 | BetaParser | extern parserDefinition* BetaParser (void) | 310 | 319
12 | Revision_801/c.c | 2924 | 2933 | 2 | 603 | VeraParser | extern parserDefinition* VeraParser (void) | 2923 | 2933
15 | Revision_801/c.c | 2900 | 2909 | 2 | 10 | CsharpParser | extern parserDefinition* CsharpParser (void) | 2899 | 2909
19 | Revision_801/ruby.c | 398 | 406 | 2 | 21 | RubyParser | extern parserDefinition* RubyParser (void) | 397 | 406
16 | Revision_801/scheme.c | 99 | 109 | 2 | 22 | SchemeParser | extern parserDefinition* SchemeParser (void) | 98 | 109
539 | Revision_801/vhdl.c | 824 | 833 | 2 | 798 | VhdlParser | extern parserDefinition *VhdlParser (void) | 823 | 833
8 | Revision_801/c.c | 2882 | 2897 | 2 | 7 | CppParser | extern parserDefinition* CppParser (void) | 2881 | 2897
20 | Revision_801/vim.c | 731 | 739 | 2 | 26 | VimParser | extern parserDefinition* VimParser (void) | 730 | 739
408 | Revision_801/basic.c | 193 | 201 | 2 | 684 | BasicParser | parserDefinition *BasicParser (void) | 192 | 201
783 | Revision_801/objc.c | 1141 | 1151 | 2 | 1029 | ObjcParser | extern parserDefinition *ObjcParser (void) | 1140 | 1151
9 | Revision_801/eiffel.c | 1259 | 1268 | 2 | 8 | EiffelParser | extern parserDefinition* EiffelParser (void) | 1258 | 1268
745 | Revision_801/ocaml.c | 1888 | 1898 | 2 | 970 | OcamlParser | extern parserDefinition *OcamlParser (void) | 1887 | 1898
315 | Revision_801/c.c | 2870 | 2879 | 2 | 5 | CParser | extern parserDefinition* CParser (void) | 2869 | 2879
17 | Revision_801/sh.c | 103 | 113 | 2 | 23 | ShParser | extern parserDefinition* ShParser (void) | 102 | 113
13 | Revision_801/python.c | 856 | 864 | 2 | 19 | PythonParser | extern parserDefinition *PythonParser (void) | 855 | 864
21 | Revision_801/fortran.c | 2180 | 2195 | 2 | 9 | FortranParser | extern parserDefinition* FortranParser (void) | 2179 | 2195
283 | Revision_801/verilog.c | 330 | 339 | 2 | 571 | VerilogParser | extern parserDefinition* VerilogParser (void) | 329 | 339
296 | Revision_801/sql.c | 2360 | 2369 | 2 | 579 | SqlParser | extern parserDefinition* SqlParser (void) | 2359 | 2369
321 | Revision_801/sml.c | 202 | 210 | 2 | 607 | SmlParser | extern parserDefinition *SmlParser (void) | 201 | 210
320 | Revision_801/cobol.c | 40 | 48 | 2 | 6 | CobolParser | extern parserDefinition* CobolParser () | 39 | 48
7 | Revision_801/perl.c | 372 | 380 | 2 | 17 | PerlParser | extern parserDefinition* PerlParser (void) | 371 | 380
501 | Revision_801/php.c | 91 | 98 | 2 | 18 | PhpParser | extern parserDefinition* PhpParser (void) | 90 | 98
330 | Revision_801/c.c | 2912 | 2921 | 2 | 10 | JavaParser | extern parserDefinition* JavaParser (void) | 2911 | 2921
10 | Revision_801/awk.c | 71 | 79 | 2 | 3 | AwkParser | extern parserDefinition* AwkParser () | 70 | 79
243 | Revision_801/lua.c | 123 | 131 | 2 | 531 | LuaParser | extern parserDefinition* LuaParser (void) | 122 | 131
365 | Revision_801/html.c | 40 | 47 | 2 | 629 | HtmlParser | extern parserDefinition* HtmlParser (void) | 39 | 47
25 | Revision_801/make.c | 205 | 215 | 2 | 15 | MakefileParser | extern parserDefinition* MakefileParser (void) | 204 | 215
575 | Revision_801/flex.c | 2409 | 2422 | 2 | 828 | FlexParser | extern parserDefinition* FlexParser (void) | 2408 | 2422
667 | Revision_801/dosbatch.c | 33 | 40 | 2 | 854 | DosBatchParser | extern parserDefinition* DosBatchParser () | 32 | 40
274 | Revision_801/asm.c | 366 | 385 | 2 | 1 | AsmParser | extern parserDefinition* AsmParser (void) | 365 | 385
666 | Revision_801/ant.c | 33 | 40 | 2 | 853 | AntParser | extern parserDefinition* AntParser () | 32 | 40
665 | Revision_801/tex.c | 570 | 583 | 2 | 856 | TexParser | extern parserDefinition* TexParser (void) | 569 | 583
24 | Revision_801/slang.c | 34 | 41 | 2 | 24 | SlangParser | extern parserDefinition* SlangParser (void) | 33 | 41
23 | Revision_801/yacc.c | 31 | 38 | 2 | 27 | YaccParser | extern parserDefinition* YaccParser () | 30 | 38
413 | Revision_801/jscript.c | 1680 | 1693 | 2 | 630 | JavaScriptParser | extern parserDefinition* JavaScriptParser (void) | 1679 | 1693
668 | Revision_801/matlab.c | 35 | 42 | 2 | 855 | MatLabParser | extern parserDefinition* MatLabParser () | 34 | 42
26 | Revision_801/rexx.c | 30 | 37 | 2 | 20 | RexxParser | extern parserDefinition* RexxParser (void) | 29 | 37
27 | Revision_801/keyword.c | 107 | 116 | 2 | NULL | NULL | NULL | NULL | NULL
158 | Revision_801/fortran.c | 414 | 426 | 2 | 589 | newToken | static tokenInfo *newToken (void) | 413 | 426
28 | Revision_801/c.c | 2254 | 2259 | 2 | 45 | analyzePostParens | static void analyzePostParens (statementInfo *const st, parenInfo *const info) | 2032 | 2478
29 | Revision_801/options.c | 533 | 538 | 2 | 78 | cArgRead | static void cArgRead (cookedArgs *const current) | 507 | 540
30 | Revision_801/options.c | 626 | 632 | 2 | 69 | cArgForth | extern void cArgForth (cookedArgs* const current) | 613 | 634
157 | Revision_801/eiffel.c | 622 | 634 | 2 | 299 | newToken | static tokenInfo *newToken (void) | 621 | 634
576 | Revision_801/flex.c | 228 | 242 | 2 | 300 | newToken | static tokenInfo *newToken (void) | 227 | 242
540 | Revision_801/vhdl.c | 342 | 351 | 2 | 869 | newToken | static tokenInfo *newToken (void) | 341 | 351
669 | Revision_801/tex.c | 172 | 183 | 2 | 838 | newToken | static tokenInfo *newToken (void) | 171 | 183
309 | Revision_801/sql.c | 421 | 433 | 2 | 807 | newToken | static tokenInfo *newToken (void) | 420 | 433
414 | Revision_801/jscript.c | 194 | 207 | 2 | 714 | newToken | static tokenInfo *newToken (void) | 193 | 207
31 | Revision_801/c.c | 2283 | 2291 | 2 | 45 | analyzePostParens | static void analyzePostParens (statementInfo *const st, parenInfo *const info) | 2032 | 2478
33 | Revision_801/asp.c | 72 | 91 | 3 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
34 | Revision_801/asp.c | 95 | 114 | 3 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
736 | Revision_801/asp.c | 118 | 163 | 4 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
737 | Revision_801/asp.c | 165 | 210 | 4 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
35 | Revision_801/asp.c | 125 | 137 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
36 | Revision_801/asp.c | 214 | 230 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
36 | Revision_801/asp.c | 291 | 306 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
36 | Revision_801/asp.c | 234 | 249 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
739 | Revision_801/asp.c | 272 | 287 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
738 | Revision_801/asp.c | 152 | 161 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
740 | Revision_801/asp.c | 253 | 268 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
36 | Revision_801/asp.c | 139 | 151 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
741 | Revision_801/asp.c | 186 | 198 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
742 | Revision_801/asp.c | 172 | 184 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
36 | Revision_801/asp.c | 275 | 286 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
285 | Revision_801/lua.c | 81 | 88 | 5 | 687 | extract_name | static void extract_name (const char *begin, const char *end, vString *name) | 70 | 90
36 | Revision_801/asp.c | 256 | 267 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
739 | Revision_801/asp.c | 218 | 229 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
36 | Revision_801/asp.c | 237 | 248 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
743 | Revision_801/vim.c | 270 | 279 | 5 | 742 | parseFunction | static void parseFunction (const unsigned char *line) | 243 | 296
740 | Revision_801/asp.c | 294 | 305 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
744 | Revision_801/vim.c | 315 | 324 | 5 | 739 | parseAutogroup | static void parseAutogroup (const unsigned char *line) | 298 | 328
4 | Revision_801/asp.c | 199 | 208 | 5 | 158 | findAspTags | static void findAspTags (void) | 43 | 314
43 | Revision_801/args.c | 85 | 92 | 6 | 305 | nextString | static char* nextString (const Arguments* const current, const char** const next) | 84 | 92
44 | Revision_801/args.c | 160 | 167 | 6 | 304 | nextFileString | static char* nextFileString (const Arguments* const current, FILE* const fp) | 159 | 167
