globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd
1 | Revision_87/lisp.c | 91 | 97 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
2 | Revision_87/lisp.c | 112 | 118 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
3 | Revision_87/lisp.c | 127 | 137 | 2 | 14 | LispParser | extern parserDefinition* LispParser (void) | 126 | 137
22 | Revision_87/php.c | 98 | 106 | 2 | 18 | PhpParser | extern parserDefinition* PhpParser (void) | 97 | 106
16 | Revision_87/scheme.c | 99 | 109 | 2 | 22 | SchemeParser | extern parserDefinition* SchemeParser (void) | 98 | 109
17 | Revision_87/sh.c | 98 | 108 | 2 | 23 | ShParser | extern parserDefinition* ShParser (void) | 97 | 108
6 | Revision_87/asm.c | 96 | 104 | 2 | 1 | AsmParser | extern parserDefinition* AsmParser (void) | 95 | 104
13 | Revision_87/python.c | 108 | 116 | 2 | 19 | PythonParser | extern parserDefinition* PythonParser (void) | 107 | 116
4 | Revision_87/asp.c | 162 | 170 | 2 | 2 | AspParser | extern parserDefinition* AspParser (void) | 161 | 170
20 | Revision_87/vim.c | 131 | 139 | 2 | 26 | VimParser | extern parserDefinition* VimParser (void) | 130 | 139
11 | Revision_87/cobol.c | 72 | 80 | 2 | 6 | CobolParser | extern parserDefinition* CobolParser () | 71 | 80
5 | Revision_87/beta.c | 314 | 322 | 2 | 4 | BetaParser | extern parserDefinition* BetaParser (void) | 313 | 322
8 | Revision_87/c.c | 2309 | 2324 | 2 | 7 | CppParser | extern parserDefinition* CppParser (void) | 2308 | 2324
7 | Revision_87/perl.c | 108 | 116 | 2 | 17 | PerlParser | extern parserDefinition* PerlParser (void) | 107 | 116
18 | Revision_87/tcl.c | 73 | 81 | 2 | 25 | TclParser | extern parserDefinition* TclParser (void) | 72 | 81
21 | Revision_87/fortran.c | 1667 | 1682 | 2 | 9 | FortranParser | extern parserDefinition* FortranParser (void) | 1666 | 1682
243 | Revision_87/lua.c | 124 | 132 | 2 | 531 | LuaParser | extern parserDefinition* LuaParser (void) | 123 | 132
10 | Revision_87/awk.c | 71 | 79 | 2 | 3 | AwkParser | extern parserDefinition* AwkParser () | 70 | 79
19 | Revision_87/ruby.c | 131 | 139 | 2 | 21 | RubyParser | extern parserDefinition* RubyParser (void) | 130 | 139
9 | Revision_87/eiffel.c | 974 | 983 | 2 | 8 | EiffelParser | extern parserDefinition* EiffelParser (void) | 973 | 983
14 | Revision_87/pascal.c | 247 | 255 | 2 | 16 | PascalParser | extern parserDefinition* PascalParser (void) | 246 | 255
12 | Revision_87/c.c | 2327 | 2336 | 2 | 10 | JavaParser | extern parserDefinition* JavaParser (void) | 2326 | 2336
15 | Revision_87/c.c | 2297 | 2306 | 2 | 5 | CParser | extern parserDefinition* CParser (void) | 2296 | 2306
26 | Revision_87/rexx.c | 30 | 37 | 2 | 20 | RexxParser | extern parserDefinition* RexxParser (void) | 29 | 37
25 | Revision_87/make.c | 91 | 101 | 2 | 15 | MakefileParser | extern parserDefinition* MakefileParser (void) | 90 | 101
