globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd
1 | Revision_695/lisp.c | 91 | 97 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
2 | Revision_695/lisp.c | 112 | 118 | 1 | 169 | findLispTags | static void findLispTags (void) | 80 | 124
3 | Revision_695/lisp.c | 127 | 137 | 2 | 14 | LispParser | extern parserDefinition* LispParser (void) | 126 | 137
13 | Revision_695/python.c | 648 | 656 | 2 | 19 | PythonParser | extern parserDefinition *PythonParser (void) | 647 | 656
12 | Revision_695/c.c | 2921 | 2930 | 2 | 603 | VeraParser | extern parserDefinition* VeraParser (void) | 2920 | 2930
283 | Revision_695/verilog.c | 329 | 338 | 2 | 571 | VerilogParser | extern parserDefinition* VerilogParser (void) | 328 | 338
408 | Revision_695/basic.c | 193 | 201 | 2 | 684 | BasicParser | parserDefinition *BasicParser (void) | 192 | 201
15 | Revision_695/c.c | 2897 | 2906 | 2 | 10 | CsharpParser | extern parserDefinition* CsharpParser (void) | 2896 | 2906
296 | Revision_695/sql.c | 2065 | 2074 | 2 | 579 | SqlParser | extern parserDefinition* SqlParser (void) | 2064 | 2074
8 | Revision_695/c.c | 2879 | 2894 | 2 | 7 | CppParser | extern parserDefinition* CppParser (void) | 2878 | 2894
320 | Revision_695/cobol.c | 40 | 48 | 2 | 6 | CobolParser | extern parserDefinition* CobolParser () | 39 | 48
501 | Revision_695/php.c | 91 | 98 | 2 | 18 | PhpParser | extern parserDefinition* PhpParser (void) | 90 | 98
21 | Revision_695/fortran.c | 2180 | 2195 | 2 | 9 | FortranParser | extern parserDefinition* FortranParser (void) | 2179 | 2195
243 | Revision_695/lua.c | 123 | 131 | 2 | 531 | LuaParser | extern parserDefinition* LuaParser (void) | 122 | 131
16 | Revision_695/scheme.c | 99 | 109 | 2 | 22 | SchemeParser | extern parserDefinition* SchemeParser (void) | 98 | 109
4 | Revision_695/asp.c | 201 | 209 | 2 | 2 | AspParser | extern parserDefinition* AspParser (void) | 200 | 209
7 | Revision_695/perl.c | 372 | 380 | 2 | 17 | PerlParser | extern parserDefinition* PerlParser (void) | 371 | 380
10 | Revision_695/awk.c | 71 | 79 | 2 | 3 | AwkParser | extern parserDefinition* AwkParser () | 70 | 79
321 | Revision_695/sml.c | 202 | 210 | 2 | 607 | SmlParser | extern parserDefinition *SmlParser (void) | 201 | 210
14 | Revision_695/pascal.c | 257 | 265 | 2 | 16 | PascalParser | extern parserDefinition* PascalParser (void) | 256 | 265
539 | Revision_695/vhdl.c | 825 | 834 | 2 | 798 | VhdlParser | extern parserDefinition *VhdlParser (void) | 824 | 834
5 | Revision_695/beta.c | 311 | 319 | 2 | 4 | BetaParser | extern parserDefinition* BetaParser (void) | 310 | 319
340 | Revision_695/erlang.c | 179 | 187 | 2 | 615 | ErlangParser | extern parserDefinition *ErlangParser (void) | 178 | 187
18 | Revision_695/tcl.c | 106 | 114 | 2 | 25 | TclParser | extern parserDefinition* TclParser (void) | 105 | 114
17 | Revision_695/sh.c | 103 | 113 | 2 | 23 | ShParser | extern parserDefinition* ShParser (void) | 102 | 113
19 | Revision_695/ruby.c | 398 | 406 | 2 | 21 | RubyParser | extern parserDefinition* RubyParser (void) | 397 | 406
315 | Revision_695/c.c | 2909 | 2918 | 2 | 10 | JavaParser | extern parserDefinition* JavaParser (void) | 2908 | 2918
9 | Revision_695/eiffel.c | 1236 | 1245 | 2 | 8 | EiffelParser | extern parserDefinition* EiffelParser (void) | 1235 | 1245
20 | Revision_695/vim.c | 626 | 634 | 2 | 26 | VimParser | extern parserDefinition* VimParser (void) | 625 | 634
