cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",67,723,3,0.5000,0,"SIMILARITY_PRESERVING","[298, 302, 498]","[298, 301, 302, 315, 482, 498]","[298, 302, 498]"
"Type3","Block",68,69,2,0.2857,1,"SIMILARITY_PRESERVING","[302, 315]","[289, 302, 315, 482, 498, 627]","[298, 302, 315]"
"Type3","Block",68,70,3,0.2308,1,"SIMILARITY_PRESERVING","[315, 482, 498]","[289, 302, 315, 482, 498, 627]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]"
"Type3","Block",68,71,4,0.4444,0,"SIMILARITY_PRESERVING","[302, 315, 482, 498]","[289, 302, 315, 482, 498, 627]","[127, 141, 302, 304, 315, 482, 498]"
"Type3","Block",68,72,2,0.2857,1,"SIMILARITY_PRESERVING","[302, 315]","[289, 302, 315, 482, 498, 627]","[298, 302, 315]"
"Type3","Block",68,73,3,0.3750,1,"SIMILARITY_PRESERVING","[302, 315, 482]","[289, 302, 315, 482, 498, 627]","[298, 302, 315, 482, 914]"
"Type3","Block",68,723,2,0.2857,1,"SIMILARITY_PRESERVING","[302, 498]","[289, 302, 315, 482, 498, 627]","[298, 302, 498]"
"Type3","Block",69,70,1,0.0833,0,"SIMILARITY_PRESERVING","[315]","[298, 302, 315]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]"
"Type3","Block",69,71,2,0.2500,1,"SIMILARITY_PRESERVING","[302, 315]","[298, 302, 315]","[127, 141, 302, 304, 315, 482, 498]"
"Type3","Block",69,72,3,1.0000,0,"SIMILARITY_PRESERVING","[298, 302, 315]","[298, 302, 315]","[298, 302, 315]"
"Type3","Block",69,73,3,0.6000,0,"SIMILARITY_PRESERVING","[298, 302, 315]","[298, 302, 315]","[298, 302, 315, 482, 914]"
"Type3","Block",69,723,2,0.5000,0,"SIMILARITY_PRESERVING","[298, 302]","[298, 302, 315]","[298, 302, 498]"
"Type3","Block",70,71,4,0.3077,0,"SIMILARITY_PRESERVING","[141, 315, 482, 498]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]","[127, 141, 302, 304, 315, 482, 498]"
"Type3","Block",70,72,1,0.0833,0,"SIMILARITY_PRESERVING","[315]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]","[298, 302, 315]"
"Type3","Block",70,73,2,0.1538,0,"SIMILARITY_PRESERVING","[315, 482]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]","[298, 302, 315, 482, 914]"
"Type3","Block",70,723,1,0.0833,0,"SIMILARITY_PRESERVING","[498]","[141, 284, 315, 321, 338, 450, 475, 482, 498, 501]","[298, 302, 498]"
"Type3","Block",71,72,2,0.2500,1,"SIMILARITY_PRESERVING","[302, 315]","[127, 141, 302, 304, 315, 482, 498]","[298, 302, 315]"
"Type3","Block",71,73,3,0.3333,1,"SIMILARITY_PRESERVING","[302, 315, 482]","[127, 141, 302, 304, 315, 482, 498]","[298, 302, 315, 482, 914]"
"Type3","Block",71,723,2,0.2500,1,"SIMILARITY_PRESERVING","[302, 498]","[127, 141, 302, 304, 315, 482, 498]","[298, 302, 498]"
"Type3","Block",72,73,3,0.6000,0,"SIMILARITY_PRESERVING","[298, 302, 315]","[298, 302, 315]","[298, 302, 315, 482, 914]"
"Type3","Block",72,723,2,0.5000,0,"SIMILARITY_PRESERVING","[298, 302]","[298, 302, 315]","[298, 302, 498]"
"Type3","Block",73,723,2,0.3333,0,"SIMILARITY_PRESERVING","[298, 302]","[298, 302, 315, 482, 914]","[298, 302, 498]"
"Type3","Block",76,77,3,0.6000,0,"SIMILARITY_PRESERVING","[302, 315, 334]","[302, 315, 334]","[136, 302, 315, 334, 482]"
"Type3","Block",76,79,3,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 334]","[302, 315, 334]","[302, 315, 334]"
"Type3","Block",76,80,3,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 334]","[302, 315, 334]","[302, 315, 334]"
"Type3","Block",76,798,3,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 334]","[302, 315, 334]","[302, 315, 334]"
"Type3","Block",77,79,3,0.6000,0,"SIMILARITY_PRESERVING","[302, 315, 334]","[136, 302, 315, 334, 482]","[302, 315, 334]"
"Type3","Block",77,80,3,0.6000,0,"SIMILARITY_PRESERVING","[302, 315, 334]","[136, 302, 315, 334, 482]","[302, 315, 334]"
"Type3","Block",77,798,3,0.6000,0,"SIMILARITY_PRESERVING","[302, 315, 334]","[136, 302, 315, 334, 482]","[302, 315, 334]"
"Type3","Block",78,81,5,0.8333,0,"SIMILARITY_PRESERVING","[96, 130, 302, 315, 334]","[96, 130, 302, 315, 334]","[96, 130, 302, 315, 334, 335]"
"Type3","Block",79,80,3,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 334]","[302, 315, 334]","[302, 315, 334]"
"Type3","Block",79,798,3,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 334]","[302, 315, 334]","[302, 315, 334]"
"Type3","Block",80,798,3,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 334]","[302, 315, 334]","[302, 315, 334]"
"Type3","Block",83,801,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 334, 360, 482]","[302, 315, 334, 360, 482]","[302, 315, 334, 360, 482]"
"Type3","Block",840,841,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",84,85,4,0.8000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 731]"
"Type3","Block",84,86,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",84,87,4,0.6667,0,"SIMILARITY_PRESERVING","[302, 315, 498, 731]","[302, 315, 324, 498, 731]","[81, 302, 315, 498, 731]"
"Type3","Block",84,88,5,0.7143,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 496, 498, 731, 984]"
"Type3","Block",84,89,5,0.8333,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]","[136, 302, 315, 324, 498, 731]"
"Type3","Block",84,90,4,0.6667,1,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 496, 731]"
"Type3","Block",84,803,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",85,86,4,0.8000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",85,87,3,0.5000,0,"SIMILARITY_PRESERVING","[302, 315, 731]","[302, 315, 324, 731]","[81, 302, 315, 498, 731]"
"Type3","Block",85,88,4,0.5714,0,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 731]","[302, 315, 324, 496, 498, 731, 984]"
"Type3","Block",85,89,4,0.6667,0,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 731]","[136, 302, 315, 324, 498, 731]"
"Type3","Block",85,90,4,0.8000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 731]","[302, 315, 324, 496, 731]"
"Type3","Block",85,803,4,0.8000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",86,87,4,0.6667,0,"SIMILARITY_PRESERVING","[302, 315, 498, 731]","[302, 315, 324, 498, 731]","[81, 302, 315, 498, 731]"
"Type3","Block",86,88,5,0.7143,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 496, 498, 731, 984]"
"Type3","Block",86,89,5,0.8333,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]","[136, 302, 315, 324, 498, 731]"
"Type3","Block",86,90,4,0.6667,1,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 496, 731]"
"Type3","Block",86,803,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",87,88,4,0.5000,1,"SIMILARITY_PRESERVING","[302, 315, 498, 731]","[81, 302, 315, 498, 731]","[302, 315, 324, 496, 498, 731, 984]"
"Type3","Block",87,89,4,0.5714,0,"SIMILARITY_PRESERVING","[302, 315, 498, 731]","[81, 302, 315, 498, 731]","[136, 302, 315, 324, 498, 731]"
"Type3","Block",87,90,2,0.4286,1,"SIMILARITY_PRESERVING","[302, 315]","[81, 302, 315, 498, 731]","[302, 315, 324, 496, 731]"
"Type3","Block",87,803,4,0.6667,0,"SIMILARITY_PRESERVING","[302, 315, 498, 731]","[81, 302, 315, 498, 731]","[302, 315, 324, 498, 731]"
