n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,model,Revision,threshold,train_size
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,420,0.476,101
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,420,0.1,101
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,420,0.345,101
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,420,0.1,101
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,424,0.476,103
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,424,0.1,103
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,424,0.345,103
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,424,0.1,103
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,425,0.476,106
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,425,0.1,106
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,425,0.345,106
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,425,0.1,106
56,0,56,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,443,0.476,107
56,0,56,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,443,0.1,107
56,0,56,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,443,0.345,107
56,0,56,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,443,0.1,107
3,1,2,0.5,0.5,0.5,0.75,0.6666666666666666,0.7071067811865476,RandomForest,461,0.492,163
3,1,2,0.5,0.5,0.5,0.75,0.6666666666666666,0.7071067811865476,LightGBM,461,0.133,163
3,1,2,0.5,0.5,0.5,0.75,0.6666666666666666,0.7071067811865476,XGBoost,461,0.704,163
3,1,2,0.0,0.5,0.5,0.5,0.0,0.0,CatBoost,461,0.884,163
7,1,6,0.16666666666666666,0.8333333333333334,0.5,0.5833333333333334,0.2857142857142857,0.408248290463863,RandomForest,468,0.492,166
7,1,6,0.3535533905932738,1.0,1.0,0.75,0.4,0.7071067811865476,LightGBM,468,0.133,166
7,1,6,0.16666666666666666,0.5,0.25,0.5833333333333334,0.2857142857142857,0.408248290463863,XGBoost,468,0.704,166
7,1,6,0.6454972243679028,1.0,1.0,0.9166666666666667,0.6666666666666666,0.9128709291752769,CatBoost,468,0.639,166
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,469,0.492,173
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,469,0.133,173
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,469,0.704,173
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,469,0.884,173
5,0,5,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,470,0.492,174
5,0,5,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,470,0.133,174
5,0,5,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,470,0.704,174
5,0,5,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,470,0.884,174
3,1,2,-0.5,0.0,0.3333333333333333,0.25,0.0,0.0,RandomForest,474,0.492,179
3,1,2,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,LightGBM,474,0.133,179
3,1,2,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,XGBoost,474,0.704,179
3,1,2,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,CatBoost,474,0.884,179
35,1,34,0.420084025208403,1.0,1.0,0.9411764705882353,0.3333333333333333,0.9393364366277243,RandomForest,475,0.492,182
35,1,34,0.47743185531611554,1.0,1.0,0.9558823529411764,0.4,0.954863710632231,LightGBM,475,0.133,182
35,1,34,0.5601120336112039,0.9411764705882353,0.3333333333333333,0.9705882352941176,0.5,0.9701425001453319,XGBoost,475,0.704,182
35,1,34,1.0,1.0,1.0,1.0,1.0,1.0,CatBoost,475,0.884,182
23,3,20,-0.08257228238447704,0.9166666666666667,0.5333333333333333,0.475,0.0,0.0,RandomForest,476,0.492,217
23,3,20,0.0,0.5666666666666667,0.2767857142857143,0.5,0.0,0.0,LightGBM,476,0.133,217
23,3,20,0.0,0.9,0.4777777777777778,0.5,0.0,0.0,XGBoost,476,0.704,217
23,3,20,0.0,0.95,0.6388888888888888,0.5,0.0,0.0,CatBoost,476,0.884,217
24,0,24,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,477,0.492,240
24,0,24,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,477,0.133,240
24,0,24,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,477,0.704,240
24,0,24,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,477,0.884,240
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,479,0.492,264
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,479,0.296,264
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,479,0.704,264
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,479,0.557,264
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,483,0.492,265
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,483,0.296,265
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,483,0.704,265
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,483,0.557,265
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,489,0.492,266
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,489,0.296,266
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,489,0.704,266
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,489,0.557,266
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,492,0.443,268
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,492,0.296,268
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,492,0.443,268
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,492,0.557,268
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,493,0.443,269
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,493,0.296,269
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,493,0.443,269
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,493,0.557,269
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,525,0.443,270
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,525,0.296,270
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,525,0.427,270
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,525,0.557,270
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,526,0.443,271
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,526,0.296,271
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,526,0.704,271
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,526,0.557,271
2,1,1,0.0,0.0,0.5,0.5,0.6666666666666666,0.0,RandomForest,529,0.443,272
2,1,1,0.0,0.0,0.5,0.5,0.6666666666666666,0.0,LightGBM,529,0.296,272
2,1,1,0.0,0.0,0.5,0.5,0.6666666666666666,0.0,XGBoost,529,0.704,272
2,1,1,0.0,1.0,1.0,0.5,0.6666666666666666,0.0,CatBoost,529,0.557,272
4,3,1,0.0,0.6666666666666666,0.9166666666666665,0.5,0.0,0.0,RandomForest,536,0.443,274
4,3,1,0.5773502691896258,1.0,1.0,0.8333333333333333,0.8,0.816496580927726,LightGBM,536,0.296,274
4,3,1,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5773502691896257,XGBoost,536,0.704,274
4,3,1,0.0,1.0,1.0,0.5,0.0,0.0,CatBoost,536,0.884,274
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,544,0.263,278
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,544,0.296,278
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,544,0.427,278
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,544,0.884,278
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,568,0.263,279
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,568,0.296,279
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,568,0.427,279
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,568,0.884,279
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,571,0.263,280
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,571,0.296,280
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,571,0.427,280
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,571,0.884,280
22,4,18,0.769800358919501,0.9722222222222223,0.9166666666666666,0.9444444444444444,0.8,0.9428090415820634,RandomForest,574,0.263,281
22,4,18,0.5880064914496507,0.9166666666666667,0.6916666666666667,0.8194444444444444,0.6666666666666666,0.816496580927726,LightGBM,574,0.296,281
22,4,18,0.6900655593423543,0.986111111111111,0.95,0.9166666666666667,0.7272727272727273,0.9128709291752769,XGBoost,574,0.427,281
22,4,18,0.0,0.875,0.5011904761904762,0.5,0.0,0.0,CatBoost,574,0.884,281
2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,RandomForest,576,0.263,303
2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,576,0.133,303
2,1,1,0.0,1.0,1.0,0.5,0.0,0.0,XGBoost,576,0.786,303
2,1,1,0.0,1.0,1.0,0.5,0.6666666666666666,0.0,CatBoost,576,0.329,303
24,2,22,0.5877538136452587,0.9318181818181818,0.7,0.9318181818181819,0.5714285714285714,0.9293203772845852,RandomForest,586,0.263,305
24,2,22,0.45454545454545453,0.9545454545454545,0.75,0.7272727272727273,0.5,0.6908492797077574,LightGBM,586,0.133,305
24,2,22,0.45454545454545453,0.9545454545454545,0.75,0.7272727272727273,0.5,0.6908492797077574,XGBoost,586,0.753,305
24,2,22,0.2165408787114111,0.8409090909090908,0.6111111111111112,0.6590909090909092,0.2857142857142857,0.6396021490668313,CatBoost,586,0.345,305
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,598,0.263,329
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,598,0.133,329
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,598,0.753,329
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,598,0.573,329
25,1,24,0.5527707983925666,0.9583333333333334,0.5,0.9583333333333333,0.5,0.9574271077563381,RandomForest,630,0.263,330
